catalogNumber,country,stateProvince,decimalLatitude,decimalLongitude,IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Regions),"IBRA (Interim Biogeographic Regionalisation for Australia (IBRA) Version 7 (Subregions), contextual (polygon)",Precipitation - annual (Bio12),Precipitation - seasonality (Bio15),WorldClim 2.1: Precipitation - annual,WorldClim 2.1: Precipitation - seasonality,Radiation - annual mean (Bio20),Radiation - seasonality (Bio23),Temperature - annual mean (Bio01),Temperature - annual range (Bio07),WorldClim 2.1: Temperature - annual mean,WorldClim 2.1: Temperature - annual range,Moisture Index - annual mean (Bio28),Forests of Australia 2018B,National Dynamic Land Cover,Vegetation types - present,NVIS 4.1 Major Vegetation Groups,NVIS 4.1 Major Vegetation Subgroups,Vegetation types - native
102.100.100/401634,Australia,New South Wales,-31.9817,151.8161,NSW North Coast,Mummel Escarpment,1251,43,1320,36.76374,16.6,29,16.1,25.9,15.041667,22.199999,0.88,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Rainforest and vine thickets,Eucalypt Tall Open Forests,Eucalyptus (+/- tall) open forest with a dense broad-leaved and/or tree-fern understorey (wet sclerophyll),Rainforests and vine thickets
102.100.100/8268,Australia,Victoria,-35.12282,141.99678,Murray Darling Depression,Murray Mallee,316,26,350,20.18036,17.8,40,16.5,28,16.483334,27.199999,0.3,Eucalypt Mallee Woodland,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings",Mallee Woodlands and Shrublands,Mallee  with an open shrubby understorey,Mallee woodlands and shrublands
102.100.100/12527,Australia,New South Wales,-30.201412,149.597294,Darling Riverine Plains,Castlereagh-Barwon,631,33,628,36.042706,18.6,30,19.2,31.1,19.029167,29.699999,0.34,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Unknown/no data,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12886,Australia,Victoria,-36.650436,145.5755,Riverina,Victorian Riverina,613,27,628,22.898926,16.3,44,15,27.5,15.1,28,0.6,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/8159,Australia,Northern Territory,-25.3504,131.0516,Great Sandy Desert,Mackay,285,49,314,45.431923,21.9,24,21.4,34.9,21.591667,33.7,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse,Tussock grasslands,Hummock Grasslands,Other tussock grasslands,Tussock grasslands
102.100.100/12471,Australia,Australian Capital Territory,-35.423867,148.797167,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Other forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/12620,Australia,New South Wales,-33.652818,150.268179,Sydney Basin,Wollemi,1135,30,1267,31.644165,16.3,34,12.1,22.8,11.966666,21.9,0.89,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt open forests
102.100.100/12860,Australia,Northern Territory,-22.282754,133.249341,Burt Plain,Yuendumu,339,83,359,79.11415,22.5,20,22.6,31.5,22.541666,30.400002,0.1,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Sparse Chenopods,Acacia shrublands,Acacia Shrublands,Mulga (Acacia aneura) woodlands and shrublands +/- tussock grass +/- forbs,Acacia shrublands
102.100.100/8461,Australia,Northern Territory,-25.2713,130.756,Great Sandy Desert,Mackay,299,49,321,49.793903,21.9,24,21.5,34.5,21.975,32.100002,0.11,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Hummock Grasses,Hummock grasslands,Hummock Grasslands,Hummock grasslands,Hummock grasslands
102.100.100/12469,Australia,Australian Capital Territory,-35.4235,148.7968,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Other forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"Other grasslands, herblands, sedgelands and rushlands",Unknown/no data,Unknown/No data,"Other grasslands,herblands, sedgelands and rushlands"
102.100.100/12491,Australia,Australian Capital Territory,-35.881,149.0076,South Eastern Highlands,Murrumbateman,641,17,723,14.555106,16.7,38,9.8,26.7,9.354167,26.1,0.61,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Tussock Grasslands,Temperate tussock grasslands,Tussock grasslands
102.100.100/138544,Australia,Tasmania,-41.03954,146.992477,Furneaux,Flinders,774,27,799,30.58179,14.1,49,12.9,17.5,12.891666,17.5,0.72,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings",Eucalypt Open Forests,Eucalyptus open forests with a shrubby understorey,Eucalypt tall open forests
102.100.100/19505,Australia,New South Wales,-33.6145,150.72878,Sydney Basin,Cumberland,820,37,844,33.159916,17.1,33,17.7,26.2,17.3125,25.199999,0.58,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,"Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/13264,,,-40.10732,143.70582,,,,,,,,,,,,,,,,,,,
102.100.100/401549,Australia,New South Wales,-34.0494,150.73213,Sydney Basin,Cumberland,752,28,896,30.311909,17.2,34,17,24.9,16.970833,23.4,0.53,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12477,Australia,Australian Capital Territory,-35.422617,148.7961,Australian Alps,Snowy Mountains,1165,16,1008,15.672008,15.7,40,9.4,24.8,9.279166,24.4,0.83,Eucalypt Tall Open,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Unknown/no data,Unknown/No data,Eucalypt open forests
102.100.100/19499,Australia,New South Wales,-33.6113,150.7284,Sydney Basin,Cumberland,820,37,844,33.159916,17.1,33,17.7,26.2,17.3125,25.199999,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/7904,Australia,Western Australia,-34.077238,118.868672,Esperance Plains,Fitzgerald,425,30,417,31.08261,17.4,37,15.8,21.7,15.975,22.1,0.36,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed,Eucalyptus woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt woodlands
102.100.100/139592,Australia,Western Australia,-31.190272,117.831736,Avon Wheatbelt,Merredin,309,49,317,45.222034,19.6,34,18.6,29.1,18.475,28.1,0.23,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Herbaceous Graminoids Sparse Tussock Grasses,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/12616,Australia,New South Wales,-33.659823,150.265414,Sydney Basin,Wollemi,1135,30,1298,31.22291,16.3,34,12.1,22.8,11.758333,22,0.89,Eucalypt Medium Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus open forest,Eucalypt Woodlands,Eucalyptus woodlands with a shrubby understorey,Eucalypt open forests
102.100.100/138605,Australia,Northern Territory,-14.082337,136.431654,Arnhem Coast,Groote,1108,107,,,20.9,16,26.7,18.7,,,0.48,Rainforest,Primarily Non-Vegetated Waterbodies Water,Rainforest and vine thickets,Rainforests and Vine Thickets,Dry rainforest or vine thickets,Rainforests and vine thickets
102.100.100/138593,,Northern Territory,-14.205429,136.852333,Arnhem Coast,Groote,1132.1428,109,1041,110.71806,20.871428,16,26.628572,17.7,26.916666,16.6,0.47714284,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Shrubs Scattered,Eucalyptus open woodlands,Eucalypt Open Woodlands,Eucalyptus low open woodlands with hummock grass,Eucalypt open woodlands
102.100.100/15887,Australia,Queensland,-13.74768,141.50618,Cape York Peninsula,Coastal Plains,1626,133,1531,127.64392,19.9,17,27,18,26.4625,17.600002,0.46,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Tussock grasslands,"Chenopod Shrublands, Samphire Shrublands and Forblands","Mixed chenopod, samphire +/- forbs",Tussock grasslands
102.100.100/15875,,,,,,,,,,,,,,,,,,,,,,,
102.100.100/15883,Australia,Queensland,-13.60315,141.6841,Cape York Peninsula,Weipa Plateau,1662,132,1590,128.42238,19.9,17,27,18,26.35,16.800001,0.47,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open woodlands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Eucalypt open woodlands
102.100.100/9466,Australia,Australian Capital Territory,-35.59065,148.9085,South Eastern Highlands,Murrumbateman,924,13,876,13.327965,16.1,39,10.8,26.6,10.283334,26.2,0.75,Eucalypt Tall Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Eucalyptus open forest,Eucalypt Woodlands,"Eucalyptus woodlands with ferns, herbs, sedges, rushes or wet tussock grassland",Eucalypt open forests
102.100.100/401616,Australia,New South Wales,-34.4029,150.84216,Sydney Basin,Sydney Cataract,1425,28,1393,26.46925,15.6,35,16.1,19.8,16.095833,18.3,0.9,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Eucalyptus tall open forest,Rainforests and Vine Thickets,Warm Temperate Rainforest,Eucalypt tall open forests
102.100.100/9586,Australia,Tasmania,-41.183047,148.029095,Ben Lomond,Ben Lomond,1462,23,1201,22.556982,12.6,50,9.1,16.8,9.55,16.3,0.96,Rainforest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Closed,Other forests and woodlands,Rainforests and Vine Thickets,,Other forests and woodlands
102.100.100/8142,Australia,Australian Capital Territory,-35.874817,149.01165,South Eastern Highlands,Murrumbateman,662,16,696,15.965281,16.6,38,9.5,26.3,9.604167,26.5,0.63,Eucalypt Tall Woodland,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,Tussock grasslands,Eucalypt Woodlands,Eucalyptus woodlands with a tussock grass understorey,Tussock grasslands
102.100.100/15891,Australia,Queensland,-13.84394,141.61639,Cape York Peninsula,Northern Holroyd Plain,1575,132,1518,127.040115,19.9,17,27,18.2,26.770834,18.300001,0.46,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,Acacia forests and woodlands,Eucalypt Open Woodlands,Eucalyptus open woodlands with a grassy understorey,Acacia forests and woodlands
102.100.100/13274,Australia,Tasmania,-39.72931,143.92897,King,King,882,37,954,38.83941,14.2,50,13.7,13.3,13.641666,14.4,0.74,Non forest,Primarily Vegetated Cultivated & Managed Lands Herbaceous Graminoids Rainfed Pasture,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
102.100.100/19453,Australia,New South Wales,-33.60963,150.73733,Sydney Basin,Cumberland,821,37,850,32.765514,17.1,33,17.7,26.2,17.333334,25.3,0.58,Non forest,Primarily Vegetated Natural & Semi-Natural Terrestrial Vegetation Woody Trees Open,"cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings","Cleared, non-native vegetation, buildings",Eucalypt woodlands
