Organelle type	GenBank accession	GenBank submission date	GenBank submitter	RefSeq accession	Organism taxid	Organism common name	Organism name	Bioproject accession	Length	Topology	Gene count
Chloroplast	AJ316582.1	2000-05-24	Botanisches Institut, Ludwig Maximilians Universitaet Muenchen, Menzinger Str. 67, Muenchen, Bavaria 80638, Germany	NC_004561.1	33113	belladonna	Atropa belladonna		156687	Circular	130
Chloroplast	AY228468.2	2003-02-03	Korea Forest Research Institute	NC_004677.2	88728		Pinus koraiensis		117190	Circular	315
Chloroplast	AY178864.1	2002-05-11	Utah State University	NC_004766.1	13818		Adiantum capillus-veneris		150568	Circular	130
Chloroplast	AJ428413.1	2002-01-17	Institut fuer Spezielle Botanik, Friedrich-Schiller-Universitaet, Philosophenweg 16, Jena D-07743, GERMANY	NC_004993.1	212734		Calycanthus floridus var. glaucus		153337	Circular	132
Chloroplast	AJ506156.2	2002-11-05	Institut fuer Spezielle Botanik, Friedrich-Schiller-Universitaet Jena, Philosophenweg 16, 07743 Jena	NC_005086.1	13333		Amborella trichopoda		162686	Circular	129
Chloroplast	AP005672.2	2002-08-30	Contact:Mamoru Sugita Nagoya University, Center for Gene Research; Chikusaku Furo-cho, Nagoya, Aichi 464-8602, Japan	NC_005087.2	3218		Physcomitrium patens		122890	Circular	132
Chloroplast	BK000554.2	2003-07-10	Boyce Thompson Institute for Plant Research	NC_005353.1	3055		Chlamydomonas reinhardtii		203828	Circular	109
Chloroplast	AE009947.2	2002-01-21	Escola Superior de Agricultura Luiz de Queiroz - Universidade de Sao Paulo	NC_005878.2	193079		Saccharum hybrid cultivar SP80-3280	PRJNA12245	141182	Circular	144
Chloroplast	AP006728.1	2004-01-30	National Institute of Agrobiological Sciences, Genetic Diversity Department; 2-1-2 Kannondai, Tsukuba, Ibaraki 305-8602, Japan	NC_005973.1	2998809		Oryza sativa f. spontanea		134494	Circular	165
Chloroplast	AJ627251.1	2005-02-10	Institut fuer Spezielle Botanik, Friedrich-Schiller-Universitaet Jena, Philosophenweg 16, 07743 Jena	NC_006050.1	34301		Nymphaea alba		159930	Circular	130
Chloroplast	AP006714.1	2003-11-17	National Institute of Agrobiological Sciences; Kannondai 2-1-2, Tsukuba, Ibaraki 305-8602, Japan	NC_006084.1	717233		Saccharum hybrid cultivar NCo 310		141182	Circular	163
Chloroplast	AY582139.1	2004-03-25	Korea University	NC_006290.1	4054		Panax ginseng		156318	Circular	132
Chloroplast	AY660566.1	2004-06-18	DOE Joint Genome Institute and Lawrence Berkeley National Laboratory	NC_006861.1	37429	shining club moss	Huperzia lucidula		154373	Circular	129
Chloroplast	AJ970307.1	2005-04-02	Plant Genetics Breeding & Biotechnology, Warsaw Agricultural University, Nowourysnowska 159	NC_007144.1	3659	cucumber	Cucumis sativus		155293	Linear	130
Plastid	AJ879453.1	2005-01-25	Frank Hellwig, Institut fuer Spezielle Botanik, Friedrich-Schiller-Universitaet Jena, Philosophenweg 16, 07743 Jena	NC_007407.1	4465		Acorus calamus		153821	Circular	130
Chloroplast	AY916449.1	2005-02-01	National Cheng Kung University	NC_007499.1	308872		Phalaenopsis aphrodite subsp. formosana		148964	Circular	150
Chloroplast	AB237912.1	2005-10-12	Nagoya City University, Graduate School of Natural Sciences; Yamanohata, Mizuho, Nagoya, Aichi, 467-8501	NC_007500.1	4096	wood tobacco	Nicotiana sylvestris		155941	Circular	149
Chloroplast	AP007232.1	2004-08-09	Research Institute of Innovative Technology for the Earth; 9-2 Kizugawa-dai, Kizu-cho, Souraku-gun, Kyoto 619-0292, Japan	NC_007578.1	4236	garden lettuce	Lactuca sativa		152765	Circular	128
Chloroplast	AB240139.1	2005-11-02	Nagoya City University, Graduate School of Natural Sciences; Yamanohata, Mizuho, Nagoya, Aichi, 467-8501, Japan	NC_007602.1	4098		Nicotiana tomentosiformis		155745	Circular	150
Chloroplast	DQ347959.1	2006-01-03	University of Central Florida	NC_007898.3	4081	tomato	Solanum lycopersicum		155461	Circular	142
Chloroplast	DQ317523.1	2005-12-07	Univeristy of Central Florida	NC_007942.1	3847	soybean	Glycine max		152218	Circular	128
Chloroplast	DQ347958.1	2006-01-03	University of Central Florida	NC_007943.1	147425		Solanum bulbocastanum		155371	Circular	140
Chloroplast	DQ345959.1	2005-12-30	University of Central Florida	NC_007944.1	3635	cotton	Gossypium hirsutum		160301	Circular	129
Chloroplast	DQ424856.1	2006-03-03	University of Central Florida	NC_007957.1	29760	wine grape	Vitis vinifera		160928	Circular	130
Chloroplast	DQ383815.1	2006-01-30	The University of Texas at Austin	NC_007977.1	4232	common sunflower	Helianthus annuus		151104	Circular	138
Chloroplast	DQ386163.2	2006-02-01	CNR-IGV, Institute of Plant Genetics	NC_008096.2	4113	potato	Solanum tuberosum		155296	Circular	141
Chloroplast	DQ229107.1	2005-10-03	Universite Laval	NC_008097.1	55564		Chara vulgaris		184933	Circular	148
Chloroplast	DQ291132.1	2005-11-15	Universite Laval	NC_008099.1	51324		Oltmannsiellopsis viridis		151933	Circular	127
Plastid	DQ398104.1	2006-02-13	University of British Columbia	NC_008100.1	145475		Helicosporidium sp. ex Simulium jonesi		37454	Circular	54
Chloroplast	DQ396875.1	2006-02-10	Universite Laval	NC_008101.1	3088		Tetradesmus obliquus		161452	Circular	113
Chloroplast	AY835431.1	2004-11-23	Universite Laval	NC_008114.1	160070		Tupiella akineta		195867	Circular	142
Chloroplast	AY780259.1	2004-10-13	University of Tasmania	NC_008115.1	71271		Eucalyptus globulus subsp. globulus		160286	Circular	135
Chloroplast	AY958085.1	2005-03-11	Universite Laval	NC_008116.1	102822		Staurastrum punctulatum		157089	Circular	138
Chloroplast	AY958086.1	2005-03-11	Universite Laval	NC_008117.1	35869		Zygnema circumcarinatum		165372	Circular	140
Chloroplast	AY522329.1	2004-01-07	Institute of Genetics and Developmental Biology, Chinese Academy of Sciences	NC_008155.1	39946	long-grained rice	Oryza sativa Indica Group		134496	Circular	65
Chloroplast	AP008956.1	2005-03-31	Research Institute of Innovative Technology for the Earth (RITE); 9-2 Kizugawadai, Kizu-cho Soraku-gun, Kyoto 619-0292, Japan	NC_008235.1	43335	white poplar	Populus alba		156505	Circular	129
Chloroplast	CR954199.2			NC_008289.1	70448		Ostreococcus tauri		71666	Circular	94
Chloroplast	DQ898156.1	2006-08-11	University of Central Florida	NC_008325.1	4039	carrot	Daucus carota		155911	Circular	138
Chloroplast	DQ899947.1	2006-08-13	Penn State University	NC_008326.1	3415		Liriodendron tulipifera		159886	Circular	129
Chloroplast	DQ864733.1	2006-07-24	University of Central Florida	NC_008334.1	2711	sweet orange	Citrus sinensis		160129	Linear	140
Chloroplast	DQ923116.1	2006-08-25	University of Florida	NC_008335.1	4403		Platanus occidentalis		161791	Circular	136
Chloroplast	DQ923117.1	2006-08-25	University of Florida	NC_008336.1	41776	heavenly bamboo	Nandina domestica		156599	Circular	134
Chloroplast	DQ226511.1	2005-09-21	University of Delhi South Campus	NC_008359.1	248361		Morus indica		158484	Circular	130
Chloroplast	DQ630521.1	2006-05-15	Universite Laval	NC_008372.1	55999		Stigeoclonium helveticum		223902	Circular	110
Chloroplast	DQ673255.1	2006-05-30	Korea University	NC_008407.1	126431		Jasminum nudiflorum		165121	Circular	131
Chloroplast	DQ897681.1	2006-08-10	The University of Texas-Austin	NC_008454.1	4031		Pelargonium x hortorum		217942	Circular	220
Chloroplast	DQ887676.1	2006-08-08	The University of Texas at Austin	NC_008456.1	224735		Drimys granadensis		160604	Circular	137
Chloroplast	DQ887677.1	2006-08-08	The University of Texas at Austin	NC_008457.1	398741		Piper cenocladum		160624	Circular	130
Chloroplast	EF044213.1	2006-10-05	University of Central Florida	NC_008535.1	13443	coffee	Coffea arabica		155189	Circular	140
Chloroplast	EF115541.1	2006-11-13	University of Central Florida	NC_008590.1	112509	domesticated barley	Hordeum vulgare subsp. vulgare		136462	Circular	141
Chloroplast	EF115543.1	2006-11-13	University of Central Florida	NC_008591.1	63632		Agrostis stolonifera		136584	Circular	133
Chloroplast	EF115542.1	2006-11-13	University of Central Florida	NC_008602.1	4558	sorghum	Sorghum bicolor		140754	Circular	140
Chloroplast	AP009123.1	2006-01-13	Kyoto University, Garduate School of Agriculture, Environmental and Biotechnology Laboratory; Kitashirakawa Oiwake-cho, Kyoto, Kyoto 606-8502, Japan	NC_008641.1	3634	sea-island cotton	Gossypium barbadense		160317	Circular	129
Chloroplast	DQ354691.1	2006-01-06	Central Washington University	NC_008788.1	77108		Nuphar advena		160866	Circular	132
Chloroplast	DQ359689.1	2006-01-12	Central Washington University	NC_008796.1	334596		Ranunculus macranthus		155129	Circular	131
Chloroplast	DQ422812.2	2006-03-01	Universite Laval	NC_008822.1	3144		Chlorokybus atmophyticus		152254	Circular	157
Chloroplast	DQ821119.1	2006-06-26	Utah State University	NC_008829.1	13825		Angiopteris evecta		153901	Circular	141
Chloroplast	EF489041.1	2007-03-13	US DOE Joint Genome Institute	NC_009143.1	3694	black cottonwood	Populus trichocarpa	PRJNA10772	157033	Circular	144
Chloroplast	DQ886273.1	2006-08-04	Universidad Nacional Autonoma de Mexico	NC_009259.1	3885		Phaseolus vulgaris		150285	Circular	129
Chloroplast	AP009366.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009265.1	434059		Aethionema cordifolium		154168	Circular	129
Chloroplast	AP009367.1	2007-03-26	Hirokazu Kotani, Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan (E-mail:kotani@kazusa.or.jp, Tel:81-438-52-3920, Fax:81-438-52-3924)	NC_009266.1	72657		Aethionema grandiflorum		154243	Circular	129
Chloroplast	AP009368.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009267.1	74718		Olimarabidopsis pumila		154737	Circular	130
Chloroplast	AP009369.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009268.1	78191		Arabis hirsuta		153689	Circular	129
Chloroplast	AP009370.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009269.1	50458	early winter cress	Barbarea verna		154532	Circular	130
Chloroplast	AP009371.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009270.1	3719	shepherd's purse	Capsella bursa-pastoris		154490	Circular	130
Chloroplast	AP009372.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009271.1	78192		Crucihimalaya wallichii		155199	Circular	130
Chloroplast	AP009373.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009272.1	171822		Draba nemorosa		153289	Circular	129
Chloroplast	AP009374.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009273.1	59292		Lepidium virginicum		154743	Circular	130
Chloroplast	AP009375.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009274.1	226051		Lobularia maritima		152659	Circular	129
Chloroplast	AP009376.1	2007-03-26	Kazusa DNA Research Institute, Lab. Chromosome Research II; kazusakamatari 2-6-7, Kisarazu, Chiba 292-0812, Japan	NC_009275.1	65948		Nasturtium officinale		155105	Circular	130
Chloroplast	EF380352.1	2007-01-22	The University of Texas at Austin	NC_009598.1	13006		Chloranthus spicatus		157772	Circular	131
Chloroplast	EF380351.1	2007-01-22	The University of Texas at Austin	NC_009599.1	153571		Buxus microphylla		159010	Circular	139
Chloroplast	EF380354.1	2007-01-22	The University of Texas at Austin	NC_009600.1	145286		Illicium oligandrum		148553	Circular	126
Chloroplast	EF380353.1	2007-01-22	The University of Texas at Austin	NC_009601.1	145284		Dioscorea elephantipes		152609	Circular	130
Chloroplast	AP009339.1	2007-02-02	Academia Sinica, Research Center for Biodiversity; Academia Rd, Taipei 115, Taiwan	NC_009618.1	54799		Cycas taitungensis		163403	Circular	169
Chloroplast	EF506945.1	2007-03-22	Universite Laval	NC_009681.1	34116		Pleurastrum terricola		195081	Circular	119
Chloroplast	AM711639.1	2007-03-19	Zellbiologie, Philipps Universitaet Marburg, Karl-von-Frisch-Strasse, Marburg 35032	NC_009765.1	35886		Cuscuta gronovii		86744	Circular	98
Chloroplast	AM711640.1	2007-03-19	Funk H.T., Zellbiologie, Philipps Universitaet Marburg, Karl-von-Frisch-Strasse, Marburg 35032, Germany	NC_009766.1	4129	southern Asian dodder	Cuscuta reflexa		121521	Circular	113
Chloroplast	EU118126.1	2007-08-23	University of Georgia	NC_009808.1	4121	common morning-glory	Ipomoea purpurea		162046	Circular	131
Chloroplast	EU189133.1	2007-10-02	University of Georgia	NC_009949.1	437280		Cuscuta obtusiflora		85286	Circular	98
Chloroplast	AM777385.2	2007-07-27	Barth S., Biotechnology, Teagasc Crops Research Centre, Oak Park, Carlow, IRELAND	NC_009950.1	4522		Lolium perenne		135282	Circular	130
Chloroplast	EF614270.1	2007-05-16	University of Florida	NC_009962.1	4428		Ceratophyllum demersum		156252	Circular	131
Chloroplast	EU189132.1	2007-10-02	University of Georgia	NC_009963.1	476139		Cuscuta exaltata		125373	Circular	117
Chloroplast	EU273602.1	2007-11-09	Central Washington University	NC_010093.1	263995		Acorus calamus var. americanus		153819	Circular	132
Chloroplast	DQ400350.1	2006-02-13	Center "Bioengineering" of The Russian Academy of Sciences	NC_010109.1	4472		Lemna minor		165955	Circular	135
Chloroplast	EU431223.1	2008-01-28	University of Hawaii at Manoa	NC_010323.1	3649	papaya	Carica papaya		160100	Circular	131
Chloroplast	EU262887.2	2007-11-02	Ludwig-Maximilians-University Munich	NC_010358.2	3940	Appalachian evening primrose	Oenothera argillicola		165061	Circular	135
Chloroplast	EU043314.1	2007-07-18	University of Connecticut	NC_010359.1	280810		Aneura mirabilis		108007	Circular	128
Chloroplast	EU262890.2	2007-11-02	Ludwig-Maximilians-University Munich	NC_010360.2	482428		Oenothera glazioviana		165359	Circular	135
Chloroplast	EU262889.2	2007-11-02	Ludwig-Maximilians-University Munich	NC_010361.1	3942	German evening primrose	Oenothera biennis		164807	Circular	135
Chloroplast	EU262891.2	2007-11-02	Ludwig-Maximilians-University Munich	NC_010362.1	482429		Oenothera parviflora		163365	Circular	135
Chloroplast	EU117376.1	2007-08-23	University of Central Florida	NC_010433.1	3983	cassava	Manihot esculenta		161453	Circular	131
Chloroplast	EU090187.1	2007-08-09	University of Texas	NC_010442.1	28494		Trachelium caeruleum		162321	Circular	140
Chloroplast	AP009377.1	2007-03-27	Akita Prefectural University, Institute of Wood Technology, 11-1 Kaieisaka, Noshiro, Akita 016-0876	NC_010548.1	3369	Japanese cedar	Cryptomeria japonica		131810	Circular	118
Chloroplast	EU549769.1	2008-03-06	University of British Columbia	NC_010601.1	4230	Niger seed	Guizotia abyssinica		151762	Circular	132
Chloroplast	EU342371.1	2007-12-13	Central Washington University	NC_010654.1	3377		Welwitschia mirabilis		119726	Circular	123
Chloroplast	EU254477.1	2007-10-30	Moscow State University	NC_010776.1	180217		Fagopyrum esculentum subsp. ancestrale		159599	Circular	131
Chloroplast	EU677193.1	2008-04-24	Universite Laval	NC_011031.1	55995		Oedogonium cardiacum		196547	Circular	138
Chloroplast	EU325680.1	2007-12-03	USDA	NC_011032.1	15368	stiff brome	Brachypodium distachyon		135199	Circular	133
Chloroplast	EU998739.3	2008-08-05	USDA Forest Service	NC_011152.3	3332	Sitka spruce	Picea sitchensis		120176	Circular	99
Chloroplast	EU998740.4	2008-08-05	USDA Forest Service	NC_011153.4	3339	lodgepole pine	Pinus contorta		120438	Circular	110
Chloroplast	EU998741.4	2008-08-05	USDA Forest Service	NC_011154.4	71632		Pinus gerardiana		117618	Circular	110
Chloroplast	EU998742.4	2008-08-05	USDA Forest Service	NC_011155.4	3342	Krempf's pine	Pinus krempfii		116989	Circular	108
Chloroplast	EU998743.4	2008-08-05	USDA Forest Service	NC_011156.4	3343	sugar pine	Pinus lambertiana		117239	Circular	110
Chloroplast	EU998745.4	2008-08-05	USDA Forest Service	NC_011158.4	151562		Pinus monophylla		116479	Circular	111
Chloroplast	EU998746.4	2008-08-05	USDA Forest Service	NC_011159.4	71643		Pinus nelsonii		116834	Circular	111
Chloroplast	EU835853.1	2008-06-19	University of Central Florida	NC_011163.1	3827	chickpea	Cicer arietinum		125319	Circular	108
Chloroplast	FJ466687.2	2008-11-17	Middle Tennessee State University	NC_011713.2	4606		Lolium arundinaceum		136048	Circular	126
Chloroplast	EU849487.1	2008-06-23	University of Texas at Austin	NC_011828.1	3900		Trifolium subterraneum		144763	Circular	107
Chloroplast	AP010820.1	2008-07-02	Academia Sinica, Research Center for Biodiversity; Sec. 2, Academia Rd, Taipei 115	NC_011930.1	3324		Keteleeria davidiana		117720	Circular	119
Chloroplast	AP009569.1	2007-12-21	Academia Sinica, Research Center for Biodiversity; Sec. 2, Academia Rd, Taipei 115, Taiwan	NC_011942.1	33153		Gnetum parvifolium		114914	Circular	115
Chloroplast	AP010819.1	2008-07-02	Academia Sinica, Research Center for Biodiversity; Sec. 2, Academia Rd, Taipei 115, Taiwan	NC_011954.1	173280		Ephedra equisetina		109518	Circular	120
Chloroplast	FJ546412.1	2008-12-11	USDA-ARS	NC_012052.1	38588		Syntrichia ruralis		122630	Circular	128
Chloroplast	FJ493498.1	2008-12-05	Universite Laval	NC_012097.1	41880		Pycnococcus provasolii		80211	Circular	101
Chloroplast	FJ493499.1	2008-11-26	Universite Laval	NC_012099.1	36894		Pyramimonas parkeae		101605	Circular	130
Chloroplast	FJ493497.1	2008-12-05	Universite Laval	NC_012101.1	141716		Monomastix sp. OKE-1		114528	Circular	112
Chloroplast	FJ695500.1	2009-02-04	National Botanical Research Institute	NC_012224.1	180498		Jatropha curcas		163856	Circular	130
Chloroplast	FJ858267.1	2009-03-25	US DOE Joint Genome Institute	NC_012575.1	296587		Micromonas commoda	PRJNA15676	72585	Circular	32
Chloroplast	FJ597983.1	2008-12-27	Korea University	NC_012615.1	93213		Megaleranthis saniculifolia		159924	Circular	131
Chloroplast	FJ556581.1	2008-12-16	The Chinese Academy of Sciences	NC_012818.1	204586		Alsophila spinulosa		156661	Circular	133
Chloroplast	FJ970915.1	2009-04-27	Academia Sinica	NC_012927.1	58923		Bambusa oldhamii		139350	Circular	127
Chloroplast	FJ968741.1	2009-04-24	Universite Laval	NC_012978.1	3074		Parachlorella kessleri		123994	Circular	126
Plastid	FJ755183.1	2009-03-01	Purdue University	NC_013086.1	88036		Selaginella moellendorffii		143780	Circular	101
Chloroplast	FJ970916.1	2009-04-27	Academia Sinica	NC_013088.1	257763		Dendrocalamus latiflorus		139394	Circular	132
Chloroplast	FJ261955.1	2008-09-27	Northern Illinois University	NC_013273.1	4505	Job's tears	Coix lacryma-jobi		140745	Circular	157
Chloroplast	GQ892829.1	2009-09-08	Institute of Oceanology, The Chinese Academy of Sciences	NC_013359.1	222885		Bryopsis hypnoides		153429	Circular	111
Chloroplast	GU120098.1	2009-10-16	USDA ARS Western Regional Research Center	NC_013553.1	35935		Parthenium argentatum		152803	Linear	106
Chloroplast	GU228899.2	2011-12-15	Universita' Degli Studi di Udine	NC_013707.2	4146	common olive	Olea europaea		155888	Circular	131
Chloroplast	GU195652.1	2009-11-12	The University of Texas at Austin	NC_013823.1	4733		Typha latifolia		161572	Circular	133
Chloroplast	GQ893027.1	2009-09-09	Genome Institute, National Center for Genetic Engineering and Biotechnology	NC_013843.1	157791		Vigna radiata		151271	Circular	131
Chloroplast	GU811709.2	2010-02-17	King Abdulaziz City for Science and Technology	NC_013991.2	42345	date palm	Phoenix dactylifera		158462	Circular	149
Chloroplast	GQ324949.1	2009-06-24	Academia Sinica	NC_014056.1	141207		Oncidium hybrid cultivar		146484	Circular	128
Chloroplast	HM029370.1	2010-03-23	Cambridge University	NC_014057.1	3888	garden pea	Pisum sativum		122169	Circular	110
Chloroplast	GQ329703.1	2009-06-25	Northern Illinois University	NC_014062.1	38684		Anomochloa marantoidea		138412	Circular	145
Chloroplast	HM029371.1	2010-03-23	Trinity College Dublin	NC_014063.1	3860		Lathyrus sativus		121020	Circular	109
Chloroplast	GU196268.1	2009-11-09	Universite Laval	NC_014346.1	51328		Floydiella terrestris		521168	Circular	105
Chloroplast	HM535629.1	2010-06-11	Utah State University	NC_014348.1	104588		Pteridium aquilinum subsp. aquilinum		152362	Circular	132
Plastid	HM125536.1	2010-04-15	The University of Texas at Austin	NC_014569.1	28960		Erodium texanum		130812	Circular	118
Chloroplast	HM347959.1	2010-05-21	Instituto de Investigacao Cientifica Tropical	NC_014570.1	71139		Eucalyptus grandis		160137	Circular	128
Plastid	HM125537.1	2010-04-15	The University of Texas at Austin	NC_014573.1	326026		Geranium palmatum		155794	Circular	161
Chloroplast	AB480043.1	2009-02-03	Contact:Ching-Ping Lin Biodiversity Research Center, Academia Sinica; 128 Academia Road Sec. 2, Taipei, Taipei 11529, Taiwan	NC_014575.1	3322	deodar cedar	Cedrus deodara		119299	Circular	115
Plastid	HM125538.1	2010-04-15	The University of Texas at Austin	NC_014582.1	163694		Monsonia speciosa		128787	Circular	120
Chloroplast	AB547400.1	2010-02-19	Biodiversity Research Center, Academia Sinica; 128 Sec. 2, Academia Rd, Taipei, Taipei 11529	NC_014589.1	64686		Cathaya argyrophylla		107122	Circular	110
Chloroplast	HM778032.1	2010-07-19	Utah State University	NC_014592.1	531291		Myriopteris lindheimeri	PRJNA50497	155770	Circular	132
Chloroplast	HQ336406.1	2010-09-28	University of Texas at Austin	NC_014674.1	60419	Chinese chestnut	Castanea mollissima		160799	Circular	130
Chloroplast	GU191333.1	2009-11-10	The New York Botanical Garden	NC_014675.1	49763		Isoetes flaccida		145303	Circular	136
Chloroplast	HQ244500.2	2011-07-07	University of British Columbia	NC_014676.2	3641	cacao	Theobroma cacao		160619	Circular	126
Chloroplast	HQ336405.1	2010-09-28	University of Texas at Austin	NC_014697.1	3760	peach	Prunus persica		157790	Circular	131
Chloroplast	GU191334.1	2009-11-10	The New York Botanical Garden	NC_014699.1	3258	field horsetail	Equisetum arvense		133309	Circular	132
Chloroplast	HQ207704.1	2010-08-31	Allan Wilson Centre, Massey University	NC_014807.1	4312		Corynocarpus laevigatus		159202	Circular	128
Plastid	GQ413967.1	2009-07-24	Australian Research Council CoE Plant Energy Biology	NC_014874.1	112168		Rhizanthella gardneri		59190	Circular	42
Chloroplast	HQ713469.1	2010-12-16	University of Texas--Austin	NC_015083.1	337360		Erodium carvifolium		116935	Circular	113
Plastid	HQ693844.1	2010-12-08	University of British Columbia	NC_015084.1	574566		Coccomyxa subellipsoidea C-169		175731	Circular	115
Chloroplast	GU456628.1	2010-01-12	University of Illinois at Urbana-Champaign	NC_015113.1	40888	chervil	Anthriscus cerefolium		154719	Circular	132
Chloroplast	DQ231548.1	2005-08-25	Seoul Natioanl University	NC_015139.1	51351	Chinese cabbage	Brassica rapa subsp. pekinensis		153482	TOPOLOGY_UNKNOWN	0
Chloroplast	GU907100.1	2010-02-22	Cotton Research Institute of Chinese Academy of Agricultural Sciences	NC_015204.1	34273		Gossypium thurberi		160264	Circular	134
Chloroplast	JF345175.1	2011-02-18	Virginia Bioinformatics Institute at Virginia Polytechnic Institute and State University	NC_015206.1	101020		Fragaria vesca subsp. vesca	PRJNA60037	155691	Circular	130
Chloroplast	HQ285842.1	2010-09-19	Genomic Research Laboratory, Genome Institute, National Center for Genetic Engineering and Biotechnology	NC_015308.1	3981	rubber tree	Hevea brasiliensis		161191	Circular	136
Plastid	HQ914635.1	2011-01-20	University of British Columbia	NC_015359.1	554065		Chlorella variabilis		124579	Circular	115
Plastid	FN997650.2	2010-07-05	Division of Biology Ecology and Evolution section, Imperial College London, Silwood Park Campus, Buckhurst road, Berks, SL5 7PY	NC_015401.1	158383		Olea europaea subsp. europaea		155875	Circular	130
Chloroplast	HM222519.1	2010-05-12	University of Connecticut	NC_015402.1	3143427		Ptilidium pulcherrimum		119007	Circular	133
Chloroplast	HQ234669.1	2010-09-08	Institute of Biology	NC_015543.1	98722		Jacobaea vulgaris		150689	Circular	132
Chloroplast	FN650747.2	2010-01-08	Division of Biology Ecology and Evolution section, Imperial College London, Silwood Park Campus, Buckhurst road, Berks, SL5 7PY	NC_015604.1	129566		Olea europaea subsp. cuspidata		155862	Linear	130
Chloroplast	FJ754269.1	2009-02-16	College of Life Sciences	NC_015605.1	4431		Nelumbo lutea		163206	Circular	130
