Bin Name	Marker Lineage	# Genomes	# Markers	# Marker Sets	0	1	2	3	4	5+	Completeness	Contamination
Brady_401553-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	20	670	3	0	0	0	97.38	0.42
Brady_401553-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	71	619	3	0	0	0	90.08	0.73
Brady_401554-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	10	683	0	0	0	0	98.94	0.0
Brady_401554-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	24	668	1	0	0	0	95.79	0.06
Brady_401554-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	88	603	2	0	0	0	86.47	0.39
Brady_401556-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	9	684	0	0	0	0	98.91	0.0
Brady_401556-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	27	665	1	0	0	0	95.82	0.06
Brady_401556-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	71	621	1	0	0	0	89.03	0.06
Brady_401557-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	685	1	0	0	0	98.42	0.34
Brady_401557-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	22	669	2	0	0	0	96.9	0.14
Brady_401557-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	78	610	5	0	0	0	88.12	0.99
Brady_401558-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	687	0	0	0	0	99.39	0.0
Brady_401558-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	25	665	3	0	0	0	96.74	0.31
Brady_401558-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	75	615	3	0	0	0	87.98	0.42
Brady_401560-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	686	0	0	0	0	98.7	0.0
Brady_401560-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	21	670	2	0	0	0	96.54	0.08
Brady_401560-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	76	614	3	0	0	0	87.29	0.56
Brady_401561-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	8	685	0	0	0	0	98.69	0.0
Brady_401561-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	21	671	1	0	0	0	97.06	0.06
Brady_401561-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	88	604	1	0	0	0	87.63	0.06
Brady_401563-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	98.64	0.0
Brady_401563-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	22	669	2	0	0	0	97.07	0.17
Brady_401563-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	76	616	1	0	0	0	87.03	0.06
Brady_401564-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	686	0	0	0	0	99.14	0.0
Brady_401564-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	26	666	1	0	0	0	95.31	0.06
Brady_401564-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	91	600	2	0	0	0	86.45	0.14
Brady_401566-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	689	1	0	0	0	99.79	0.17
Brady_401566-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	19	673	1	0	0	0	96.97	0.06
Brady_401566-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	82	609	2	0	0	0	87.01	0.39
Brady_401567-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	690	0	0	0	0	99.72	0.0
Brady_401567-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	16	675	2	0	0	0	97.54	0.39
Brady_401567-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	90	601	2	0	0	0	86.57	0.23
Brady_401568-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	687	0	0	0	0	98.48	0.0
Brady_401568-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	16	674	3	0	0	0	97.1	0.73
Brady_401568-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	87	600	6	0	0	0	86.26	1.04
Brady_401569-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	99.43	0.0
Brady_401569-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	13	678	2	0	0	0	98.29	0.23
Brady_401569-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	85	602	6	0	0	0	87.92	0.93
Brady_401570-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	12	681	0	0	0	0	97.65	0.0
Brady_401570-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	15	677	1	0	0	0	97.3	0.06
Brady_401570-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	68	623	1	1	0	0	90.11	0.73
Brady_401571-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	690	0	0	0	0	99.26	0.0
Brady_401571-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	15	677	1	0	0	0	98.21	0.06
Brady_401571-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	92	598	3	0	0	0	85.89	0.17
Brady_401573-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	98.98	0.0
Brady_401573-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	23	668	2	0	0	0	95.46	0.39
Brady_401573-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	55	636	2	0	0	0	90.97	0.39
Brady_401576-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	690	0	0	0	0	99.58	0.0
Brady_401576-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	22	670	1	0	0	0	96.59	0.06
Brady_401576-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	90	600	3	0	0	0	86.45	0.56
Brady_401577-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	11	681	1	0	0	0	98.11	0.34
Brady_401577-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	20	672	1	0	0	0	96.58	0.06
Brady_401577-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	92	597	4	0	0	0	86.6	0.65
Brady_401579-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	2	691	0	0	0	0	99.32	0.0
Brady_401579-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	16	676	1	0	0	0	97.2	0.06
Brady_401579-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	80	610	3	0	0	0	87.87	0.11
Brady_401580-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	686	1	0	0	0	99.35	0.02
Brady_401580-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	21	671	1	0	0	0	96.58	0.06
Brady_401580-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	90	601	2	0	0	0	86.48	0.23
Brady_401581-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	686	1	0	0	0	99.02	0.04
Brady_401581-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	22	670	1	0	0	0	96.09	0.06
Brady_401581-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	59	632	2	0	0	0	90.81	0.39
Brady_401582-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	687	1	0	0	0	98.99	0.07
Brady_401582-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	18	674	1	0	0	0	96.13	0.06
Brady_401582-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	72	618	3	0	0	0	89.46	0.56
Brady_401583-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	99.21	0.0
Brady_401583-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	20	670	3	0	0	0	97.61	0.34
Brady_401583-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	79	612	2	0	0	0	88.91	0.39
Brady_401586-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	98.59	0.0
Brady_401586-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	18	673	2	0	0	0	96.76	0.39
Brady_401586-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	67	624	2	0	0	0	86.82	0.39
Brady_401588-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	687	0	0	0	0	98.42	0.0
Brady_401588-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	18	672	3	0	0	0	97.02	0.24
Brady_401588-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	66	625	2	0	0	0	89.72	0.39
Brady_401589-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	8	685	0	0	0	0	98.82	0.0
Brady_401589-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	14	677	2	0	0	0	98.35	0.39
Brady_401589-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	64	625	4	0	0	0	89.83	1.07
Brady_401591-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	99.06	0.0
Brady_401591-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	17	675	1	0	0	0	97.05	0.06
Brady_401591-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	92	599	2	0	0	0	86.3	0.39
Brady_401592-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	9	683	1	0	0	0	97.93	0.17
Brady_401592-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	21	668	4	0	0	0	96.37	0.44
Brady_401592-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	91	597	5	0	0	0	85.45	0.5
Brady_401593-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	4	689	0	0	0	0	99.3	0.0
Brady_401593-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	13	679	1	0	0	0	97.52	0.06
Brady_401593-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	68	622	3	0	0	0	89.18	0.23
Brady_401594-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	4	689	0	0	0	0	99.43	0.0
Brady_401594-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	14	675	4	0	0	0	97.13	0.59
Brady_401594-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	86	606	1	0	0	0	87.29	0.06
Brady_401595-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	685	1	0	0	0	99.3	0.02
Brady_401595-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	17	674	2	0	0	0	97.53	0.1
Brady_401595-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	84	607	2	0	0	0	87.0	0.14
Brady_401600-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	686	2	0	0	0	99.41	0.42
Brady_401600-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	17	673	3	0	0	0	97.35	0.73
Brady_401600-Reads_1-Strain_4.Genome	o__Rhizobiales	107	485	316	66	418	1	0	0	0	85.16	0.32
Brady_401604-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	10	683	0	0	0	0	98.38	0.0
Brady_401604-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	14	677	2	0	0	0	97.79	0.39
Brady_401604-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	68	624	1	0	0	0	89.71	0.06
Brady_401606-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	9	682	2	0	0	0	98.74	0.28
Brady_401606-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	16	675	2	0	0	0	97.4	0.23
Brady_401606-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	75	616	2	0	0	0	87.83	0.23
Brady_401608-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	687	0	0	0	0	99.19	0.0
Brady_401608-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	12	680	1	0	0	0	97.33	0.06
Brady_401608-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	69	621	3	0	0	0	89.83	0.56
Brady_401614-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	686	0	0	0	0	98.7	0.0
Brady_401614-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	21	670	2	0	0	0	96.12	0.39
Brady_401614-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	64	627	2	0	0	0	90.59	0.39
Brady_401616-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	99.24	0.0
Brady_401616-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	18	673	2	0	0	0	96.15	0.39
Brady_401616-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	72	617	4	0	0	0	88.83	0.58
Brady_401624-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	2	691	0	0	0	0	99.75	0.0
Brady_401624-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	21	670	2	0	0	0	96.98	0.39
Brady_401624-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	91	600	2	0	0	0	86.5	0.39
Brady_401632-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	686	0	0	0	0	98.25	0.0
Brady_401632-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	20	672	1	0	0	0	96.37	0.06
Brady_401632-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	52	637	4	0	0	0	91.86	1.07
Brady_401636-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	9	684	0	0	0	0	98.71	0.0
Brady_401636-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	27	665	1	0	0	0	95.47	0.06
Brady_401636-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	87	604	2	0	0	0	86.2	0.39
Brady_401640-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	5	688	0	0	0	0	99.06	0.0
Brady_401640-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	18	674	1	0	0	0	96.24	0.06
Brady_401640-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	87	605	1	0	0	0	87.63	0.06
Brady_401648-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	11	682	0	0	0	0	98.48	0.0
Brady_401648-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	19	672	2	0	0	0	97.09	0.39
Brady_401648-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	54	637	2	0	0	0	91.57	0.14
Brady_401652-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	6	686	1	0	0	0	99.06	0.11
Brady_401652-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	17	674	2	0	0	0	97.04	0.17
Brady_401652-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	79	612	2	0	0	0	88.54	0.14
Brady_401656-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	2	690	1	0	0	0	99.72	0.17
Brady_401656-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	24	665	4	0	0	0	95.92	0.73
Brady_401656-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	83	605	5	0	0	0	88.58	0.33
Brady_401658-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	690	0	0	0	0	99.71	0.0
Brady_401658-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	20	672	1	0	0	0	97.1	0.06
Brady_401658-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	95	595	3	0	0	0	86.39	0.7
Brady_401660-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	3	688	2	0	0	0	99.3	0.18
Brady_401660-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	14	678	1	0	0	0	97.78	0.06
Brady_401660-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	96	594	3	0	0	0	86.42	0.51
Brady_7083-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	8	685	0	0	0	0	98.99	0.0
Brady_7083-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	30	661	2	0	0	0	95.0	0.39
Brady_7083-Reads_1-Strain_4.Genome	f__Bradyrhizobiaceae	47	693	296	141	551	1	0	0	0	78.14	0.06
Brady_7085-Reads_1-Strain_2.Genome	f__Bradyrhizobiaceae	47	693	296	7	686	0	0	0	0	99.14	0.0
Brady_7085-Reads_1-Strain_3.Genome	f__Bradyrhizobiaceae	47	693	296	34	658	1	0	0	0	93.59	0.06
Brady_7085-Reads_1-Strain_4.Genome	o__Rhizobiales	107	485	316	103	380	2	0	0	0	78.74	0.63
