"GenomeName"	"GenomeID"	"genome_size"	"Type"	"Source"	"checkm_completeness"	"GenomeSize"	"Nod"	"Nfix"	"Photo"	"Function"	"SizeCat"
"GCA_015624505_1"	"GCA_015624505.1"	7622528	"GTDB Isolate"	"Plant"	99.4	7668539.23541247	0	0	0	" "	"Medium"
"GCA_029714945_1"	"GCA_029714945.1"	9368452	"Commercial"	"Other/NA"	99.75	9391931.82957393	5	6	0	"N fix. Sym."	"Large"
"GCA_024199945_1"	"GCA_024199945.1"	9212720	"GTDB MAG"	"Plant"	100	9212720	5	6	0	"N fix. Sym."	"Medium"
"GCA_008123425_1"	"GCA_008123425.1"	9952932	"GTDB MAG"	"Plant"	99.75	9977876.69172932	5	6	0	"N fix. Sym."	"Large"
"Brady_Reference"	"Reference"	8085095	"StrainFinder Ref"	"Soil"	99.7	8109423.26980943	5	6	0	"N fix. Sym."	"Medium"
"GCA_019455395_1"	"GCA_019455395.1"	7561022	"GTDB MAG"	"Plant"	99.7	7583773.31995988	0	6	0	"N fix. Free"	"Medium"
"GCA_001440035_1"	"GCA_001440035.1"	9145311	"GTDB MAG"	"Plant"	98.53	9281752.76565513	5	6	0	"N fix. Sym."	"Medium"
"GCA_022012435_1"	"GCA_022012435.1"	8804215	"GTDB MAG"	"Plant"	99.26	8869851.90409027	5	6	0	"N fix. Sym."	"Medium"
"GCA_030435535_1"	"GCA_030435535.1"	8176869	"GTDB MAG"	"Plant"	99.62	8208059.62658101	5	6	0	"N fix. Sym."	"Medium"
"GCA_936928535_1"	"GCA_936928535.1"	7495108	"GTDB MAG"	"Plant"	99.6	7525208.83534137	0	0	0	" "	"Small"
"GCA_021052265_1"	"GCA_021052265.1"	9825352	"Commercial"	"Other/NA"	100	9825352	5	6	0	"N fix. Sym."	"Large"
"GCA_006519655_1"	"GCA_006519655.1"	9771557	"GTDB MAG"	"Plant"	100	9771557	5	6	0	"N fix. Sym."	"Large"
"GCA_000473125_1"	"GCA_000473125.1"	9826880	"GTDB MAG"	"Other/NA"	100	9826880	5	6	0	"N fix. Sym."	"Large"
"GCA_014844175_1"	"GCA_014844175.1"	9700846	"GTDB Isolate"	"Other/NA"	97.57	9942447.47360869	5	6	0	"N fix. Sym."	"Large"
"GCA_016616235_1"	"GCA_016616235.1"	7668734	"GTDB Isolate"	"Plant"	100	7668734	5	6	0	"N fix. Sym."	"Medium"
"GCA_023073875_1"	"GCA_023073875.1"	7499432	"GTDB MAG"	"Plant"	99.89	7507690.45950546	5	6	0	"N fix. Sym."	"Small"
"GCA_023073475_1"	"GCA_023073475.1"	7481341	"GTDB MAG"	"Plant"	99.99	7482089.20892089	5	6	0	"N fix. Sym."	"Small"
"GCA_023074095_1"	"GCA_023074095.1"	7193770	"GTDB MAG"	"Plant"	99.94	7198088.85331199	4	6	0	"N fix. Sym."	"Small"
"GCA_023073935_1"	"GCA_023073935.1"	7295113	"GTDB MAG"	"Plant"	99.39	7339886.30646946	5	6	0	"N fix. Sym."	"Small"
"GCA_023073735_1"	"GCA_023073735.1"	7669210	"GTDB MAG"	"Plant"	99.69	7693058.48129201	5	6	0	"N fix. Sym."	"Medium"
"GCA_016031635_1"	"GCA_016031635.1"	8450368	"GTDB MAG"	"Plant"	99.7	8475795.38615848	4	6	0	"N fix. Sym."	"Medium"
"GCA_016031625_1"	"GCA_016031625.1"	7877331	"GTDB MAG"	"Plant"	99.75	7897073.68421053	5	6	0	"N fix. Sym."	"Medium"
"GCA_018130685_1"	"GCA_018130685.1"	7608398	"GTDB MAG"	"Soil"	99.95	7612204.10205103	0	0	0	" "	"Medium"
"GCA_018130565_1"	"GCA_018130565.1"	7930038	"GTDB MAG"	"Soil"	99.95	7934005.00250125	0	0	0	" "	"Medium"
"GCA_001593325_1"	"GCA_001593325.1"	7543105	"GTDB MAG"	"Soil"	96.69	7801328.98955425	5	6	0	"N fix. Sym."	"Medium"
"GCA_024199845_1"	"GCA_024199845.1"	9426670	"GTDB MAG"	"Plant"	99.96	9430442.17687075	5	6	0	"N fix. Sym."	"Large"
"GCA_018131185_1"	"GCA_018131185.1"	6943378	"GTDB MAG"	"Plant"	100	6943378	0	0	0	" "	"Small"
"GCA_900011265_1"	"GCA_900011265.1"	9091355	"GTDB Isolate"	"Soil"	99.58	9129699.73890339	0	0	0	" "	"Medium"
"GCA_004634465_1"	"GCA_004634465.1"	9053121	"GTDB MAG"	"Plant"	100	9053121	0	0	0	" "	"Medium"
"GCA_018130795_1"	"GCA_018130795.1"	8593443	"GTDB MAG"	"Soil"	100	8593443	0	0	0	" "	"Medium"
"GCA_018130735_1"	"GCA_018130735.1"	8637816	"GTDB MAG"	"Soil"	100	8637816	0	0	0	" "	"Medium"
"GCA_018130785_1"	"GCA_018130785.1"	8301925	"GTDB MAG"	"Soil"	99.99	8302755.27552755	0	0	0	" "	"Medium"
"GCA_027594865_1"	"GCA_027594865.1"	8276659	"GTDB Isolate"	"Plant"	100	8276659	5	6	0	"N fix. Sym."	"Medium"
"GCA_016616425_1"	"GCA_016616425.1"	7144346	"GTDB Isolate"	"Plant"	99.57	7175199.35723612	5	6	0	"N fix. Sym."	"Small"
"GCA_000472645_1"	"GCA_000472645.1"	9086516	"GTDB MAG"	"Other/NA"	100	9086516	5	6	0	"N fix. Sym."	"Medium"
"GCA_001908185_1"	"GCA_001908185.1"	8705449	"GTDB MAG"	"Other/NA"	99.03	8790718.97404827	5	6	0	"N fix. Sym."	"Medium"
"GCA_029714405_1"	"GCA_029714405.1"	10142525	"Commercial"	"Other/NA"	99.6	10183258.0321285	5	6	0	"N fix. Sym."	"Large"
"GCA_000472925_1"	"GCA_000472925.1"	10034502	"GTDB MAG"	"Other/NA"	99.91	10043541.1870684	5	6	0	"N fix. Sym."	"Large"
"GCA_029761915_1"	"GCA_029761915.1"	9430299	"Commercial"	"Other/NA"	99.99	9431242.12421242	5	6	0	"N fix. Sym."	"Large"
"Brady_401652_Strain_2"	"401652_Strain_2"	8085095	"StrainFinder"	"Soil"	99.06	8161816.07106804	5	6	0	"N fix. Sym."	"Medium"
"Brady_401588_Strain_2"	"401588_Strain_2"	8085095	"StrainFinder"	"Soil"	98.42	8214890.26620606	5	6	0	"N fix. Sym."	"Medium"
"Brady_401586_Strain_2"	"401586_Strain_2"	8085095	"StrainFinder"	"Soil"	98.59	8200725.22568212	5	6	0	"N fix. Sym."	"Medium"
"Brady_401557_Strain_2"	"401557_Strain_2"	8085095	"StrainFinder"	"Soil"	98.42	8214890.26620606	5	6	0	"N fix. Sym."	"Medium"
"Brady_401560_Strain_2"	"401560_Strain_2"	8085095	"StrainFinder"	"Soil"	98.7	8191585.61296859	5	6	0	"N fix. Sym."	"Medium"
"Brady_401558_Strain_2"	"401558_Strain_2"	8085095	"StrainFinder"	"Soil"	99.39	8134716.7723111	5	6	0	"N fix. Sym."	"Medium"
"Brady_401660_Strain_2"	"401660_Strain_2"	8085095	"StrainFinder"	"Soil"	99.3	8142089.62739174	5	6	0	"N fix. Sym."	"Medium"
"Brady_401553_Strain_2"	"401553_Strain_2"	8085095	"StrainFinder"	"Soil"	99.21	8149475.85928838	5	6	0	"N fix. Sym."	"Medium"
"Brady_401548_Strain_2"	"401548_Strain_2"	8085095	"StrainFinder"	"Soil"	98.39	8217395.06047363	5	6	0	"N fix. Sym."	"Medium"
"Brady_401550_Strain_2"	"401550_Strain_2"	8085095	"StrainFinder"	"Soil"	99.02	8165113.10846294	5	6	0	"N fix. Sym."	"Medium"
"Brady_401658_Strain_2"	"401658_Strain_2"	8085095	"StrainFinder"	"Soil"	99.71	8108609.96890984	5	6	0	"N fix. Sym."	"Medium"
"Brady_401589_Strain_2"	"401589_Strain_2"	8085095	"StrainFinder"	"Soil"	98.82	8181638.33232139	5	6	0	"N fix. Sym."	"Medium"
"Brady_401593_Strain_2"	"401593_Strain_2"	8085095	"StrainFinder"	"Soil"	99.3	8142089.62739174	5	6	0	"N fix. Sym."	"Medium"
"Brady_401556_Strain_2"	"401556_Strain_2"	8085095	"StrainFinder"	"Soil"	98.91	8174193.71145486	5	6	0	"N fix. Sym."	"Medium"
"Brady_401577_Strain_2"	"401577_Strain_2"	8085095	"StrainFinder"	"Soil"	98.11	8240847.00845989	5	6	0	"N fix. Sym."	"Medium"
"Brady_401569_Strain_2"	"401569_Strain_2"	8085095	"StrainFinder"	"Soil"	99.43	8131444.2321231	5	6	0	"N fix. Sym."	"Medium"
"Brady_401554_Strain_2"	"401554_Strain_2"	8085095	"StrainFinder"	"Soil"	98.94	8171715.18091773	5	6	0	"N fix. Sym."	"Medium"
"Brady_401656_Strain_2"	"401656_Strain_2"	8085095	"StrainFinder"	"Soil"	99.72	8107796.83112716	5	6	0	"N fix. Sym."	"Medium"
"Brady_401595_Strain_2"	"401595_Strain_2"	8085095	"StrainFinder"	"Soil"	99.3	8142089.62739174	5	6	0	"N fix. Sym."	"Medium"
"Brady_401582_Strain_2"	"401582_Strain_2"	8085095	"StrainFinder"	"Soil"	98.99	8167587.63511466	5	6	0	"N fix. Sym."	"Medium"
"Brady_401583_Strain_2"	"401583_Strain_2"	8085095	"StrainFinder"	"Soil"	99.21	8149475.85928838	5	6	0	"N fix. Sym."	"Medium"
"Brady_401580_Strain_2"	"401580_Strain_2"	8085095	"StrainFinder"	"Soil"	99.35	8137991.94765979	5	6	0	"N fix. Sym."	"Medium"
"Brady_401636_Strain_2"	"401636_Strain_2"	8085095	"StrainFinder"	"Soil"	98.71	8190755.74916422	5	6	0	"N fix. Sym."	"Medium"
"Brady_401561_Strain_2"	"401561_Strain_2"	8085095	"StrainFinder"	"Soil"	98.69	8192415.64494883	5	6	0	"N fix. Sym."	"Medium"
"Brady_401594_Strain_2"	"401594_Strain_2"	8085095	"StrainFinder"	"Soil"	99.43	8131444.2321231	5	6	0	"N fix. Sym."	"Medium"
"Brady_401592_Strain_2"	"401592_Strain_2"	8085095	"StrainFinder"	"Soil"	97.93	8255994.07740223	5	6	0	"N fix. Sym."	"Medium"
"Brady_401552_Strain_2"	"401552_Strain_2"	8085095	"StrainFinder"	"Soil"	98.75	8187437.97468354	5	6	0	"N fix. Sym."	"Medium"
"Brady_138538_Strain_2"	"138538_Strain_2"	8085095	"StrainFinder"	"Soil"	99.32	8140450.06041079	5	6	0	"N fix. Sym."	"Medium"
"Brady_401567_Strain_2"	"401567_Strain_2"	8085095	"StrainFinder"	"Soil"	99.72	8107796.83112716	5	6	0	"N fix. Sym."	"Medium"
"Brady_401576_Strain_2"	"401576_Strain_2"	8085095	"StrainFinder"	"Soil"	99.58	8119195.62161077	5	6	0	"N fix. Sym."	"Medium"
"Brady_401564_Strain_2"	"401564_Strain_2"	8085095	"StrainFinder"	"Soil"	99.14	8155229.97780916	5	6	0	"N fix. Sym."	"Medium"
"Brady_401566_Strain_2"	"401566_Strain_2"	8085095	"StrainFinder"	"Soil"	99.79	8102109.42980258	5	6	0	"N fix. Sym."	"Medium"
"Brady_401568_Strain_2"	"401568_Strain_2"	8085095	"StrainFinder"	"Soil"	98.48	8209885.25588952	5	6	0	"N fix. Sym."	"Medium"
"Brady_401563_Strain_2"	"401563_Strain_2"	8085095	"StrainFinder"	"Soil"	98.64	8196568.32927818	5	6	0	"N fix. Sym."	"Medium"
"Brady_401608_Strain_2"	"401608_Strain_2"	8085095	"StrainFinder"	"Soil"	99.19	8151119.06442182	5	6	0	"N fix. Sym."	"Medium"
"Brady_401600_Strain_2"	"401600_Strain_2"	8085095	"StrainFinder"	"Soil"	99.41	8133080.17302082	5	6	0	"N fix. Sym."	"Medium"
"Brady_7085_Strain_2"	"7085_Strain_2"	8085095	"StrainFinder"	"Soil"	99.14	8155229.97780916	5	6	0	"N fix. Sym."	"Medium"
"Brady_7083_Strain_2"	"7083_Strain_2"	8085095	"StrainFinder"	"Soil"	98.99	8167587.63511466	5	6	0	"N fix. Sym."	"Medium"
"Brady_401624_Strain_2"	"401624_Strain_2"	8085095	"StrainFinder"	"Soil"	99.75	8105358.39598997	5	6	0	"N fix. Sym."	"Medium"
"Brady_401616_Strain_1"	"401616_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	5	6	0	"N fix. Sym."	"Medium"
"Brady_401614_Strain_1"	"401614_Strain_1"	8085095	"StrainFinder"	"Soil"	98.8	8183294.53441296	5	6	0	"N fix. Sym."	"Medium"
"Brady_401632_Strain_1"	"401632_Strain_1"	8085095	"StrainFinder"	"Soil"	99.37	8136354.03039147	5	6	0	"N fix. Sym."	"Medium"
"Brady_401593_Strain_1"	"401593_Strain_1"	8085095	"StrainFinder"	"Soil"	99.32	8140450.06041079	4	6	0	"N fix. Sym."	"Medium"
"Brady_401583_Strain_1"	"401583_Strain_1"	8085095	"StrainFinder"	"Soil"	99.98	8086712.34246849	4	6	0	"N fix. Sym."	"Medium"
"Brady_401581_Strain_1"	"401581_Strain_1"	8085095	"StrainFinder"	"Soil"	99.49	8126540.35581466	5	6	0	"N fix. Sym."	"Medium"
"Brady_401648_Strain_1"	"401648_Strain_1"	8085095	"StrainFinder"	"Soil"	99.14	8155229.97780916	5	6	0	"N fix. Sym."	"Medium"
"Brady_12816_Strain_1"	"12816_Strain_1"	8085095	"StrainFinder"	"Soil"	99.94	8089948.96938163	5	5	0	"N fix. Sym."	"Medium"
"Brady_401573_Strain_1"	"401573_Strain_1"	8085095	"StrainFinder"	"Soil"	99.55	8121642.39075841	5	6	0	"N fix. Sym."	"Medium"
"Brady_401570_Strain_1"	"401570_Strain_1"	8085095	"StrainFinder"	"Soil"	99.48	8127357.25774025	5	6	0	"N fix. Sym."	"Medium"
"Brady_401591_Strain_1"	"401591_Strain_1"	8085095	"StrainFinder"	"Soil"	99.93	8090758.53097168	4	6	0	"N fix. Sym."	"Medium"
"Brady_401582_Strain_1"	"401582_Strain_1"	8085095	"StrainFinder"	"Soil"	99.59	8118380.35947384	4	6	0	"N fix. Sym."	"Medium"
"Brady_401580_Strain_1"	"401580_Strain_1"	8085095	"StrainFinder"	"Soil"	99.94	8089948.96938163	4	6	0	"N fix. Sym."	"Medium"
"Brady_401571_Strain_1"	"401571_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	5	6	0	"N fix. Sym."	"Medium"
"Brady_401568_Strain_1"	"401568_Strain_1"	8085095	"StrainFinder"	"Soil"	99.66	8112678.1055589	4	6	0	"N fix. Sym."	"Medium"
"Brady_401579_Strain_1"	"401579_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	5	6	0	"N fix. Sym."	"Medium"
"Brady_401576_Strain_1"	"401576_Strain_1"	8085095	"StrainFinder"	"Soil"	99.61	8116750.32627246	4	6	0	"N fix. Sym."	"Medium"
"Brady_401640_Strain_1"	"401640_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401566_Strain_1"	"401566_Strain_1"	8085095	"StrainFinder"	"Soil"	99.89	8093998.39823806	4	6	0	"N fix. Sym."	"Medium"
"Brady_401564_Strain_1"	"401564_Strain_1"	8085095	"StrainFinder"	"Soil"	99.27	8144550.21658104	4	6	0	"N fix. Sym."	"Medium"
"Brady_401561_Strain_1"	"401561_Strain_1"	8085095	"StrainFinder"	"Soil"	99.55	8121642.39075841	4	6	0	"N fix. Sym."	"Medium"
"Brady_401554_Strain_1"	"401554_Strain_1"	8085095	"StrainFinder"	"Soil"	99.45	8129808.94922071	4	6	0	"N fix. Sym."	"Medium"
"Brady_401656_Strain_1"	"401656_Strain_1"	8085095	"StrainFinder"	"Soil"	99.98	8086712.34246849	4	6	0	"N fix. Sym."	"Medium"
"Brady_138538_Strain_1"	"138538_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401552_Strain_1"	"401552_Strain_1"	8085095	"StrainFinder"	"Soil"	99.55	8121642.39075841	4	6	0	"N fix. Sym."	"Medium"
"Brady_401595_Strain_1"	"401595_Strain_1"	8085095	"StrainFinder"	"Soil"	99.6	8117565.26104418	5	6	0	"N fix. Sym."	"Medium"
"Brady_401592_Strain_1"	"401592_Strain_1"	8085095	"StrainFinder"	"Soil"	99.59	8118380.35947384	4	6	0	"N fix. Sym."	"Medium"
"Brady_401594_Strain_1"	"401594_Strain_1"	8085095	"StrainFinder"	"Soil"	99.36	8137172.90660225	4	6	0	"N fix. Sym."	"Medium"
"Brady_401569_Strain_1"	"401569_Strain_1"	8085095	"StrainFinder"	"Soil"	99.81	8100485.92325418	4	6	0	"N fix. Sym."	"Medium"
"Brady_401636_Strain_1"	"401636_Strain_1"	8085095	"StrainFinder"	"Soil"	99.73	8106983.85641231	4	6	0	"N fix. Sym."	"Medium"
"Brady_401608_Strain_1"	"401608_Strain_1"	8085095	"StrainFinder"	"Soil"	99.62	8115935.55510942	5	6	0	"N fix. Sym."	"Medium"
"Brady_401606_Strain_1"	"401606_Strain_1"	8085095	"StrainFinder"	"Soil"	99.41	8133080.17302082	4	6	0	"N fix. Sym."	"Medium"
"Brady_401604_Strain_1"	"401604_Strain_1"	8085095	"StrainFinder"	"Soil"	99.48	8127357.25774025	5	6	0	"N fix. Sym."	"Medium"
"Brady_401600_Strain_1"	"401600_Strain_1"	8085095	"StrainFinder"	"Soil"	99.66	8112678.1055589	4	6	0	"N fix. Sym."	"Medium"
"Brady_7085_Strain_1"	"7085_Strain_1"	8085095	"StrainFinder"	"Soil"	99.66	8112678.1055589	4	6	0	"N fix. Sym."	"Medium"
"Brady_7083_Strain_1"	"7083_Strain_1"	8085095	"StrainFinder"	"Soil"	100	8085095	4	6	0	"N fix. Sym."	"Medium"
"Brady_401567_Strain_1"	"401567_Strain_1"	8085095	"StrainFinder"	"Soil"	100	8085095	4	6	0	"N fix. Sym."	"Medium"
"Brady_401563_Strain_1"	"401563_Strain_1"	8085095	"StrainFinder"	"Soil"	99.66	8112678.1055589	4	6	0	"N fix. Sym."	"Medium"
"Brady_401624_Strain_1"	"401624_Strain_1"	8085095	"StrainFinder"	"Soil"	100	8085095	4	6	0	"N fix. Sym."	"Medium"
"Brady_401577_Strain_1"	"401577_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401588_Strain_1"	"401588_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401586_Strain_1"	"401586_Strain_1"	8085095	"StrainFinder"	"Soil"	99.48	8127357.25774025	5	6	0	"N fix. Sym."	"Medium"
"Brady_401557_Strain_1"	"401557_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401560_Strain_1"	"401560_Strain_1"	8085095	"StrainFinder"	"Soil"	99.92	8091568.25460368	4	6	0	"N fix. Sym."	"Medium"
"Brady_401558_Strain_1"	"401558_Strain_1"	8085095	"StrainFinder"	"Soil"	99.87	8095619.30509663	4	6	0	"N fix. Sym."	"Medium"
"Brady_401548_Strain_1"	"401548_Strain_1"	8085095	"StrainFinder"	"Soil"	99.73	8106983.85641231	5	6	0	"N fix. Sym."	"Medium"
"Brady_401652_Strain_1"	"401652_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401553_Strain_1"	"401553_Strain_1"	8085095	"StrainFinder"	"Soil"	99.65	8113492.22277973	4	6	0	"N fix. Sym."	"Medium"
"Brady_401550_Strain_1"	"401550_Strain_1"	8085095	"StrainFinder"	"Soil"	99.83	8098863.06721426	4	6	0	"N fix. Sym."	"Medium"
"Brady_401660_Strain_1"	"401660_Strain_1"	8085095	"StrainFinder"	"Soil"	100	8085095	4	6	0	"N fix. Sym."	"Medium"
"Brady_401658_Strain_1"	"401658_Strain_1"	8085095	"StrainFinder"	"Soil"	99.83	8098863.06721426	4	6	0	"N fix. Sym."	"Medium"
"Brady_401589_Strain_1"	"401589_Strain_1"	8085095	"StrainFinder"	"Soil"	99.48	8127357.25774025	4	6	0	"N fix. Sym."	"Medium"
"Brady_401556_Strain_1"	"401556_Strain_1"	8085095	"StrainFinder"	"Soil"	98.99	8167587.63511466	4	6	0	"N fix. Sym."	"Medium"
"GCA_000472425_1"	"GCA_000472425.1"	8496279	"GTDB MAG"	"Other/NA"	99.85	8509042.56384577	5	6	0	"N fix. Sym."	"Medium"
"GCA_000472385_1"	"GCA_000472385.1"	8613869	"GTDB MAG"	"Other/NA"	99.35	8670225.46552592	5	5	0	"N fix. Sym."	"Medium"
"GCA_030378205_1"	"GCA_030378205.1"	7712921	"GTDB Isolate"	"Soil"	99.09	7783753.15369866	0	0	0	" "	"Medium"
"GCA_003476565_1"	"GCA_003476565.1"	7082880	"GTDB MAG"	"Other/NA"	99.37	7127785.04578847	0	0	3	"Photosyn."	"Small"
"GCA_003476535_1"	"GCA_003476535.1"	7511504	"GTDB MAG"	"Other/NA"	96.47	7786362.59977195	0	0	3	"Photosyn."	"Small"
"GCA_000465325_1"	"GCA_000465325.1"	7646147	"GTDB MAG"	"Other/NA"	99.96	7649206.68267307	0	0	3	"Photosyn."	"Medium"
"GCA_019972155_1"	"GCA_019972155.1"	8259668	"GTDB MAG"	"Soil"	99.3	8317893.25276939	0	0	0	" "	"Medium"
"GCA_018129725_1"	"GCA_018129725.1"	8498712	"GTDB MAG"	"Soil"	99.96	8502112.84513806	0	0	0	" "	"Medium"
"GCA_011058295_1"	"GCA_011058295.1"	10014235	"GTDB Isolate"	"Other/NA"	99.96	10018242.2969188	5	6	0	"N fix. Sym."	"Large"
"GCA_015291625_1"	"GCA_015291625.1"	9259049	"GTDB Isolate"	"Plant"	99.96	9262754.10164066	5	6	0	"N fix. Sym."	"Medium"
"GCA_946415105_1"	"GCA_946415105.1"	9232513	"GTDB MAG"	"Soil"	99.89	9242679.94794274	5	6	0	"N fix. Sym."	"Medium"
"GCA_015291565_1"	"GCA_015291565.1"	9120519	"GTDB Isolate"	"Plant"	99.83	9136050.28548533	4	6	0	"N fix. Sym."	"Medium"
"GCA_018130215_1"	"GCA_018130215.1"	8547214	"GTDB MAG"	"Soil"	100	8547214	0	0	3	"Photosyn."	"Medium"
"GCA_017614905_1"	"GCA_017614905.1"	8942605	"GTDB MAG"	"Plant"	99.7	8969513.54062187	5	6	0	"N fix. Sym."	"Medium"
"GCA_004212675_1"	"GCA_004212675.1"	9749579	"GTDB MAG"	"Plant"	99.71	9777935.01153345	5	6	0	"N fix. Sym."	"Large"
"GCA_020329485_1"	"GCA_020329485.1"	8472857	"GTDB MAG"	"Plant"	99.9	8481338.33833834	5	6	0	"N fix. Sym."	"Medium"
"GCA_018398875_1"	"GCA_018398875.1"	8309700	"GTDB MAG"	"Plant"	99.44	8356496.37972647	5	5	0	"N fix. Sym."	"Medium"
"GCA_001440415_1"	"GCA_001440415.1"	8466225	"GTDB MAG"	"Plant"	99.85	8478943.41512268	5	6	0	"N fix. Sym."	"Medium"
"GCA_001693485_1"	"GCA_001693485.1"	7834745	"GTDB MAG"	"Plant"	100	7834745	4	6	0	"N fix. Sym."	"Medium"
"GCA_018398895_1"	"GCA_018398895.1"	8966052	"GTDB MAG"	"Plant"	99.69	8993933.19289798	5	5	0	"N fix. Sym."	"Medium"
"GCA_013114825_1"	"GCA_013114825.1"	7436256	"GTDB MAG"	"Plant"	99.99	7436999.69997	5	6	0	"N fix. Sym."	"Small"
"GCA_029714305_1"	"GCA_029714305.1"	8035627	"Commercial"	"Other/NA"	99.63	8065469.23617384	5	6	0	"N fix. Sym."	"Medium"
"GCA_013114835_1"	"GCA_013114835.1"	7017218	"GTDB MAG"	"Plant"	99.93	7022133.49344541	5	6	0	"N fix. Sym."	"Small"
"GCA_001440475_1"	"GCA_001440475.1"	8817291	"GTDB MAG"	"Plant"	99.54	8858037.97468354	5	6	0	"N fix. Sym."	"Medium"
"GCA_018130385_1"	"GCA_018130385.1"	8068558	"GTDB MAG"	"Soil"	99.39	8118078.27749271	0	6	0	"N fix. Free"	"Medium"
"GCA_003062295_1"	"GCA_003062295.1"	8907982	"GTDB MAG"	"Plant"	99.4	8961752.51509054	5	6	0	"N fix. Sym."	"Medium"
"GCA_023100945_1"	"GCA_023100945.1"	9494728	"GTDB Isolate"	"Plant"	99.85	9508991.48723085	5	6	0	"N fix. Sym."	"Large"
"GCA_900104755_1"	"GCA_900104755.1"	8269569	"GTDB MAG"	"Other/NA"	98.81	8369162.0281348	0	0	0	" "	"Medium"
"GCA_900099825_1"	"GCA_900099825.1"	8339215	"GTDB Isolate"	"Other/NA"	98.81	8439646.79688291	0	0	0	" "	"Medium"
"GCA_900142345_1"	"GCA_900142345.1"	8150968	"GTDB Isolate"	"Other/NA"	98.8	8249967.61133603	0	0	0	" "	"Medium"
"GCA_900129675_1"	"GCA_900129675.1"	11738562	"GTDB MAG"	"Other/NA"	98.5	11917321.8274112	0	0	0	" "	"Large"
"GCA_031202265_1"	"GCA_031202265.1"	9704287	"GTDB Isolate"	"Soil"	99.11	9791430.7335284	0	0	0	" "	"Large"
"GCA_009766005_1"	"GCA_009766005.1"	7495077	"GTDB MAG"	"Soil"	98.32	7623145.85028479	0	0	0	" "	"Small"
"GCA_900129505_1"	"GCA_900129505.1"	9184751	"GTDB Isolate"	"Other/NA"	99.2	9258821.57258064	0	0	0	" "	"Medium"
"GCA_900141755_1"	"GCA_900141755.1"	7910099	"GTDB Isolate"	"Other/NA"	99.44	7954645.01206758	0	0	0	" "	"Medium"
"GCA_900129425_1"	"GCA_900129425.1"	9092136	"GTDB Isolate"	"Other/NA"	99.98	9093954.79095819	0	0	0	" "	"Medium"
