"Sample"	"sampleID"	"am_environment"	"ammonium_nitrogen_wt"	"ammonium_nitrogen_wt_meth"	"biotic_relationship"	"boron_hot_cacl2"	"boron_hot_cacl2_meth"	"clay"	"clay_meth"	"coarse_sand"	"coarse_sand_meth"	"collection_date"	"collection_permit"	"color"	"color_meth"	"conductivity"	"conductivity_meth"	"crop_rotation_1yr_since_present"	"crop_rotation_2yrs_since_present"	"crop_rotation_3yrs_since_present"	"crop_rotation_4yrs_since_present"	"crop_rotation_5yrs_since_present"	"database_schema_definitions_url"	"density"	"density_meth"	"depth"	"depth_lower"	"depth_upper"	"dtpa_copper"	"dtpa_copper_meth"	"dtpa_iron"	"dtpa_iron_meth"	"dtpa_manganese"	"dtpa_manganese_meth"	"dtpa_zinc"	"dtpa_zinc_meth"	"elev"	"env_broad_scale"	"env_local_scale"	"env_medium"	"exc_aluminium"	"exc_aluminium_meth"	"exc_calcium"	"exc_calcium_meth"	"exc_magnesium"	"exc_magnesium_meth"	"exc_potassium"	"exc_potassium_meth"	"exc_sodium"	"exc_sodium_meth"	"fine_sand"	"fine_sand_meth"	"fire"	"funding_agency"	"general_env_feature"	"geo_loc_name"	"gravel"	"gravel_meth"	"hyperspectral_analysis"	"hyperspectral_analysis_meth"	"lat_lon"	"latitude"	"local_class"	"local_class_meth"	"longitude"	"microbial_biomass"	"microbial_biomass_meth"	"nitrate_nitrogen"	"nitrate_nitrogen_meth"	"notes"	"nucl_acid_ext"	"organic_carbon"	"organic_carbon_meth"	"ph"	"ph_meth"	"ph_solid_h2o"	"ph_solid_h2o_meth"	"phosphorus_colwell"	"phosphorus_colwell_meth"	"potassium_colwell"	"potassium_colwell_meth"	"profile_position"	"samp_collect_device"	"samp_mat_process"	"sample_attribution"	"sample_database_file"	"sample_metadata_ingest_date"	"sample_metadata_ingest_file"	"sample_metadata_update_history"	"sample_site_location_description"	"sample_submitter"	"sample_type"	"sand"	"sand_meth"	"silt"	"silt_meth"	"slope_aspect"	"slope_gradient"	"source_mat_id"	"store_cond"	"sulphur"	"sulphur_meth"	"synonyms"	"texture"	"texture_meth"	"total_nitrogen"	"total_nitrogen_meth"	"url"	"utc_date_sampled"	"utc_time_sampled"	"vegetation_dom_grasses"	"vegetation_dom_grasses_meth"	"vegetation_dom_shrubs"	"vegetation_dom_shrubs_meth"	"vegetation_dom_trees"	"vegetation_dom_trees_meth"	"vegetation_total_cover"	"vegetation_type"	"water_content"	"water_content_soil_meth"	"bio12"	"bio1"	"et0_v3_yr"	"ai_v3_yr"	"AI"	"percent_duplicates"	"percent_gc"	"avg_sequence_length"	"percent_fails"	"total_sequences"	"AI_bin"	"Dataset"
"X401673"	401673	"Soil"	18	"meth_2.1"	"Free-living"	1.66	"meth_2.1"	20.93	"meth_2.1"	NA	""	"2022-01-26T00:00:00"	"SL102523"	"LTBR"	"meth_2.1"	0.124	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.94	"meth_2.1"	82.6	"meth_2.1"	11.36	"meth_2.1"	1.41	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	0.02	"meth_2.1"	10.66	"meth_2.1"	2.31	"meth_2.1"	1.86	"meth_2.1"	0.27	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"0"	"meth_2.1"	""	""	"-31.6086 144.24699"	-31.6086	"Calcarosol"	"meth_2.27"	144.24699	NA	""	25	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	1.78	"meth_2.1"	6.3	"meth_2.1"	7	"meth_2.1"	114	"meth_2.1"	706	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Paroo Darling National Park. 300m north west of Coonavitra homestead; 84km west of Wilcannia"	"Jeff Powell"	"Soil"	70.89	"meth_2.1"	8.18	"meth_2.1"	NA	NA	"102.100.100/401673"	"frozen"	8	"meth_2.1"	"AMI041-0"	"2.5"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401673"	"1/26/22"	""	""	""	""	""	""	""	NA	"Shrubland"	NA	""	269	19.722	2345	1159	0.1159	10.4771902527969	65	150.686173511191	18.1818181818182	31157679	"Bin1"	"BASE"
"X8459"	8459	"Soil"	2	"meth_2.1"	"Free-living"	0.11	"meth_2.1"	5.91	"meth_2.1"	71.07	"meth_2.1"	""	""	"BROR"	""	0.026	"meth_2.1"	""	""	""	""	""	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.18	"meth_2.1"	4.06	"meth_2.1"	5.13	"meth_2.1"	0.13	"meth_2.1"	517	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	0.229	"meth_2.1"	0.68	"meth_2.1"	0.22	"meth_2.1"	0.1	"meth_2.1"	1e-10	"meth_2.1"	22.03	"meth_2.1"	""	""	"Arid"	"Australia:Northern Territory [GAZ_00002787]"	"0"	"meth_2.1"	"DOI 10.5281/zenodo.6265730"	"meth_2.26"	"-25.2875 130.92864"	-25.2875	"Tenosols"	"meth_2.27"	130.92864	NA	""	1e-10	"meth_2.1"	"geo_loc_name: state/territory values derived from lat_lon using Nominatim"	"meth_3.1.1"	0.14	"meth_2.1"	5	"meth_2.1"	6	"meth_2.1"	1e-10	"meth_2.1"	39	"meth_2.1"	""	""	""	""	"AM_db_v4.2_202408091431.db"	"4/23/21"	"BASE_NEW_CKAN_Curated_depth_xlsx"	"All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;"	"Uluru"	""	"Soil"	93.1	"meth_2.1"	0.99	"meth_2.1"	NA	0	"102.100.100/8459"	"frozen"	1.7	"meth_2.1"	""	"2"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/8459"	""	""	""	""	""	""	""	""	NA	"Grassland"	0.362647325	"meth_2.1"	307	21.67333	3032	1015	0.1015	0.512411183529565	65	149.988433878398	9.09090909090909	30254394	"Bin1"	"BASE"
"X401658"	401658	"Soil"	4	"meth_2.1"	"Free-living"	0.47	"meth_2.1"	NA	""	NA	""	"2021-12-10T00:00:00"	"SL102523"	"GRBR"	"meth_2.1"	0.06	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.62	"meth_2.1"	36.5	"meth_2.1"	53.63	"meth_2.1"	3.45	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.3.3 Residual native cover"	"Soil [ENVO_00001998]"	0.05	"meth_2.1"	9.3	"meth_2.1"	2.4	"meth_2.1"	0.57	"meth_2.1"	0.03	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"5"	"meth_2.1"	""	""	"-32.4029 150.27246"	-32.4029	"Kandosol"	"meth_2.27"	150.27246	NA	""	17	"meth_2.1"	"Submitted value={profile_position:Lower slope}"	""	2.51	"meth_2.1"	5	"meth_2.1"	6	"meth_2.1"	6	"meth_2.1"	293	"meth_2.1"	"footslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Honeysuckle"	"Jeff Powell"	"Soil"	NA	""	NA	""	NA	NA	"102.100.100/401658"	"frozen"	3.2	"meth_2.1"	"AMI032-0"	"1.5"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401658"	"12/10/21"	""	""	""	""	""	""	""	NA	"Woodland"	NA	""	652	16.8015	1700	3828	0.3828	10.2343199691772	64	150.67487147816	9.09090909090909	29874300	"Bin1"	"BASE"
"X401668"	401668	"Soil"	5	"meth_2.1"	"Free-living"	1.21	"meth_2.1"	30.97	"meth_2.1"	NA	""	"2022-01-25T00:00:00"	"SL102523"	"BR"	"meth_2.1"	0.048	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.47	"meth_2.1"	20.9	"meth_2.1"	11.51	"meth_2.1"	0.94	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.3.3 Residual native cover"	"Soil [ENVO_00001998]"	0.02	"meth_2.1"	6.71	"meth_2.1"	2.23	"meth_2.1"	1.62	"meth_2.1"	0.02	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"5"	"meth_2.1"	""	""	"-31.5616 146.50365"	-31.5616	"Kandosol"	"meth_2.27"	146.50365	NA	""	1e-10	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	1.55	"meth_2.1"	6	"meth_2.1"	6.8	"meth_2.1"	9	"meth_2.1"	699	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Hermidale"	"Jeff Powell"	"Soil"	53.47	"meth_2.1"	15.55	"meth_2.1"	NA	NA	"102.100.100/401668"	"frozen"	1.6	"meth_2.1"	"AMI037-0"	"2"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401668"	"1/25/22"	""	""	""	""	""	""	""	NA	"Shrubland"	NA	""	420	18.2575	2099	1971	0.1971	10.1911176007318	65	150.679293300886	18.1818181818182	29711032	"Bin1"	"BASE"
"X401662"	401662	"Soil"	2	"meth_2.1"	"Free-living"	0.8	"meth_2.1"	26.18	"meth_2.1"	NA	""	"2022-01-25T00:00:00"	"SL102523"	"BR"	"meth_2.1"	0.054	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.67	"meth_2.1"	39.6	"meth_2.1"	27.46	"meth_2.1"	0.62	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.3.3 Residual native cover"	"Soil [ENVO_00001998]"	0.03	"meth_2.1"	5.4	"meth_2.1"	2.28	"meth_2.1"	1.07	"meth_2.1"	0.03	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"0"	"meth_2.1"	""	""	"-32.2394 148.36305"	-32.2394	"Sodosol"	"meth_2.27"	148.36305	NA	""	12	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	1.5	"meth_2.1"	5.3	"meth_2.1"	6.2	"meth_2.1"	14	"meth_2.1"	500	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Brummagen"	"Jeff Powell"	"Soil"	58.37	"meth_2.1"	15.45	"meth_2.1"	NA	NA	"102.100.100/401662"	"frozen"	2.3	"meth_2.1"	"AMI034-0"	"2.5"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401662"	"1/25/22"	""	""	""	""	""	""	""	NA	"Shrubland"	NA	""	588	17.49	1917	3086	0.3086	10.5878016160212	65	150.678026377342	9.09090909090909	29491068	"Bin1"	"BASE"
"X401670"	401670	"Soil"	2	"meth_2.1"	"Free-living"	0.52	"meth_2.1"	24.17	"meth_2.1"	NA	""	"2022-01-26T00:00:00"	"SL102523"	"BRRD"	"meth_2.1"	0.045	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.62	"meth_2.1"	4.9	"meth_2.1"	9.47	"meth_2.1"	1.05	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	0.04	"meth_2.1"	4.28	"meth_2.1"	1.39	"meth_2.1"	1.28	"meth_2.1"	0.18	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"0"	"meth_2.1"	""	""	"-31.4914 144.18282"	-31.4914	"Calcarosol"	"meth_2.27"	144.18282	NA	""	5	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	0.48	"meth_2.1"	6.6	"meth_2.1"	7.6	"meth_2.1"	16	"meth_2.1"	596	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Paroo Darling National Park; About 40 kms east of Wilcannia. On north boundary of Coonavitra section of Paroo Darling NP."	"Jeff Powell"	"Soil"	66.79	"meth_2.1"	9.03	"meth_2.1"	NA	NA	"102.100.100/401670"	"frozen"	1.3	"meth_2.1"	"AMI039-0"	"2"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401670"	"1/26/22"	""	""	""	""	""	""	""	NA	"Shrubland"	NA	""	268	19.622	2330	1145	0.1145	9.14635668417057	65	150.673750249374	18.1818181818182	28471280	"Bin1"	"BASE"
"X401654"	401654	"Soil"	2	"meth_2.1"	"Free-living"	0.46	"meth_2.1"	NA	""	NA	""	"2021-12-10T00:00:00"	"SL102523"	"BRGR"	"meth_2.1"	0.062	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.49	"meth_2.1"	143.4	"meth_2.1"	77.92	"meth_2.1"	1.05	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	1.92	"meth_2.1"	1	"meth_2.1"	1.18	"meth_2.1"	0.5	"meth_2.1"	0.1	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"10-May"	"meth_2.1"	""	""	"-32.45 150.26694"	-32.45	"Kandosol"	"meth_2.27"	150.26694	NA	""	1	"meth_2.1"	"Submitted value={profile_position:Summit/ridge}"	""	3.06	"meth_2.1"	3.8	"meth_2.1"	4.7	"meth_2.1"	3	"meth_2.1"	309	"meth_2.1"	"summit"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Cox's Gap"	"Jeff Powell"	"Soil"	NA	""	NA	""	NA	NA	"102.100.100/401654"	"frozen"	6.2	"meth_2.1"	"AMI030-0"	"1"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401654"	"12/10/21"	""	""	""	""	""	""	""	NA	"Woodland"	NA	""	674	16.61167	1692	3911	0.3911	11.3786596046987	65	150.663848994698	9.09090909090909	27742761	"Bin1"	"BASE"
"X401669"	401669	"Soil"	2	"meth_2.1"	"Free-living"	0.44	"meth_2.1"	35.18	"meth_2.1"	NA	""	"2022-01-25T00:00:00"	"SL102523"	"LTBR"	"meth_2.1"	0.025	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	1.84	"meth_2.1"	16	"meth_2.1"	21.41	"meth_2.1"	0.47	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.3.3 Residual native cover"	"Soil [ENVO_00001998]"	0.19	"meth_2.1"	3.13	"meth_2.1"	0.76	"meth_2.1"	0.72	"meth_2.1"	0.02	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"5"	"meth_2.1"	""	""	"-31.5109 145.79996"	-31.5109	"Kandosol"	"meth_2.27"	145.79996	NA	""	3	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	1.05	"meth_2.1"	4.9	"meth_2.1"	6	"meth_2.1"	7	"meth_2.1"	349	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Cobar"	"Jeff Powell"	"Soil"	51.5	"meth_2.1"	13.32	"meth_2.1"	NA	NA	"102.100.100/401669"	"frozen"	1.9	"meth_2.1"	"AMI038-0"	"2"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401669"	"1/25/22"	""	""	""	""	""	""	""	NA	"Shrubland"	NA	""	391	18.65117	2139	1822	0.1822	10.7693112249554	65	150.67051980461	9.09090909090909	27573630	"Bin1"	"BASE"
"X401652"	401652	"Soil"	5	"meth_2.1"	"Free-living"	0.93	"meth_2.1"	NA	""	NA	""	"2021-12-10T00:00:00"	"SL102523"	"BRBK"	"meth_2.1"	0.069	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	2.55	"meth_2.1"	110.8	"meth_2.1"	85.46	"meth_2.1"	2.96	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	0.02	"meth_2.1"	17.65	"meth_2.1"	6.32	"meth_2.1"	1.22	"meth_2.1"	0.12	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"0"	"meth_2.1"	""	""	"-31.9004 150.78452"	-31.9004	"Kandosol"	"meth_2.27"	150.78452	NA	""	13	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	3.59	"meth_2.1"	5.7	"meth_2.1"	6.4	"meth_2.1"	119	"meth_2.1"	583	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Washpools"	"Jeff Powell"	"Soil"	NA	""	NA	""	NA	NA	"102.100.100/401652"	"frozen"	5.3	"meth_2.1"	"AMI029-0"	"2.5"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401652"	"12/10/21"	""	""	""	""	""	""	""	NA	"Woodland"	NA	""	830	15.78867	1655	4807	0.4807	9.46981034006508	64	150.669282885183	9.09090909090909	26910851	"Bin1"	"BASE"
"X401679"	401679	"Soil"	1	"meth_2.1"	"Free-living"	0.34	"meth_2.1"	15.91	"meth_2.1"	NA	""	"2022-01-26T00:00:00"	"SL102523"	"BRRD"	"meth_2.1"	0.102	"meth_2.1"	"No crop"	"No crop"	"No crop"	"No crop"	"No crop"	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.32	"meth_2.1"	3.1	"meth_2.1"	2.98	"meth_2.1"	0.24	"meth_2.1"	NA	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	0.05	"meth_2.1"	7.62	"meth_2.1"	0.9	"meth_2.1"	0.77	"meth_2.1"	0.08	"meth_2.1"	NA	""	""	"Australian Microbiome Initiative; Australian Research Council"	""	"Australia:New South Wales [GAZ_00002793]"	"0"	"meth_2.1"	""	""	"-31.3325 144.36696"	-31.3325	"Calcarosol"	"meth_2.27"	144.36696	NA	""	4	"meth_2.1"	"Submitted value={profile_position:Valley floor}"	""	0.3	"meth_2.1"	7.7	"meth_2.1"	8.4	"meth_2.1"	16	"meth_2.1"	390	"meth_2.1"	"toeslope"	"meth_1.1"	""	"Jeff Powell; Western Sydney University"	"AM_db_v4.2_202408091431.db"	"12/8/22"	"Sample_submission_sheet_soil_20221207_schema_v3_vocab_2_0_3_AM0025_Powell_xlsx"	"Soil_profile_horizon_NCBI_format_curate_UPDATE_xlsx;"	"Paroo Darling National Park. 6km south west of Tilpilly homestead. 98.5km west north west of Wilcannia"	"Jeff Powell"	"Soil"	77.89	"meth_2.1"	6.2	"meth_2.1"	NA	NA	"102.100.100/401679"	"frozen"	1.8	"meth_2.1"	"AMI044-0"	"2.5"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/401679"	"1/26/22"	""	""	""	""	""	""	""	NA	"Shrubland"	NA	""	258	19.87383	2346	1103	0.1103	10.0218516821281	66	150.660739033842	18.1818181818182	26730738	"Bin1"	"BASE"
"X8164"	8164	"Soil"	2	"meth_2.1"	"Free-living"	0.21	"meth_2.1"	5.9	"meth_2.1"	70.97	"meth_2.1"	"2012-11-12T00:00:00"	""	"BRRD"	""	0.043	"meth_2.1"	""	""	""	""	""	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.21	"meth_2.1"	2.34	"meth_2.1"	4.79	"meth_2.1"	0.33	"meth_2.1"	514	"1 Conservation and Natural Environments"	"1.1.3 National park"	"Soil [ENVO_00001998]"	0.051	"meth_2.1"	5.21	"meth_2.1"	0.42	"meth_2.1"	0.37	"meth_2.1"	1e-10	"meth_2.1"	20.16	"meth_2.1"	""	""	"Arid"	"Australia:Northern Territory [GAZ_00002787]"	"0"	"meth_2.1"	"DOI 10.5281/zenodo.6265730"	"meth_2.26"	"-25.3457 131.0213"	-25.3457	"Rudosol"	"meth_2.27"	131.0213	NA	""	1	"meth_2.1"	"geo_loc_name: state/territory values derived from lat_lon using Nominatim"	"meth_3.1.1"	0.3	"meth_2.1"	7.2	"meth_2.1"	7.9	"meth_2.1"	13	"meth_2.1"	171	"meth_2.1"	""	""	""	""	"AM_db_v4.2_202408091431.db"	"4/23/21"	"BASE_NEW_CKAN_Curated_depth_xlsx"	"soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;"	"Uluru"	""	"Soil"	91.13	"meth_2.1"	2.97	"meth_2.1"	NA	0	"102.100.100/8164"	"frozen"	2.1	"meth_2.1"	""	"2"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/8164"	"11/12/12"	""	""	""	""	""	""	""	NA	"Grassland"	0.526251377	"meth_2.1"	312	21.49267	3045	1024	0.1024	1.54063222968729	66	149.586254453801	9.09090909090909	26519761	"Bin1"	"BASE"
"X7085"	7085	"Soil"	4	"meth_2.1"	"Free-living"	0.32	"meth_2.1"	7.12	"meth_2.1"	82.3	"meth_2.1"	"2011-11-30T00:00:00"	""	"GR"	""	0.075	"meth_2.1"	""	""	""	""	""	"https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx"	NA	""	0	0.1	0	0.71	"meth_2.1"	54.7	"meth_2.1"	5.75	"meth_2.1"	0.17	"meth_2.1"	390	"1 Conservation and Natural Environments"	"1.3.3 Residual native cover"	"Soil [ENVO_00001998]"	0.548	"meth_2.1"	2.36	"meth_2.1"	0.56	"meth_2.1"	0.11	"meth_2.1"	0.08	"meth_2.1"	7.51	"meth_2.1"	""	""	"Temperate"	"Australia:Western Australia [GAZ_00002789]"	"0"	"meth_2.1"	"DOI 10.5281/zenodo.6265730"	"meth_2.26"	"-32.588867 116.4591"	-32.588867	"Tenosols"	"meth_2.27"	116.4591	NA	""	1	"meth_2.1"	"geo_loc_name: state/territory values derived from lat_lon using Nominatim"	"meth_3.1.1"	2.85	"meth_2.1"	4.4	"meth_2.1"	5.2	"meth_2.1"	2	"meth_2.1"	44	"meth_2.1"	""	""	""	""	"AM_db_v4.2_202408091431.db"	"4/23/21"	"BASE_NEW_CKAN_Curated_depth_xlsx"	"All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; AM_visNIR_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;"	"Bannister North"	""	"Soil"	89.8	"meth_2.1"	3.07	"meth_2.1"	NA	NA	"102.100.100/7085"	"frozen"	23.8	"meth_2.1"	""	"1.5"	"meth_2.1"	NA	""	"https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/7085"	"11/30/11"	""	""	""	""	""	""	""	NA	"Woodland"	NA	""	684	15.7795	1947	3635	0.3635	0.483687657647664	63	150.890935600896	0	26263859	"Bin1"	"BASE"
