sample_id,am_environment,ammonium_nitrogen_wt,ammonium_nitrogen_wt_meth,biotic_relationship,boron_hot_cacl2,boron_hot_cacl2_meth,clay,clay_meth,coarse_sand,coarse_sand_meth,collection_date,collection_permit,color,color_meth,conductivity,conductivity_meth,crop_rotation_1yr_since_present,crop_rotation_2yrs_since_present,crop_rotation_3yrs_since_present,crop_rotation_4yrs_since_present,crop_rotation_5yrs_since_present,database_schema_definitions_url,density,density_meth,depth,depth_lower,depth_upper,dtpa_copper,dtpa_copper_meth,dtpa_iron,dtpa_iron_meth,dtpa_manganese,dtpa_manganese_meth,dtpa_zinc,dtpa_zinc_meth,elev,env_broad_scale,env_local_scale,env_medium,exc_aluminium,exc_aluminium_meth,exc_calcium,exc_calcium_meth,exc_magnesium,exc_magnesium_meth,exc_potassium,exc_potassium_meth,exc_sodium,exc_sodium_meth,fine_sand,fine_sand_meth,fire,funding_agency,general_env_feature,geo_loc_name,gravel,gravel_meth,hyperspectral_analysis,hyperspectral_analysis_meth,lat_lon,latitude,local_class,local_class_meth,longitude,microbial_biomass,microbial_biomass_meth,nitrate_nitrogen,nitrate_nitrogen_meth,notes,nucl_acid_ext,organic_carbon,organic_carbon_meth,ph,ph_meth,ph_solid_h2o,ph_solid_h2o_meth,phosphorus_colwell,phosphorus_colwell_meth,potassium_colwell,potassium_colwell_meth,profile_position,samp_collect_device,samp_mat_process,sample_attribution,sample_database_file,sample_metadata_ingest_date,sample_metadata_ingest_file,sample_metadata_update_history,sample_site_location_description,sample_submitter,sample_type,sand,sand_meth,silt,silt_meth,slope_aspect,slope_gradient,source_mat_id,store_cond,sulphur,sulphur_meth,synonyms,texture,texture_meth,total_nitrogen,total_nitrogen_meth,url,utc_date_sampled,utc_time_sampled,vegetation_dom_grasses,vegetation_dom_grasses_meth,vegetation_dom_shrubs,vegetation_dom_shrubs_meth,vegetation_dom_trees,vegetation_dom_trees_meth,vegetation_total_cover,vegetation_type,water_content,water_content_soil_meth
102.100.100/19453,Soil,5,meth_2.1,Free-living,0.19,meth_2.1,7.7,meth_2.1,58.7,meth_2.1,2015-02-18T00:00:00,,GRBR,,0.02,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.4,meth_2.1,30.48,meth_2.1,22.77,meth_2.1,1.22,meth_2.1,21,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],0.168,meth_2.1,0.93,meth_2.1,0.26,meth_2.1,0.15,meth_2.1,0.02,meth_2.1,23.84,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.60963 150.73733,-33.60963,Dermosol,meth_2.27,150.73733,,,4,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.78,meth_2.1,4.7,meth_2.1,5.8,meth_2.1,9,meth_2.1,58,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,82.55,meth_2.1,9.75,meth_2.1,,0,102.100.100/19453,frozen,2.3,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19453,2/18/15,,,,,,,,,Grassland,7.344862665,meth_2.1
102.100.100/19455,Soil,9,meth_2.1,Free-living,0.16,meth_2.1,7.61,meth_2.1,61.01,meth_2.1,2015-02-18T00:00:00,,GR,,0.015,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.16,meth_2.1,41.44,meth_2.1,9.3,meth_2.1,1.04,meth_2.1,24,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],0.2,meth_2.1,0.51,meth_2.1,0.19,meth_2.1,0.13,meth_2.1,0.01,meth_2.1,23.66,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61008 150.73693,-33.61008,Sodosol,meth_2.27,150.73693,,,4,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.77,meth_2.1,4.6,meth_2.1,5.7,meth_2.1,9,meth_2.1,55,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,84.67,meth_2.1,7.71,meth_2.1,,0,102.100.100/19455,frozen,3.2,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19455,2/18/15,,,,,,,,,Grassland,10.50164088,meth_2.1
102.100.100/19457,Soil,11,meth_2.1,Free-living,0.16,meth_2.1,5.72,meth_2.1,76.72,meth_2.1,2015-02-18T00:00:00,,BRGR,,0.032,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.21,meth_2.1,13.45,meth_2.1,29.19,meth_2.1,2.01,meth_2.1,29,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],0.035,meth_2.1,1.46,meth_2.1,0.44,meth_2.1,0.22,meth_2.1,0.01,meth_2.1,11.74,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.6123 150.73895,-33.6123,Sodosol,meth_2.27,150.73895,,,10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.94,meth_2.1,5.4,meth_2.1,6.2,meth_2.1,9,meth_2.1,95,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,88.46,meth_2.1,5.82,meth_2.1,,0,102.100.100/19457,frozen,3.7,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19457,2/18/15,,,,,,,,,Grassland,5.795373241,meth_2.1
102.100.100/19459,Soil,8,meth_2.1,Free-living,0.18,meth_2.1,5.97,meth_2.1,69.04,meth_2.1,2015-02-18T00:00:00,,GR,,0.011,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.2,meth_2.1,43.98,meth_2.1,12.19,meth_2.1,0.79,meth_2.1,31,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],0.193,meth_2.1,0.5,meth_2.1,0.18,meth_2.1,0.12,meth_2.1,0.02,meth_2.1,16.89,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61292 150.73795,-33.61292,Sodosol,meth_2.27,150.73795,,,1.00E-10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.77,meth_2.1,4.6,meth_2.1,5.8,meth_2.1,8,meth_2.1,46,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,85.94,meth_2.1,8.09,meth_2.1,,0,102.100.100/19459,frozen,2.6,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19459,2/18/15,,,,,,,,,Grassland,8.310194367,meth_2.1
102.100.100/19461,Soil,6,meth_2.1,Free-living,0.2,meth_2.1,5.76,meth_2.1,73,meth_2.1,2015-02-18T00:00:00,,GRBR,,0.018,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.05,meth_2.1,34.14,meth_2.1,9.9,meth_2.1,1.46,meth_2.1,31,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],0.08,meth_2.1,0.8,meth_2.1,0.24,meth_2.1,0.13,meth_2.1,1.00E-10,meth_2.1,15.38,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.6126 150.73769,-33.6126,Sodosol,meth_2.27,150.73769,,,1.00E-10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,0.79,meth_2.1,5.1,meth_2.1,6.3,meth_2.1,17,meth_2.1,53,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,88.38,meth_2.1,5.86,meth_2.1,,0,102.100.100/19461,frozen,2.8,meth_2.1,,1.5,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19461,2/18/15,,,,,,,,,Grassland,5.341040462,meth_2.1
102.100.100/19463,Soil,16,meth_2.1,Free-living,0.48,meth_2.1,19.55,meth_2.1,2.01,meth_2.1,2015-02-18T00:00:00,,GR,,0.034,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,1.03,meth_2.1,106.81,meth_2.1,12.39,meth_2.1,2.07,meth_2.1,29,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],1.358,meth_2.1,1.06,meth_2.1,0.2,meth_2.1,0.27,meth_2.1,0.03,meth_2.1,52.9,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61565 150.73618,-33.61565,Sodosol,meth_2.27,150.73618,,,17,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,2.44,meth_2.1,4.3,meth_2.1,5.2,meth_2.1,16,meth_2.1,110,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,54.91,meth_2.1,25.54,meth_2.1,,0,102.100.100/19463,frozen,7.1,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19463,2/18/15,,,,,,,,,Grassland,22.24888584,meth_2.1
102.100.100/19465,Soil,23,meth_2.1,Free-living,0.49,meth_2.1,25.96,meth_2.1,1.32,meth_2.1,2015-02-18T00:00:00,,GR,,0.034,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.96,meth_2.1,87.95,meth_2.1,11.54,meth_2.1,1.51,meth_2.1,27,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],1.149,meth_2.1,1.54,meth_2.1,0.39,meth_2.1,0.25,meth_2.1,0.05,meth_2.1,44.65,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61623 150.736,-33.61623,Sodosol,meth_2.27,150.736,,,15,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,2.72,meth_2.1,4.5,meth_2.1,5.4,meth_2.1,13,meth_2.1,96,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,45.97,meth_2.1,28.07,meth_2.1,,0,102.100.100/19465,frozen,7.7,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19465,2/18/15,,,,,,,,,Grassland,33.07247363,meth_2.1
102.100.100/19467,Soil,37,meth_2.1,Free-living,0.82,meth_2.1,24.97,meth_2.1,0.57,meth_2.1,2015-02-18T00:00:00,,DKGR,,0.065,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,1.19,meth_2.1,146,meth_2.1,16.84,meth_2.1,3.44,meth_2.1,27,1 Conservation and Natural Environments,3.2.1 Native/exotic pasture mosaic,Soil [ENVO_00001998],1.423,meth_2.1,2.55,meth_2.1,0.81,meth_2.1,0.45,meth_2.1,0.06,meth_2.1,43.1,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61745 150.73612,-33.61745,Sodosol,meth_2.27,150.73612,,,23,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,3.4,meth_2.1,4.4,meth_2.1,5.2,meth_2.1,22,meth_2.1,176,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,43.68,meth_2.1,31.35,meth_2.1,,0,102.100.100/19467,frozen,11.8,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19467,2/18/15,,,,,,,,,Grassland,27.63649963,meth_2.1
102.100.100/19469,Soil,14,meth_2.1,Free-living,0.37,meth_2.1,46.96,meth_2.1,1.69,meth_2.1,2015-02-18T00:00:00,,DKGR,,0.11,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,1.16,meth_2.1,242.45,meth_2.1,14.64,meth_2.1,1.88,meth_2.1,31,1 Conservation and Natural Environments,6.5.1 Marsh/wetland—conservation,Soil [ENVO_00001998],1.122,meth_2.1,2.87,meth_2.1,1.9,meth_2.1,1.27,meth_2.1,0.26,meth_2.1,24.76,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.62103 150.73385,-33.62103,Sodosol,meth_2.27,150.73385,,,22,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,4.32,meth_2.1,4.6,meth_2.1,5.5,meth_2.1,10,meth_2.1,494,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,26.45,meth_2.1,26.6,meth_2.1,,0,102.100.100/19469,frozen,16.2,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19469,2/18/15,,,,,,,,,Marsh/bog,75.53256239,meth_2.1
102.100.100/19471,Soil,77,meth_2.1,Free-living,0.6,meth_2.1,44.04,meth_2.1,2.89,meth_2.1,2015-02-18T00:00:00,,DKGR,,0.224,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,2.04,meth_2.1,682.04,meth_2.1,98.65,meth_2.1,6.1,meth_2.1,31,1 Conservation and Natural Environments,6.5.1 Marsh/wetland—conservation,Soil [ENVO_00001998],1.427,meth_2.1,4.02,meth_2.1,1.95,meth_2.1,1.66,meth_2.1,0.48,meth_2.1,23.65,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.62067 150.73375,-33.62067,Sodosol,meth_2.27,150.73375,,,47,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,5.95,meth_2.1,4.5,meth_2.1,5.3,meth_2.1,16,meth_2.1,646,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,26.54,meth_2.1,29.43,meth_2.1,,0,102.100.100/19471,frozen,32.3,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19471,2/18/15,,,,,,,,,Marsh/bog,98.15251572,meth_2.1
102.100.100/19473,Soil,87,meth_2.1,Free-living,0.68,meth_2.1,49.49,meth_2.1,3.23,meth_2.1,2015-02-18T00:00:00,,DKGR,,0.161,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.87,meth_2.1,495.5,meth_2.1,14.33,meth_2.1,3.72,meth_2.1,34,1 Conservation and Natural Environments,6.5.1 Marsh/wetland—conservation,Soil [ENVO_00001998],1.834,meth_2.1,3.62,meth_2.1,1.9,meth_2.1,1.27,meth_2.1,0.33,meth_2.1,21.4,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.62075 150.73423,-33.62075,Sodosol,meth_2.27,150.73423,,,39,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,5.59,meth_2.1,4.4,meth_2.1,5.2,meth_2.1,12,meth_2.1,494,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,24.64,meth_2.1,25.88,meth_2.1,,0,102.100.100/19473,frozen,28.2,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19473,2/18/15,,,,,,,,,Marsh/bog,103.3275713,meth_2.1
102.100.100/19475,Soil,9,meth_2.1,Free-living,0.29,meth_2.1,9.93,meth_2.1,30.61,meth_2.1,2015-02-18T00:00:00,,LTGR,,0.025,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.15,meth_2.1,35.09,meth_2.1,23.9,meth_2.1,1.42,meth_2.1,33,1 Conservation and Natural Environments,1.1.5 Habitat/species management area,Soil [ENVO_00001998],0.043,meth_2.1,2.89,meth_2.1,0.52,meth_2.1,0.18,meth_2.1,0.03,meth_2.1,47.42,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.6213 150.7354,-33.6213,Sodosol,meth_2.27,150.7354,,,15,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,1.28,meth_2.1,4.9,meth_2.1,5.9,meth_2.1,5,meth_2.1,70,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,78.02,meth_2.1,12.04,meth_2.1,,0,102.100.100/19475,frozen,3.9,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19475,2/18/15,,,,,,,,,Woodland,8.904109589,meth_2.1
102.100.100/19477,Soil,5,meth_2.1,Free-living,0.33,meth_2.1,7.83,meth_2.1,39.74,meth_2.1,2015-02-18T00:00:00,,LTGR,,0.032,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.05,meth_2.1,34.57,meth_2.1,18.97,meth_2.1,1.71,meth_2.1,35,1 Conservation and Natural Environments,1.1.5 Habitat/species management area,Soil [ENVO_00001998],0.049,meth_2.1,1.77,meth_2.1,0.51,meth_2.1,0.24,meth_2.1,0.04,meth_2.1,40.54,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.62083 150.73577,-33.62083,Sodosol,meth_2.27,150.73577,,,7,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,1.02,meth_2.1,4.9,meth_2.1,5.9,meth_2.1,4,meth_2.1,92,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,80.28,meth_2.1,11.89,meth_2.1,,0,102.100.100/19477,frozen,2.9,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19477,2/18/15,,,,,,,,,Woodland,4.607922393,meth_2.1
102.100.100/19479,Soil,5,meth_2.1,Free-living,0.42,meth_2.1,20.62,meth_2.1,11.3,meth_2.1,2015-02-19T00:00:00,,BRGR,,0.036,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.21,meth_2.1,471.19,meth_2.1,15.43,meth_2.1,1.03,meth_2.1,28,1 Conservation and Natural Environments,1.1.5 Habitat/species management area,Soil [ENVO_00001998],1.186,meth_2.1,1.22,meth_2.1,2.09,meth_2.1,0.23,meth_2.1,0.4,meth_2.1,41.14,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61517 150.72268,-33.61517,Dermosol,meth_2.27,150.72268,,,1.00E-10,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,2.91,meth_2.1,4.2,meth_2.1,5.4,meth_2.1,4,meth_2.1,110,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,52.43,meth_2.1,26.94,meth_2.1,,0,102.100.100/19479,frozen,5.4,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19479,2/19/15,,,,,,,,,Woodland,7.938718663,meth_2.1
102.100.100/19481,Soil,11,meth_2.1,Free-living,0.76,meth_2.1,13.84,meth_2.1,10.71,meth_2.1,2015-02-19T00:00:00,,GR,,0.052,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.17,meth_2.1,430.29,meth_2.1,26.32,meth_2.1,1.45,meth_2.1,32,1 Conservation and Natural Environments,1.1.5 Habitat/species management area,Soil [ENVO_00001998],1.048,meth_2.1,1.12,meth_2.1,1.32,meth_2.1,0.29,meth_2.1,0.44,meth_2.1,47.56,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61583 150.72482,-33.61583,Dermosol,meth_2.27,150.72482,,,5,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,3.18,meth_2.1,4.1,meth_2.1,5.3,meth_2.1,7,meth_2.1,129,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,58.27,meth_2.1,27.89,meth_2.1,,0,102.100.100/19481,frozen,7,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19481,2/19/15,,,,,,,,,Woodland,13.50259665,meth_2.1
102.100.100/19483,Soil,17,meth_2.1,Free-living,0.59,meth_2.1,22.15,meth_2.1,2.33,meth_2.1,2015-02-19T00:00:00,,LTGR,,0.023,meth_2.1,,,,,,https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx,,,0,0.1,0,0.39,meth_2.1,233.7,meth_2.1,22.34,meth_2.1,1.42,meth_2.1,37,1 Conservation and Natural Environments,1.1.5 Habitat/species management area,Soil [ENVO_00001998],0.84,meth_2.1,1.32,meth_2.1,0.82,meth_2.1,0.27,meth_2.1,0.12,meth_2.1,33.03,meth_2.1,,,Temperate,Australia:New South Wales [GAZ_00002793],5,meth_2.1,,,-33.61353 150.72493,-33.61353,Dermosol,meth_2.27,150.72493,,,8,meth_2.1,geo_loc_name: state/territory values derived from lat_lon using Nominatim,meth_3.1.1,3.76,meth_2.1,4.1,meth_2.1,5.3,meth_2.1,7,meth_2.1,104,meth_2.1,,,,,AM_db_v4.2_202408091431.db,4/23/21,BASE_NEW_CKAN_Curated_depth_xlsx,soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;,Hawkesbury,,Soil,35.36,meth_2.1,42.49,meth_2.1,,0,102.100.100/19483,frozen,6.6,meth_2.1,,2,meth_2.1,,,https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/19483,2/19/15,,,,,,,,,Woodland,9.172510519,meth_2.1
