layers	Brady_Reference	GCA_004212675_1	GCA_024199845_1	GCA_900099825_1	Brady_401573_Strain_1	Brady_401616_Strain_1	Brady_401656_Strain_2	Brady_401558_Strain_2	Brady_138538_Strain_2	Brady_401554_Strain_1	Brady_401652_Strain_2	GCA_000938255_1	Brady_401658_Strain_2	Brady_401558_Strain_1	Brady_401652_Strain_1	Brady_401564_Strain_2	GCA_011058295_1	GCA_900011245_1	GCA_001693485_1	Brady_12816_Strain_1	GCA_018130215_1	Brady_401600_Strain_2	Brady_401595_Strain_2	GCA_030435535_1	GCA_000473125_1	GCA_946415105_1	Brady_401588_Strain_2	GCA_018130385_1	Brady_401606_Strain_1	GCA_003020115_1	GCA_900129675_1	Brady_401566_Strain_1	GCA_031202265_1	GCA_016616425_1	GCA_027594865_1	GCA_018398895_1	Brady_401556_Strain_2	GCA_900104755_1	Brady_401660_Strain_1	Brady_401552_Strain_1	GCA_900142345_1	Brady_401548_Strain_2	GCA_029714945_1	GCA_015624505_1	GCA_001440415_1	GCA_000472925_1	Brady_401568_Strain_2	Brady_401557_Strain_2	GCA_936928535_1	GCA_023073735_1	GCA_006519655_1	GCA_008123425_1	Brady_401589_Strain_2	Brady_401600_Strain_1	GCA_003476535_1	GCA_029714305_1	GCA_018130795_1	GCA_030378205_1	Brady_401580_Strain_2	GCA_018130565_1	Brady_401568_Strain_1	GCA_000472425_1	Brady_401595_Strain_1	Brady_401593_Strain_2	Brady_401592_Strain_1	GCA_016907215_1	GCA_900142985_1	GCA_017614905_1	GCA_003062295_1	Brady_401563_Strain_2	Brady_401564_Strain_1	GCA_019455395_1	Brady_401632_Strain_1	Brady_401577_Strain_2	GCA_023073935_1	GCA_020329485_1	GCA_002108805_1	GCA_018131185_1	Brady_401550_Strain_2	GCA_000472385_1	GCA_900141755_1	Brady_401583_Strain_2	Brady_401560_Strain_2	GCA_003476565_1	GCA_016031625_1	GCA_000472645_1	GCA_015291625_1	GCA_018129725_1	Brady_401560_Strain_1	Brady_401554_Strain_2	Brady_401550_Strain_1	Brady_401571_Strain_1	Brady_401624_Strain_2	GCA_021052265_1	Brady_401658_Strain_1	GCA_029761915_1	GCA_001593325_1	Brady_401561_Strain_1	GCA_023073095_1	GCA_001908185_1	Brady_401552_Strain_2	GCA_900129425_1	GCA_022012435_1	GCA_029714405_1	GCA_023073035_1	Brady_401648_Strain_1	Brady_401586_Strain_2	GCA_023074095_1	Brady_401566_Strain_2	Brady_7085_Strain_2	Brady_401556_Strain_1	Brady_7085_Strain_1	GCA_023073475_1	Brady_401583_Strain_1	GCA_016616235_1	Brady_401567_Strain_2	Brady_401569_Strain_2	GCA_900109945_1	Brady_401580_Strain_1	Brady_401553_Strain_2	Brady_401581_Strain_1	Brady_401594_Strain_1	GCA_000518345_1	Brady_401576_Strain_1	GCA_004634465_1	Brady_401591_Strain_1	Brady_401582_Strain_1	GCA_019972155_1	Brady_401592_Strain_2	GCA_000938285_1	GCA_018398875_1	Brady_401577_Strain_1	GCA_023100945_1	Brady_401576_Strain_2	Brady_401570_Strain_1	Brady_401567_Strain_1	GCA_009766005_1	Brady_401656_Strain_1	Brady_401614_Strain_1	GCA_014844175_1	Brady_401557_Strain_1	Brady_401588_Strain_1	Brady_401553_Strain_1	Brady_401660_Strain_2	GCA_001440475_1	Brady_401589_Strain_1	GCA_018130785_1	Brady_401586_Strain_1	Brady_401569_Strain_1	Brady_401640_Strain_1	Brady_401636_Strain_1	Brady_401636_Strain_2	Brady_401593_Strain_1	Brady_138538_Strain_1	Brady_401582_Strain_2	Brady_7083_Strain_2	GCA_900129505_1	GCA_023072905_1	Brady_7083_Strain_1	Brady_401561_Strain_2	Brady_401608_Strain_1	Brady_401579_Strain_1	GCA_001440035_1	GCA_023073875_1	GCA_013114825_1	GCA_016031635_1	Brady_401548_Strain_1	Brady_401604_Strain_1	GCA_018130735_1	GCA_900011265_1	GCA_016612535_1	GCA_021052305_1	Brady_401608_Strain_2	Brady_401624_Strain_1	GCA_013114835_1	GCA_000465325_1	Brady_401594_Strain_2	Brady_401563_Strain_1	GCA_018130685_1	GCA_015291565_1	GCA_024199945_1
Brady_401567_Strain_2	0.93397	0.81039	0.846101	0.813997	0.930411	0.928883	0.922013	0.922554	0.921959	0.927607	0.922935	0.851683	0.918333	0.927538	0.927034	0.924621	0.816183	0.845314	0.809945	0.927712	0.813643	0.924792	0.923541	0.856406	0.85119	0.815705	0.922881	0.813692	0.929305	0.846259	0.813567	0.928283	0.813437	0.846006	0.856243	0.807687	0.922571	0.814645	0.927524	0.927634	0.814497	0.919932	0.868551	0.854038	0.807425	0.831334	0.925637	0.921281	0.852836	0.840903	0.851155	0.870218	0.923519	0.928383	0.815793	0.811595	0.853322	0.814	0.924085	0.846498	0.928548	0.806686	0.927733	0.924605	0.928111	0.843956	0.799082	0.809504	0.812052	0.925244	0.9276	0.853596	0.928946	0.922501	0.840941	0.810106	0.843717	0.843252	0.91865	0.803033	0.809633	0.923166	0.922374	0.815738	0.842629	0.855563	0.816237	0.816911	0.927854	0.923838	0.926398	0.930144	0.920025	0.851262	0.926158	0.84097	0.843027	0.928225	0.845305	0.847147	0.92265	0.809081	0.85405	0.829019	0.844454	0.928667	0.920849	0.841414	0.925633	0.919944	0.92737	0.92577	0.841666	0.927585	0.855518	1.0	0.924444	0.851658	0.928057	0.922795	0.928415	0.929417	0.845376	0.928916	0.853148	0.929334	0.92829	0.814315	0.923454	0.85255	0.808184	0.927044	0.810888	0.926024	0.930412	0.943729	0.807037	0.927351	0.929694	0.8506	0.926912	0.927684	0.927072	0.922628	0.811761	0.927836	0.851572	0.927149	0.927913	0.929085	0.928143	0.925051	0.928139	0.92731	0.924173	0.917269	0.813254	0.844015	0.925773	0.924874	0.927761	0.93041	0.851621	0.840983	0.80828	0.845998	0.926507	0.928004	0.852299	0.853808	0.865622	0.843969	0.924245	0.926008	0.807939	0.815822	0.925677	0.927875	0.846362	0.817083	0.868451
Brady_401568_Strain_1	0.964675	0.841569	0.871375	0.843871	0.96373	0.959562	0.935083	0.93575	0.938155	0.959643	0.940579	0.877371	0.929023	0.957414	0.957908	0.94039	0.84642	0.871683	0.836147	0.95943	0.844629	0.943584	0.937635	0.8825	0.877786	0.847543	0.939924	0.840184	0.964125	0.872829	0.841446	0.96311	0.842508	0.871066	0.8814	0.834743	0.936319	0.843416	0.957927	0.958053	0.843754	0.933087	0.892562	0.880873	0.833716	0.857871	0.965387	0.937551	0.878185	0.867438	0.877897	0.894555	0.938105	0.962324	0.848753	0.839197	0.879926	0.847676	0.939535	0.873766	1.0	0.837207	0.958495	0.940694	0.957995	0.870054	0.821701	0.840917	0.839178	0.942811	0.962793	0.881291	0.960756	0.935281	0.868643	0.838996	0.869444	0.869832	0.931728	0.829505	0.835728	0.938807	0.93196	0.848806	0.86957	0.880792	0.846908	0.848415	0.956573	0.939145	0.955337	0.964246	0.931007	0.87751	0.955408	0.867555	0.869844	0.960907	0.871894	0.874359	0.932927	0.832882	0.879289	0.855434	0.87191	0.959924	0.934436	0.868347	0.942645	0.931443	0.957697	0.958233	0.868826	0.958796	0.881132	0.928594	0.941089	0.876598	0.960389	0.939993	0.959902	0.95767	0.871888	0.963744	0.878178	0.962518	0.960031	0.847619	0.933067	0.878334	0.834815	0.95834	0.838165	0.943752	0.963396	0.955505	0.834385	0.956951	0.961743	0.876723	0.956464	0.957627	0.957493	0.935829	0.838481	0.958604	0.87752	0.955297	0.959775	0.964902	0.962097	0.941339	0.960183	0.956699	0.942371	0.928938	0.840952	0.870683	0.956228	0.940374	0.96182	0.965476	0.877269	0.867993	0.834015	0.872563	0.956038	0.961532	0.878735	0.879455	0.888018	0.870037	0.944057	0.957884	0.835287	0.848338	0.933818	0.963807	0.873476	0.850018	0.89218
Brady_401568_Strain_2	0.953888	0.809818	0.843801	0.812493	0.947172	0.944624	0.931651	0.932238	0.933684	0.939925	0.936343	0.851099	0.925701	0.93752	0.940007	0.940353	0.814518	0.843829	0.807234	0.942987	0.812046	0.94179	0.934668	0.856923	0.848879	0.815204	0.935379	0.811593	0.94599	0.844804	0.81366	0.942878	0.8132	0.843571	0.854765	0.806632	0.932693	0.812962	0.937725	0.936334	0.812635	0.929382	0.869377	0.853122	0.806136	0.827718	1.0	0.932981	0.852477	0.838181	0.849157	0.870371	0.93467	0.943138	0.815187	0.809734	0.852611	0.814546	0.937439	0.844319	0.965354	0.807809	0.938478	0.937581	0.936383	0.842484	0.799752	0.809758	0.808905	0.942304	0.941199	0.852896	0.94383	0.932951	0.839494	0.808459	0.842048	0.841495	0.92734	0.803899	0.809127	0.935452	0.928764	0.815253	0.840293	0.853422	0.814622	0.814482	0.935888	0.936422	0.935476	0.946905	0.930083	0.849046	0.934185	0.838599	0.840875	0.941116	0.844488	0.848031	0.931189	0.808772	0.854565	0.825516	0.844251	0.943707	0.929634	0.839258	0.941853	0.93083	0.938007	0.935543	0.839202	0.939637	0.854344	0.925696	0.938035	0.850046	0.940367	0.935318	0.942642	0.936387	0.844127	0.943644	0.851285	0.943696	0.941907	0.81336	0.931427	0.851268	0.807844	0.937614	0.809895	0.942687	0.946484	0.933882	0.806027	0.936767	0.94595	0.848572	0.938248	0.939855	0.939471	0.9331	0.811032	0.938994	0.849822	0.93635	0.941109	0.946087	0.942009	0.93984	0.941038	0.937899	0.938699	0.926452	0.812003	0.842579	0.934457	0.938517	0.943173	0.947533	0.850512	0.838609	0.806796	0.844768	0.93601	0.942623	0.851073	0.852413	0.863932	0.842764	0.941337	0.934931	0.8084	0.815208	0.931248	0.942985	0.844689	0.816093	0.868149
Brady_401569_Strain_1	0.962109	0.838983	0.8717	0.84183	0.964062	0.95859	0.934448	0.935234	0.937684	0.961233	0.939255	0.877664	0.929147	0.95673	0.956762	0.937652	0.846671	0.872736	0.835003	0.95787	0.844292	0.941332	0.937877	0.883755	0.87811	0.847455	0.938485	0.839776	0.960863	0.873534	0.838695	0.959721	0.839107	0.871449	0.881445	0.832771	0.935306	0.841254	0.957798	0.957913	0.841808	0.932838	0.892162	0.88034	0.832383	0.859161	0.941229	0.936565	0.877971	0.867973	0.878105	0.89393	0.937034	0.959688	0.84848	0.839732	0.880226	0.845048	0.939939	0.874503	0.959819	0.832838	0.960199	0.939848	0.959071	0.869994	0.821171	0.838145	0.836437	0.939861	0.959302	0.880039	0.95934	0.933923	0.868805	0.837548	0.870284	0.869971	0.931482	0.825622	0.83203	0.93943	0.931592	0.848896	0.870163	0.880668	0.846812	0.847864	0.955567	0.939143	0.955093	0.965155	0.929657	0.877968	0.954922	0.867771	0.870534	0.961078	0.872492	0.874812	0.932455	0.827661	0.87895	0.853934	0.871978	0.960831	0.933724	0.868018	0.939942	0.930136	0.956777	0.955827	0.868992	0.960785	0.881902	0.927898	0.96245	0.877217	0.963177	0.939359	0.961155	0.958696	0.871999	0.960049	0.879347	0.963964	0.96412	0.84753	0.933216	0.878101	0.833829	0.957349	0.837274	0.940995	0.964343	0.954574	0.83093	0.957273	0.960688	0.877243	0.955723	0.956325	0.957102	0.935679	0.839054	0.957517	0.877737	0.954747	1.0	0.961774	0.96092	0.93995	0.960099	0.95657	0.943048	0.928049	0.837523	0.871123	0.954337	0.93944	0.958522	0.964489	0.877894	0.868062	0.831809	0.873043	0.95571	0.958595	0.87932	0.879769	0.887141	0.870328	0.941719	0.955417	0.83354	0.84833	0.933426	0.959517	0.873964	0.849551	0.891377
Brady_401569_Strain_2	0.950679	0.811964	0.844865	0.812616	0.945904	0.943498	0.931088	0.931296	0.933153	0.939973	0.934766	0.851821	0.925503	0.937375	0.939158	0.935352	0.816139	0.844833	0.809639	0.94117	0.813332	0.937952	0.936028	0.857047	0.850897	0.815515	0.933316	0.812446	0.943554	0.844732	0.811927	0.940129	0.81242	0.844438	0.855256	0.807658	0.931373	0.812836	0.937503	0.935962	0.812417	0.928777	0.868711	0.852953	0.806686	0.829536	0.937974	0.931823	0.852344	0.839036	0.850451	0.870608	0.933402	0.941272	0.816946	0.81088	0.852896	0.813967	0.940201	0.845189	0.941139	0.805987	0.938832	0.937023	0.93631	0.842642	0.79807	0.810616	0.809954	0.936814	0.938695	0.85231	0.942487	0.931351	0.839985	0.809417	0.84265	0.84232	0.927179	0.804251	0.806946	0.937403	0.927482	0.816568	0.841608	0.853785	0.816112	0.815801	0.935207	0.937595	0.935245	0.9458	0.926728	0.850664	0.93403	0.838661	0.841256	0.940244	0.844636	0.847476	0.930452	0.804952	0.854121	0.827074	0.843346	0.943454	0.92871	0.840574	0.937088	0.92754	0.93717	0.934296	0.83938	0.940324	0.855405	0.924391	1.0	0.850292	0.940782	0.934541	0.942513	0.935875	0.844309	0.940852	0.851354	0.942986	0.942675	0.814794	0.932146	0.851568	0.808144	0.936936	0.811482	0.937681	0.945346	0.932949	0.806158	0.935926	0.94443	0.84979	0.937491	0.938708	0.93906	0.932552	0.810662	0.938293	0.851158	0.935823	0.962406	0.943376	0.940653	0.938062	0.940668	0.937565	0.942442	0.923832	0.809894	0.843001	0.933863	0.937838	0.940856	0.94582	0.850869	0.839056	0.806424	0.846377	0.936066	0.94044	0.851725	0.852639	0.863672	0.842756	0.937228	0.933615	0.808369	0.817036	0.932079	0.94007	0.844718	0.816133	0.867767
Brady_401570_Strain_1	0.968516	0.837196	0.867347	0.838866	0.970997	0.962592	0.938108	0.938348	0.940555	0.961815	0.943698	0.875002	0.931267	0.958803	0.959333	0.942439	0.84451	0.868557	0.83222	0.962768	0.841613	0.94646	0.941476	0.879687	0.873614	0.844587	0.942586	0.835371	0.965382	0.869019	0.836597	0.962727	0.837228	0.867678	0.877347	0.830812	0.939498	0.839085	0.958887	0.959537	0.83969	0.935316	0.890958	0.876572	0.831015	0.856471	0.946589	0.940255	0.874635	0.863569	0.873686	0.893058	0.941255	0.962705	0.845773	0.836487	0.876349	0.843538	0.943807	0.869224	0.963315	0.83335	0.962329	0.945231	0.961579	0.86576	0.819495	0.836339	0.83396	0.945085	0.962321	0.876789	0.964015	0.93754	0.864607	0.834961	0.865591	0.865978	0.933775	0.826334	0.831016	0.942343	0.934725	0.845762	0.866212	0.876347	0.844619	0.844484	0.95716	0.942206	0.955736	0.968483	0.932324	0.873796	0.955275	0.863576	0.8646	0.963151	0.868262	0.869133	0.935715	0.827106	0.875844	0.852091	0.867701	0.964632	0.936861	0.864089	0.944893	0.932769	0.959542	0.956579	0.86407	0.961525	0.878417	0.9303	0.945416	0.872309	0.964171	0.94233	0.963355	0.961465	0.867552	0.963664	0.87465	0.96737	0.964675	0.843935	0.936968	0.874717	0.830603	0.959232	0.834603	0.946395	1.0	0.955781	0.829723	0.958628	0.965045	0.873119	0.95829	0.959224	0.958387	0.938709	0.834971	0.959907	0.87319	0.95682	0.964302	0.967332	0.963348	0.944458	0.964361	0.957875	0.946939	0.929707	0.834992	0.865834	0.954229	0.944074	0.96226	0.968709	0.873998	0.863764	0.829916	0.868905	0.956597	0.962528	0.874777	0.875587	0.884869	0.865751	0.947009	0.956488	0.830971	0.845404	0.937212	0.962987	0.869182	0.846377	0.890662
Brady_401571_Strain_1	0.969401	0.839603	0.868339	0.841089	0.968495	0.963293	0.93826	0.938635	0.941504	0.962728	0.943929	0.875791	0.931628	0.958773	0.960023	0.942617	0.845021	0.869352	0.835544	0.961456	0.84392	0.947132	0.941381	0.880508	0.87486	0.846869	0.942832	0.838693	0.966318	0.869675	0.838793	0.96355	0.838794	0.868333	0.878395	0.832849	0.939194	0.840396	0.959869	0.959466	0.841171	0.93595	0.891528	0.878539	0.832639	0.856032	0.946917	0.940555	0.875353	0.864378	0.874328	0.893664	0.941074	0.963964	0.848464	0.838478	0.877616	0.844151	0.943963	0.870726	0.964228	0.835507	0.961846	0.944389	0.960162	0.866665	0.820951	0.838578	0.836827	0.94544	0.962669	0.876684	0.963451	0.937857	0.865911	0.83663	0.866815	0.867269	0.934276	0.826274	0.831515	0.942978	0.934652	0.848035	0.867163	0.877622	0.845976	0.846846	0.957326	0.942681	0.956697	1.0	0.932399	0.874459	0.95641	0.863786	0.86647	0.963784	0.869591	0.870405	0.93558	0.829863	0.876331	0.852356	0.868096	0.963976	0.937075	0.865156	0.945303	0.933488	0.959049	0.95781	0.865403	0.962302	0.879001	0.930147	0.945815	0.873873	0.964972	0.943261	0.963898	0.959924	0.868679	0.96426	0.876299	0.967398	0.965303	0.845813	0.936226	0.876142	0.833721	0.959203	0.837434	0.946623	0.968494	0.955715	0.831393	0.959582	0.965421	0.873939	0.958296	0.959656	0.959899	0.939184	0.8391	0.959929	0.874922	0.957047	0.965177	0.96666	0.964883	0.945067	0.962844	0.959585	0.947377	0.930527	0.83559	0.86786	0.955781	0.94419	0.962824	0.97028	0.874453	0.864923	0.832589	0.871021	0.957337	0.962611	0.875901	0.877087	0.88628	0.867593	0.947408	0.957111	0.83387	0.847673	0.936283	0.963506	0.870897	0.848805	0.890743
Brady_401573_Strain_1	0.969371	0.838099	0.86713	0.838324	1.0	0.963428	0.938015	0.938992	0.941124	0.961404	0.944183	0.873908	0.931254	0.959027	0.959796	0.942901	0.842752	0.868345	0.831279	0.963326	0.839546	0.946882	0.941821	0.87935	0.873478	0.844032	0.94306	0.835641	0.965654	0.868128	0.836714	0.962656	0.837594	0.867217	0.877005	0.830365	0.939656	0.838124	0.958804	0.959288	0.838812	0.935614	0.890644	0.876669	0.830002	0.856485	0.947188	0.940997	0.874714	0.863714	0.87308	0.892415	0.941544	0.962773	0.845177	0.836234	0.87587	0.844329	0.944297	0.869062	0.963681	0.833882	0.961853	0.945618	0.961174	0.865941	0.818597	0.836069	0.833626	0.945809	0.962348	0.876255	0.964674	0.938113	0.864277	0.8349	0.866009	0.865606	0.934167	0.825489	0.829547	0.943094	0.934795	0.844448	0.866344	0.87636	0.844442	0.844192	0.957108	0.942732	0.955915	0.96843	0.932413	0.873267	0.9552	0.863345	0.865529	0.962941	0.868052	0.869628	0.935964	0.827441	0.875589	0.853319	0.86685	0.965147	0.937224	0.863879	0.945426	0.933263	0.959589	0.956451	0.864487	0.961839	0.877697	0.930402	0.945892	0.872037	0.964078	0.943102	0.963797	0.96097	0.866845	0.963706	0.874628	0.967285	0.964403	0.843236	0.937105	0.873884	0.830907	0.959273	0.834472	0.946899	0.970956	0.955441	0.828684	0.95826	0.965908	0.872691	0.958572	0.95964	0.958779	0.939127	0.836132	0.960199	0.873154	0.957007	0.964006	0.967946	0.963705	0.945069	0.964694	0.957968	0.947246	0.930055	0.835197	0.866817	0.954296	0.944551	0.962607	0.96884	0.873811	0.863507	0.829087	0.86958	0.956547	0.962795	0.874775	0.875553	0.884764	0.866204	0.9476	0.956414	0.831082	0.844426	0.937476	0.963038	0.869893	0.846477	0.889823
Brady_401576_Strain_1	0.964148	0.840886	0.871638	0.841591	0.963742	0.958532	0.935287	0.935431	0.938464	0.960078	0.939755	0.877814	0.929099	0.95682	0.956819	0.939915	0.846809	0.871791	0.835067	0.958551	0.84516	0.943283	0.93757	0.883527	0.877941	0.847318	0.939278	0.838058	0.963554	0.873054	0.840001	0.963168	0.841118	0.871513	0.880772	0.833802	0.935914	0.84142	0.957763	0.958294	0.84114	0.932581	0.893703	0.881408	0.833457	0.857926	0.943609	0.936984	0.879624	0.866889	0.878227	0.895886	0.93768	0.961929	0.848846	0.839393	0.879209	0.847968	0.93958	0.873201	0.963743	0.838493	0.958921	0.940166	0.958227	0.869926	0.822513	0.840169	0.836523	0.942573	0.962755	0.880939	0.959772	0.93444	0.867953	0.838031	0.869925	0.870454	0.931476	0.829308	0.833779	0.938484	0.931949	0.847903	0.870746	0.880208	0.846832	0.848831	0.956059	0.939019	0.954858	0.964258	0.930668	0.878453	0.955089	0.866464	0.869448	0.961033	0.872077	0.873358	0.932987	0.831036	0.880369	0.854389	0.871153	0.959497	0.933972	0.867835	0.942363	0.930909	0.957042	0.957469	0.86817	0.958129	0.881356	0.928869	0.940814	0.876204	0.960793	0.939111	0.959319	0.958111	0.871863	1.0	0.87896	0.962871	0.960023	0.847819	0.933258	0.878618	0.834427	0.957984	0.835937	0.965075	0.963632	0.955993	0.83283	0.957581	0.960905	0.876948	0.955871	0.95686	0.956703	0.93602	0.838714	0.958011	0.877657	0.954753	0.960097	0.964771	0.962027	0.940796	0.959685	0.957139	0.942049	0.928352	0.839027	0.870852	0.955273	0.940173	0.960817	0.965844	0.878781	0.867027	0.832169	0.87293	0.955502	0.960729	0.878874	0.879759	0.889751	0.86937	0.943693	0.95719	0.833885	0.847576	0.933866	0.96307	0.873403	0.850021	0.892869
Brady_401576_Strain_2	0.953463	0.81056	0.844643	0.81125	0.946914	0.944233	0.9323	0.931327	0.933941	0.940029	0.935234	0.851871	0.925341	0.937368	0.939535	0.940054	0.815467	0.844586	0.807294	0.941955	0.812876	0.9411	0.935094	0.857949	0.85095	0.814935	0.934296	0.810715	0.945933	0.845923	0.810701	0.942507	0.81334	0.844047	0.854805	0.806099	0.932096	0.810677	0.937898	0.936883	0.810813	0.928605	0.870682	0.853592	0.805887	0.828726	0.942753	0.932128	0.853604	0.838327	0.850557	0.873193	0.934296	0.943185	0.815904	0.808353	0.852254	0.814189	0.937658	0.844198	0.943753	0.809707	0.938682	0.936902	0.936603	0.843208	0.801101	0.810678	0.807805	0.941362	0.940881	0.854371	0.943435	0.932085	0.839387	0.808636	0.843051	0.841482	0.926646	0.804124	0.806869	0.935201	0.928195	0.815509	0.84172	0.853894	0.814404	0.815405	0.935822	0.936803	0.935313	0.946725	0.928965	0.851025	0.934287	0.838427	0.840764	0.941075	0.844722	0.846165	0.931089	0.804897	0.856024	0.826602	0.844209	0.94332	0.928936	0.839479	0.941817	0.92981	0.937695	0.935371	0.839041	0.939362	0.855282	0.925919	0.937803	0.850301	0.940567	0.934437	0.942187	0.936755	0.8446	0.965107	0.850802	0.943473	0.941618	0.814034	0.931603	0.851789	0.806849	0.93754	0.808803	1.0	0.946348	0.934369	0.805613	0.937196	0.945449	0.850199	0.93773	0.939278	0.93913	0.932728	0.80896	0.938696	0.849683	0.936111	0.941009	0.945616	0.94164	0.939336	0.940905	0.938364	0.938748	0.925185	0.810316	0.843651	0.934038	0.93855	0.94302	0.947404	0.853255	0.83866	0.805143	0.84535	0.936022	0.942379	0.851322	0.851911	0.866051	0.84344	0.940072	0.934635	0.805389	0.815555	0.93147	0.94284	0.844284	0.81622	0.869425
Brady_401577_Strain_1	0.959244	0.842244	0.877698	0.84475	0.95928	0.957675	0.932518	0.93357	0.934568	0.958044	0.937609	0.884193	0.927782	0.959263	0.958888	0.935038	0.848052	0.879117	0.839504	0.95639	0.8469	0.937521	0.933962	0.887506	0.885974	0.849485	0.936742	0.843459	0.957589	0.880448	0.841054	0.958035	0.84291	0.878295	0.887329	0.837561	0.933786	0.844483	0.958043	0.958148	0.844559	0.931235	0.897319	0.886655	0.837428	0.865135	0.937536	0.935292	0.883357	0.874333	0.886039	0.899167	0.935165	0.957308	0.850393	0.843864	0.886629	0.846825	0.935596	0.880633	0.958297	0.834171	0.95695	0.936615	0.958525	0.876147	0.820041	0.841217	0.841041	0.936592	0.95809	0.885764	0.957572	0.954397	0.875435	0.840585	0.877062	0.877229	0.930201	0.827159	0.833973	0.934904	0.930458	0.850457	0.876957	0.887209	0.850032	0.850065	0.958532	0.935368	0.957855	0.959237	0.928108	0.885951	0.957843	0.873305	0.876446	0.95864	0.878502	0.880269	0.930526	0.829649	0.884241	0.862907	0.878336	0.957115	0.932376	0.875882	0.936626	0.92785	0.958926	0.956566	0.875861	0.958306	0.888002	0.927031	0.93707	0.884161	0.958107	0.936842	0.958717	0.957817	0.8784	0.957984	0.886385	0.959051	0.957674	0.849357	0.930992	0.884708	0.837773	1.0	0.841389	0.937552	0.959263	0.956014	0.832228	0.955947	0.959692	0.884877	0.958362	0.958494	0.958031	0.93306	0.842811	0.959119	0.884945	0.957302	0.95734	0.959773	0.96001	0.936558	0.959357	0.954875	0.937821	0.926205	0.838589	0.877666	0.956999	0.936134	0.955958	0.959342	0.883326	0.874588	0.837522	0.878961	0.957999	0.956264	0.886069	0.88675	0.892011	0.876194	0.937762	0.956152	0.83893	0.850566	0.931759	0.957934	0.879908	0.852579	0.895998
Brady_401577_Strain_2	0.942711	0.810382	0.844084	0.815018	0.938097	0.93705	0.926519	0.931174	0.92747	0.933435	0.933503	0.849619	0.925641	0.932854	0.93453	0.931123	0.815645	0.843706	0.811714	0.935783	0.811884	0.931838	0.929292	0.853407	0.850662	0.816296	0.932249	0.814891	0.936335	0.843758	0.813844	0.934043	0.814572	0.845136	0.854105	0.809509	0.930731	0.814596	0.931877	0.931183	0.814384	0.927898	0.866342	0.851831	0.809011	0.832279	0.932914	0.930854	0.850208	0.838902	0.850496	0.868296	0.932055	0.934524	0.816259	0.811977	0.852892	0.815332	0.931496	0.844952	0.935214	0.806765	0.932002	0.933429	0.931124	0.842585	0.798021	0.810877	0.813704	0.93169	0.933271	0.851328	0.935904	1.0	0.839691	0.810333	0.841902	0.841491	0.926745	0.802468	0.80667	0.931212	0.927526	0.816216	0.841175	0.853264	0.815073	0.815118	0.931064	0.930814	0.930844	0.937815	0.924131	0.85041	0.929429	0.838815	0.840798	0.934385	0.843165	0.846836	0.928116	0.806485	0.851273	0.83021	0.843188	0.936396	0.927932	0.839919	0.932031	0.925535	0.93289	0.929459	0.840127	0.93359	0.854873	0.922554	0.931348	0.849747	0.934012	0.931733	0.935818	0.931404	0.843268	0.934543	0.851228	0.935677	0.934931	0.814083	0.928903	0.849944	0.810857	0.954392	0.813975	0.932078	0.937661	0.928829	0.805443	0.93068	0.937967	0.849905	0.933467	0.934043	0.933839	0.9296	0.813433	0.93362	0.850077	0.931473	0.933915	0.937304	0.93459	0.934011	0.934762	0.93158	0.932567	0.923439	0.809139	0.842673	0.929493	0.932183	0.934472	0.937938	0.84967	0.839203	0.810207	0.845263	0.931118	0.934326	0.850852	0.852006	0.860254	0.842407	0.931088	0.929221	0.810546	0.81604	0.92814	0.934258	0.844375	0.818461	0.865386
