key	Brady_12816_Strain_1	Brady_138538_Strain_1	Brady_138538_Strain_2	Brady_401548_Strain_1	Brady_401548_Strain_2	Brady_401550_Strain_1	Brady_401550_Strain_2	Brady_401552_Strain_1	Brady_401552_Strain_2	Brady_401553_Strain_1	Brady_401553_Strain_3	Brady_401554_Strain_1	Brady_401554_Strain_2	Brady_401556_Strain_1	Brady_401556_Strain_2	Brady_401557_Strain_1	Brady_401557_Strain_2	Brady_401558_Strain_1	Brady_401560_Strain_1	Brady_401560_Strain_2	Brady_401561_Strain_1	Brady_401563_Strain_1	Brady_401563_Strain_2	Brady_401564_Strain_1	Brady_401564_Strain_2	Brady_401566_Strain_1	Brady_401566_Strain_3	Brady_401567_Strain_1	Brady_401567_Strain_2	Brady_401568_Strain_1	Brady_401568_Strain_2	Brady_401569_Strain_1	Brady_401570_Strain_1	Brady_401571_Strain_1	Brady_401573_Strain_1	Brady_401576_Strain_1	Brady_401576_Strain_3	Brady_401577_Strain_1	Brady_401577_Strain_2	Brady_401579_Strain_1	Brady_401580_Strain_1	Brady_401580_Strain_2	Brady_401581_Strain_1	Brady_401582_Strain_1	Brady_401582_Strain_2	Brady_401583_Strain_1	Brady_401583_Strain_2	Brady_401586_Strain_1	Brady_401586_Strain_2	Brady_401588_Strain_1	Brady_401588_Strain_2	Brady_401589_Strain_1	Brady_401591_Strain_1	Brady_401592_Strain_1	Brady_401592_Strain_2	Brady_401593_Strain_1	Brady_401593_Strain_2	Brady_401594_Strain_1	Brady_401594_Strain_2	Brady_401595_Strain_1	Brady_401595_Strain_2	Brady_401600_Strain_1	Brady_401600_Strain_2	Brady_401604_Strain_1	Brady_401606_Strain_1	Brady_401608_Strain_1	Brady_401608_Strain_2	Brady_401614_Strain_1	Brady_401616_Strain_1	Brady_401624_Strain_1	Brady_401624_Strain_2	Brady_401632_Strain_1	Brady_401636_Strain_1	Brady_401636_Strain_2	Brady_401640_Strain_1	Brady_401648_Strain_1	Brady_401652_Strain_1	Brady_401652_Strain_2	Brady_401656_Strain_1	Brady_401656_Strain_2	Brady_401658_Strain_1	Brady_401658_Strain_2	Brady_401660_Strain_1	Brady_401660_Strain_2	Brady_401660_Strain_3	Brady_7083_Strain_1	Brady_7083_Strain_2	Brady_7085_Strain_1	Brady_7085_Strain_2	Brady_Reference	GCA_000465325_1	GCA_000472385_1	GCA_000472425_1	GCA_000472645_1	GCA_000472925_1	GCA_000473125_1	GCA_000518345_1	GCA_000938255_1	GCA_000938285_1	GCA_001440035_1	GCA_001440415_1	GCA_001440475_1	GCA_001593325_1	GCA_001693485_1	GCA_001908185_1	GCA_002108805_1	GCA_003020115_1	GCA_003062295_1	GCA_003476535_1	GCA_004212675_1	GCA_004634465_1	GCA_006519655_1	GCA_008123425_1	GCA_009766005_1	GCA_011058295_1	GCA_013114825_1	GCA_013114835_1	GCA_014844175_1	GCA_015291565_1	GCA_015291625_1	GCA_015624505_1	GCA_016031625_1	GCA_016031635_1	GCA_016612535_1	GCA_016616235_1	GCA_016616425_1	GCA_016907215_1	GCA_017614905_1	GCA_017881085_1	GCA_018129725_1	GCA_018130215_1	GCA_018130385_1	GCA_018130565_1	GCA_018130685_1	GCA_018130735_1	GCA_018130785_1	GCA_018130795_1	GCA_018131185_1	GCA_018398875_1	GCA_018398895_1	GCA_019455395_1	GCA_019972155_1	GCA_020252455_1	GCA_020329485_1	GCA_021052265_1	GCA_021052305_1	GCA_022012435_1	GCA_023072905_1	GCA_023073035_1	GCA_023073095_1	GCA_023073475_1	GCA_023073735_1	GCA_023073875_1	GCA_023073935_1	GCA_023074095_1	GCA_023100945_1	GCA_023387735_1	GCA_023388935_1	GCA_024199845_1	GCA_024199945_1	GCA_025936395_1	GCA_027594865_1	GCA_029714305_1	GCA_029714405_1	GCA_029714945_1	GCA_029761915_1	GCA_030378205_1	GCA_030435535_1	GCA_031202265_1	GCA_900011245_1	GCA_900011265_1	GCA_900099825_1	GCA_900104755_1	GCA_900109945_1	GCA_900129425_1	GCA_900129505_1	GCA_900129675_1	GCA_900141755_1	GCA_900142345_1	GCA_900142985_1	GCA_936928535_1	GCA_946415105_1	CAZyme
func_9cf9c9357a57	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	6	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	4	3	3	4	4	4	4	5	4	4	4	4	4	4	5	3	4	5	4	4	7	4	5	3	3	5	4	5	4	3	4	4	6	4	4	5	2	4	4	2	4	5	4	4	5	3	4	4	5	5	4	6	4	4	4	4	4	4	4	4	4	4	4	3	1	6	4	3	2	4	3	2	4	5	3	4	7	4	3	4	4	4	6	4	6	6	4	7	4	4	AA12.hmm
func_1cfd6072c100	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	0	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	CBM50.hmm
func_b9a08aa0fc4a	7	7	7	8	7	7	7	7	7	8	8	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	8	7	8	8	7	7	7	8	8	7	7	8	6	7	7	8	7	7	7	7	7	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	5	7	7	7	5	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	GH103.hmm
func_2175e86010e9	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	4	2	2	2	2	2	3	3	2	3	2	1	2	3	3	2	2	2	2	2	3	3	3	2	3	3	2	2	2	1	2	1	1	2	1	3	3	4	2	2	2	2	2	2	3	2	2	3	2	1	2	1	2	1	1	2	1	1	1	1	1	3	1	1	2	2	1	2	3	1	2	1	2	1	3	2	2	2	2	2	1	1	4	2	2	1	2	2	GH3.hmm
func_deff2a5c2dfa	20	20	20	20	20	20	19	21	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	20	20	20	21	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	20	14	29	21	19	19	26	17	13	13	15	17	20	17	13	18	14	20	22	12	25	19	26	26	16	24	19	18	25	10	20	11	16	15	19	19	9	17	25	8	23	14	18	13	18	18	16	21	11	17	24	18	24	9	19	26	17	15	16	19	16	19	19	19	13	15	22	8	21	21	16	13	16	19	18	21	17	11	15	10	19	19	13	13	18	18	14	13	12	14	11	16	19	GT4.hmm
func_2c77efb56126	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	4	2	3	4	4	2	1	2	1	2	2	3	4	2	3	0	3	2	4	2	2	2	1	2	3	3	2	2	2	1	2	2	3	1	2	5	3	2	4	3	4	3	4	2	2	1	2	3	1	4	2	3	4	3	3	3	2	2	2	2	2	1	1	4	2	3	1	2	1	2	3	3	1	2	5	3	4	0	0	4	3	2	4	1	0	2	3	2	AA1.hmm
func_5a0ee4e25d8b	20	21	20	21	19	21	18	20	20	19	19	18	19	20	20	22	20	20	19	18	20	19	20	19	19	20	20	22	21	19	18	19	19	20	21	21	19	18	19	19	19	20	18	19	19	19	20	19	19	20	22	21	18	20	18	21	22	19	19	20	17	18	20	21	21	20	21	21	19	20	23	20	20	21	21	21	21	20	19	19	19	18	19	21	18	20	19	20	20	20	16	12	28	28	44	30	22	31	33	25	15	16	21	13	19	22	21	15	13	11	24	30	30	23	22	11	12	31	18	22	32	18	18	20	14	12	17	13	7	17	22	22	20	18	24	20	24	19	17	16	22	15	12	10	30	17	28	15	20	21	16	13	16	12	15	18	14	23	29	29	7	21	18	23	32	17	22	21	24	20	24	24	24	24	18	24	23	29	25	24	33	20	GT41.hmm
func_7763193cb4b2	1	1	1	1	2	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	AA2.hmm
func_e325343333b2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	2	1	1	0	0	1	1	1	2	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	2	2	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	CE14.hmm
func_658861421144	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	2	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	GH172.hmm
func_87bd0829a8c1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	GH19.hmm
func_28894e6ad659	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	0	0	1	1	1	2	0	1	1	0	1	1	1	1	1	0	0	1	0	1	2	2	1	0	0	1	1	2	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	1	2	2	2	0	0	1	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1	0	2	1	1	1	0	1	2	1	1	2	0	0	1	0	1	1	1	1	GH33.hmm
func_bdebddbfc4e1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	GH74.hmm
func_5628ea4c7045	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	GT19.hmm
func_5bc920f64cbc	2	3	2	3	3	3	3	3	3	3	2	2	4	2	3	3	3	3	3	3	2	3	3	3	3	3	1	3	3	3	3	2	3	3	2	2	1	3	3	2	3	3	3	3	3	3	2	2	3	3	3	2	2	2	3	2	3	3	3	3	3	2	3	3	3	3	2	2	3	3	3	3	3	3	2	2	2	3	3	2	3	2	2	3	3	3	3	3	4	2	1	5	5	3	5	6	2	4	2	3	5	3	2	4	4	2	3	4	1	5	3	6	4	2	2	3	2	6	5	2	3	4	5	2	2	5	2	4	1	3	3	4	4	4	4	4	4	2	4	7	2	1	1	2	6	2	2	3	2	2	3	3	3	2	3	4	1	2	5	3	2	2	4	8	3	2	3	2	4	2	3	2	2	2	6	2	3	6	2	3	2	3	AA7.hmm
