"SampleID"	"Organization"	"Title"	"Description"	"URL"	"Tags"	"LatLong"	"long"	"lat"	"LatLongType"	"License"	"ammonium_nitrogen"	"analysis_software_version"	"archive_ingestion_date"	"australian_soil_classification"	"boron"	"broad_land_use"	"clay_percent"	"color"	"conductivity"	"contextual_data_submission_date"	"course_sand_percent"	"data_generated"	"data_type"	"dataset_url"	"date_of_transfer"	"date_sampled"	"depth"	"description"	"detailed_land_use"	"copper"	"iron"	"manganese"	"zinc"	"elevation"	"environment"	"extractable_aluminium"	"extractable_calcium"	"extractable_magnesium"	"extractable_potassium"	"extractable_sodium"	"facility"	"find_sand_percent"	"flow_id"	"folder_name"	"general_ecological_zone"	"geo_loc..country.subregion."	"gravel_percent"	"insert_size_range"	"latitude..decimal.degrees."	"library_construction_protocol"	"license_id"	"location_description"	"longitude..decimal.degrees."	"name"	"ncbi_bioproject_accession"	"ncbi_biosample_accession"	"nitrate_nitrogen"	"notes"	"organic_carbon_percent"	"ph_level_cacl2"	"ph_level_h2o"	"phosphorus_colwell"	"potassium_colwell"	"read_length"	"sample_extraction_id"	"sample_id"	"sample_submission_date"	"sample_type"	"sand_percent"	"sequencer"	"silt_percent"	"slope_percent"	"slope_aspect"	"soil_moisture_percent"	"sulfur"	"texture"	"ticket"	"title"	"vegetation_type"	"Inorganic_Nitrogen"	"texture_2"	"catalogID"	"MAT"	"MAP"	"AridityIndex"	"NPP"	"organic_Carbon_extrametadata"
"Sample_19501"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 19501_1"	"BASE Metagenomics 19501_1"	"bpa-base-metagenomics-19501_1-hfcgvbcxx"	NA	"150.72577, -33.61158"	150.72577	-33.61158	" Point"	"CC-BY-3.0-AU"	7	"1.8.2"	"2015-11-17"	""	0.25	"Conservation and Natural Environments"	4.05	"GR"	0.025	NA	75.16	"2015-11-17"	"HiSeq"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/ramaciotti/BRLOPS-736/"	"2015-11-17"	"2015-02-23"	0	"BASE Metagenomics"	"Conservation and Natural Environments - Nature conservation - Habitat/species management area"	0.16	62.9	15.93	1.13	36	"Soil"	0.486	0.66	0.21	0.12	0.02	"RAMACIOTTI"	10.43	"HFCGVBCXX"	"20151101_UNSW_BPA_BASE_HFCGVBCXX"	"Temperate"	"Australia"	5	"300-1000bp"	-33.61158	"TruSeq Nano"	"CC-BY-3.0-AU"	"Hawkesbury"	150.72577	"bpa-base-metagenomics-19501_1-hfcgvbcxx"	"PRJNA317932"	"SAMN07488556"	4	"BASE Metagenomics 19501_1"	1.35	4.4	5.1	4	51	"150bp"	"19501_1"	"102.100.100/19501"	"2015-11-17"	"Soil"	85.58	"HiSeq 2500"	10.37	0	NA	4.9615055603	3.8	1.5	"BRLOPS-736"	"BASE Metagenomics 19501_1"	"Woodland"	11	14.42	19501	17.2	64.581665	0.5278663	9	1.0232662
"Sample_7861"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 7861_1"	"BASE Metagenomics 7861_1"	"bpa-base-metagenomics-7861_1-h2tknbcxx"	NA	"150.594324166, -35.1736337779999"	150.594324166	-35.1736337779999	" Point"	"CC-BY-3.0-AU"	6	"1.8.2"	"2015-06-04"	"Tenosols"	4.93	"Conservation and Natural Environments"	11.81	"DKGR"	1.23	NA	80.6	"2015-06-04"	"Metagenomics"	""	""	"2012-10-26"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.37	38.72	0.38	1.03	6	"Soil"	0.012	4.47	4.25	0.35	5.79	"RAMACIOTTI"	5.61	"H2TKNBCXX"	"20150522_UNSW_BPA_BASE_H2TKNBCXX"	"Temperate"	"Australia"	0	"300-1000bp"	-35.173633778	"TruSeq Nano"	"CC-BY-3.0-AU"	"Booderee"	150.594324166	"bpa-base-metagenomics-7861_1-h2tknbcxx"	"PRJNA317932"	"SAMN04873679"	10	"BASE Metagenomics 7861_1"	1.61	6.6	7.3	4	137	"150bp"	"7861_1"	"102.100.100/7861"	""	"Soil"	86.2	"HiSeq2500"	1.99	0	NA	38.9	115.9	1.5	"BRLOPS-650"	"BASE Metagenomics 7861_1"	"Marsh/bog"	16	13.8	7861	16.8	92.03667	0.687584	13	0.96969104
"Sample_8128"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 8128_1"	"BASE Metagenomics 8128_1"	"bpa-base-metagenomics-8128_1-h3wk2bcxx"	NA	"119.722138888889, -33.7283888888889"	119.722138888889	-33.7283888888889	" Point"	"CC-BY-3.0-AU"	2	"1.8.2"	"2015-06-05"	"Chromosols"	0.25	"Conservation and Natural Environments"	3.87	"DKGR"	0.015	NA	85.8	"2015-06-05"	"Metagenomics"	""	"2015-06-05"	"2013-12-07"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.29	19.65	0.67	0.24	289.9	"Soil"	0.09	1.25	0.32	0.08	0.05	"AGRF"	8.36	"H3WK2BCXX"	"20150605_AGRF_BPA_BASE_H3WL3BCXX"	"Temperate"	"Australia"	0	"670bp"	-33.7283888889	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Fitzgerald River NP"	119.7221388889	"bpa-base-metagenomics-8128_1-h3wk2bcxx"	"PRJNA317932"	"SAMN04873777"	2	"BASE Metagenomics 8128_1"	1.26	4.6	5.6	1e-10	32	"150bp"	"8128_1"	"102.100.100/8128"	"2015-06-05"	"Soil"	94.16	"HiSeq 2500"	1.96	NA	NA	6.7025440313	3.1	1.5	"BRLOPS-651"	"BASE Metagenomics 8128_1"	"Shrubland"	4	5.83	8128	15.9	32.785835	0.3142122	4	0.6201931
"Sample_8130"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 8130_1"	"BASE Metagenomics 8130_1"	"bpa-base-metagenomics-8130_1-h33cgbcxx"	NA	"119.761694444444, -33.6883611111111"	119.761694444444	-33.6883611111111	" Point"	"CC-BY-3.0-AU"	1e-10	"1.8.2"	"2015-06-19"	"Tenosols"	0.4	"Conservation and Natural Environments"	5.8	"DKGR"	0.07	NA	86.07	"2015-06-19"	"Metagenomics"	""	"2015-06-19"	"2013-12-07"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.24	27.74	1.01	0.18	261.9	"Soil"	0.068	1.08	0.49	0.09	0.27	"AGRF"	6.19	"H33CGBCXX"	"20150619_AGRF_BPA_BASE_H33CGBCXX"	"Temperate"	"Australia"	5	"550bp"	-33.6883611111	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Fitzgerald River NP"	119.7616944444	"bpa-base-metagenomics-8130_1-h33cgbcxx"	"PRJNA317932"	"SAMN04873779"	1e-10	"BASE Metagenomics 8130_1"	0.59	5	5.8	1e-10	34	"150bp"	"8130_1"	"102.100.100/8130"	"2015-06-19"	"Soil"	92.26	"HiSeq 2500"	1.95	NA	NA	6.4838484778	6.3	1.5	"BRLOPS-657"	"BASE Metagenomics 8130_1"	"Shrubland"	2e-10	7.75	8130	16	31.875834	0.2987057	3	0.6622102
"Sample_12467"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12467_1"	"BASE Metagenomics 12467_1"	"bpa-base-metagenomics-12467_1-h2thfbcxx"	NA	"148.79595, -35.42375"	148.79595	-35.42375	" Point"	"CC-BY-3.0-AU"	6	"1.8.2"	"2015-06-04"	"Kurosols"	0.37	"Conservation and Natural Environments"	18.15	"BR"	0.07	NA	51.52	"2015-06-04"	"Metagenomics"	""	""	"2013-08-14"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.75	129.03	206.88	10.48	1294	"Soil"	0.769	8.04	0.86	0.63	0.06	"RAMACIOTTI"	14.1	"H2THFBCXX"	"20150522_UNSW_BPA_BASE_H2THFBCXX"	"Temperate"	"Australia"	0	"300-1000bp"	-35.42375	"TruSeq Nano"	"CC-BY-3.0-AU"	"Namadgi NP"	148.79595	"bpa-base-metagenomics-12467_1-h2thfbcxx"	"PRJNA317932"	"SAMN04874152"	1e-10	"BASE Metagenomics 12467_1"	4.3	4.4	5.4	49	268	"150bp"	"12467_1"	"102.100.100/12467"	""	"Soil"	65.62	"HiSeq2500"	16.23	5	NA	28.1031307551	6.6	1	"BRLOPS-649"	"BASE Metagenomics 12467_1"	"Forest"	6.0000000001	34.38	12467	9	88.3225	1.2360399	15	4.667675
"Sample_12495"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12495_1"	"BASE Metagenomics 12495_1"	"bpa-base-metagenomics-12495_1-h3wynbcxx"	NA	"149.0097, -35.8766833"	149.0097	-35.8766833	" Point"	"CC-BY-3.0-AU"	8	"1.8.2"	"2015-07-13"	""	0.33	"Conservation and Natural Environments"	43.02	"GR"	0.101	NA	13.05	"2015-07-13"	"HiSeq"	""	"2015-07-09"	"2014-05-12"	0	"BASE Metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.72	423.74	7.99	5.05	1092	"Soil"	0.154	11	10.68	0.66	0.55	"RAMACIOTTI"	16.69	"H3WYNBCXX"	"20150619_UNSW_BPA_BASE_H3WYNBCXX"	"Temperate"	"Australia"	5	"300-1000bp"	-35.8766833	"TruSeq Nano"	"CC-BY-3.0-AU"	"Namadgi NP"	149.0097	"bpa-base-metagenomics-12495_1-h3wynbcxx"	"PRJNA317932"	"SAMN04874180"	2	"BASE Metagenomics 12495_1"	5.35	5.1	5.7	26	258	"150bp"	"12495_1"	"102.100.100/12495"	"2015-07-09"	"Soil"	29.74	"HiSeq2500"	27.24	0	NA	55.2826593267	15	3.5	"BRLOPS-668"	"BASE Metagenomics 12495_1"	"Grassland"	10	70.26	12495	9.2	51.079998	0.5729568	13	3.9499772
"Sample_7892"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 7892_1"	"BASE Metagenomics 7892_1"	"bpa-base-metagenomics-7892_1-h3wk2bcxx"	NA	"118.720502222, -34.2400888888"	118.720502222	-34.2400888888	" Point"	"CC-BY-3.0-AU"	3	"1.8.2"	"2015-06-05"	"Kandosols"	1.45	"Conservation and Natural Environments"	23.26	"LTBR"	0.198	NA	43.36	"2015-06-05"	"Metagenomics"	""	"2015-06-05"	"2013-03-07"	0	"BASE metagenomics"	"Conservation and Natural Environments - Other minimal use - Rehabilitation"	0.56	69.21	1.52	1.1	119.2	"Soil"	0.234	2.09	3.52	0.45	1.6	"AGRF"	24.25	"H3WK2BCXX"	"20150605_AGRF_BPA_BASE_H3WL3BCXX"	"Temperate"	"Australia"	20	"670bp"	-34.2400888888	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Nowanup"	118.720502222	"bpa-base-metagenomics-7892_1-h3wk2bcxx"	"PRJNA317932"	"SAMN04873693"	1	"BASE Metagenomics 7892_1"	2.11	4.8	5.8	7	207	"150bp"	"7892_1"	"102.100.100/7892"	"2015-06-05"	"Soil"	67.61	"HiSeq 2500"	9.12	1	NA	6.7453115547	12.7	2.5	"BRLOPS-651"	"BASE Metagenomics 7892_1"	"Woodland"	4	32.38	7892	15.8	34.56333	0.39267647	7	0.6560307
"Sample_7829"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 7829_1"	"BASE Metagenomics 7829_1"	"bpa-base-metagenomics-7829_1-h2tfjbcxx"	NA	"150.753682457, -35.1536896229999"	150.753682457	-35.1536896229999	" Point"	"CC-BY-3.0-AU"	7	"1.8.2"	"2015-06-02"	"Rudosols"	0.2	"Conservation and Natural Environments"	5.76	"LTGR"	0.03	NA	90.15	"2015-06-02"	"Metagenomics"	""	""	"2012-07-30"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.32	27.77	0.36	0.16	62.4	"Soil"	0.158	0.77	0.49	0.09	0.09	"RAMACIOTTI"	4.1	"H2TFJBCXX"	"20150514_UNSW_BPA_BASE_H2TFJBCXX"	"Temperate"	"Australia"	0	"300-1000bp"	-35.153689623	"TruSeq Nano"	"CC-BY-3.0-AU"	"Booderee"	150.753682457	"bpa-base-metagenomics-7829_1-h2tfjbcxx"	"PRJNA317932"	"SAMN04873647"	15	"BASE Metagenomics 7829_1"	0.98	3.6	4.6	1e-10	36	"150bp"	"7829_1"	"102.100.100/7829"	""	"Soil"	94.24	"HiSeq2500"	1e-10	3	NA	11.55	2.9	1.5	"BRLOPS-638"	"BASE Metagenomics 7829_1"	"Woodland"	22	5.7600000001	7829	16.7	100.925	0.7572474	0	1.1494408
"Sample_7888"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 7888_1"	"BASE Metagenomics 7888_1"	"bpa-base-metagenomics-7888_1-h3vckbcxx"	NA	"148.80225, -35.431"	148.80225	-35.431	" Point"	"CC-BY-3.0-AU"	4	"1.8.2"	"2015-06-29"	"Kandosols"	0.21	"Conservation and Natural Environments"	13.21	"GRYW"	0.032	NA	46.66	"2015-06-29"	"Metagenomics"	""	"2015-06-29"	"2013-07-30"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.64	95.36	17.17	3.17	1145	"Soil"	1.903	0.6	0.35	0.47	0.04	"AGRF"	22.78	"H3VCKBCXX"	"20150629_AGRF_BPA_BASE_H3VFCBCXX"	"Temperate"	"Australia"	35	"550bp"	-35.431	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"Namadgi NP"	148.80225	"bpa-base-metagenomics-7888_1-h3vckbcxx"	"PRJNA317932"	"SAMN04873689"	1e-10	"BASE Metagenomics 7888_1"	2.52	4.5	5.3	4	217	"150bp"	"7888_1"	"102.100.100/7888"	"2015-06-29"	"Soil"	69.44	"HiSeq 2500"	17.35	20	NA	20.94	2.1	2	"BRLOPS-660"	"BASE Metagenomics 7888_1"	"Forest"	4.0000000001	30.56	7888	9.4	84.45917	1.0589399	15	4.028832
"Sample_15955"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 15955_1"	"BASE Metagenomics 15955_1"	"bpa-base-metagenomics-15955_1-hcn77bcxx"	NA	"147.50573, -42.8223"	147.50573	-42.8223	" Point"	"CC-BY-3.0-AU"	2	"1.8.2"	"2015-11-20"	""	0.23	""	5.81	"GR"	0.021	NA	61.12	"2015-11-20"	"Metagenomics"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/"	"2015-11-20"	"2014-10-17"	0	"BASE metagenomics"	""	0.42	45.31	22.18	1.53	NA	"Soil"	0.035	2.56	0.61	0.15	0.06	"AGRF"	31.1	"HCN77BCXX"	"20151120_AGRF_BPA_BASE_HFLF3BCXX"	""	"Australia"	0	"550bp"	-42.8223	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"cambridge_reserve"	147.50573	"bpa-base-metagenomics-15955_1-hcn77bcxx"	"PRJNA317932"	"SAMN07483691"	0.5	"BASE Metagenomics 15955_1"	1.16	4.8	5.8	4	75	"150bp"	"15955_1"	"102.100.100/15955"	"2015-11-20"	"Soil"	92.22	"HiSeq 2500"	1.97	NA	NA	2.7063599459	1.8	1.5	"BRLOPS-738"	"BASE Metagenomics 15955_1"	""	2.5	7.78	15955	12.6	38.625	0.51597	5	0.8151994
"Sample_12469"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12469_1"	"BASE Metagenomics 12469_1"	"bpa-base-metagenomics-12469_1-h2thfbcxx"	NA	"148.7968, -35.4235"	148.7968	-35.4235	" Point"	"CC-BY-3.0-AU"	7	"1.8.2"	"2015-06-04"	"Rudosols"	0.49	"Conservation and Natural Environments"	16.9	"BR"	0.081	NA	50.11	"2015-06-04"	"Metagenomics"	""	""	"2013-08-14"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.62	99.48	100.06	4.24	1278	"Soil"	0.115	12.39	1.63	0.92	0.05	"RAMACIOTTI"	11.74	"H2THFBCXX"	"20150522_UNSW_BPA_BASE_H2THFBCXX"	"Temperate"	"Australia"	0	"300-1000bp"	-35.4235	"TruSeq Nano"	"CC-BY-3.0-AU"	"Namadgi NP"	148.7968	"bpa-base-metagenomics-12469_1-h2thfbcxx"	"PRJNA317932"	"SAMN04874154"	1e-10	"BASE Metagenomics 12469_1"	3.75	5.2	6.1	51	361	"150bp"	"12469_1"	"102.100.100/12469"	""	"Soil"	61.85	"HiSeq2500"	21.25	2	NA	25.7897462455	5.4	1	"BRLOPS-649"	"BASE Metagenomics 12469_1"	"Forest"	7.0000000001	38.15	12469	9	88.3225	1.2360399	15	4.667675
"Sample_8455"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 8455_2"	"BASE Metagenomics 8455_2"	"bpa-base-metagenomics-8455_2-hcgl7bcxx"	NA	"131.085, -25.3119"	131.085	-25.3119	" Point"	"CC-BY-3.0-AU"	1	"1.8.2"	"2015-11-20"	"Tenosols"	0.13	"Conservation and Natural Environments"	4.89	"BROR"	0.011	NA	83.25	"2015-11-20"	"Metagenomics"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/"	"2015-11-20"	"2013-03-15"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.69	5.94	6.79	0.29	501	"Soil"	0.202	0.97	0.26	0.14	1e-10	"AGRF"	10.87	"HCGL7BCXX"	"20151120_AGRF_BPA_BASE_HFLF3BCXX"	"Arid"	"Australia"	0	"550bp"	-25.3119	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"Uluru"	131.085	"bpa-base-metagenomics-8455_2-hcgl7bcxx"	"PRJNA317932"	"SAMN04873910"	1	"BASE Metagenomics 8455_2"	0.14	5.7	6.4	3	56	"150bp"	"8455_2"	"102.100.100/8455"	"2015-11-20"	"Soil"	94.12	"HiSeq 2500"	0.99	0	NA	0.3622764988	1.8	2	"BRLOPS-738"	"BASE Metagenomics 8455_2"	"Grassland"	2	5.88	8455	21	19.5725	0.07286071	1	0.12892056
"Sample_15977"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 15977_1"	"BASE Metagenomics 15977_1"	"bpa-base-metagenomics-15977_1-hclwcbcxx"	NA	"146.8927, -42.27154"	146.8927	-42.27154	" Point"	"CC-BY-3.0-AU"	18	"1.8.2"	"2015-11-06"	""	0.23	""	6	"BK"	0.045	NA	74.29	"2015-11-06"	"HiSeq"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/ramaciotti/BRLOPS-724/"	"2015-11-06"	"2014-11-04"	0	"BASE Metagenomics"	""	0.48	155.71	23.06	0.98	NA	"Soil"	1.15	0.92	0.93	0.35	0.07	"RAMACIOTTI"	11.59	"HCLWCBCXX"	"20151019_UNSW_BPA_BASE_HCLWCBCXX"	""	"Australia"	0	"300-1000bp"	-42.27154	"TruSeq Nano"	"CC-BY-3.0-AU"	"dungrove 2_reserve"	146.8927	"bpa-base-metagenomics-15977_1-hclwcbcxx"	"PRJNA317932"	"SAMN07483713"	0.5	"BASE Metagenomics 15977_1"	3.47	3.1	4.3	12	138	"150bp"	"15977_1"	"102.100.100/15977"	"2015-11-06"	"Soil"	85.87	"HiSeq 2500"	8.13	NA	NA	17.3714285714	3	1.5	"BRLOPS-724"	"BASE Metagenomics 15977_1"	""	18.5	14.13	15977	8.7	49.211666	0.77182996	11	2.7553275
"Sample_12497"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12497_1"	"BASE Metagenomics 12497_1"	"bpa-base-metagenomics-12497_1-h3wyjbcxx"	NA	"149.01025, -35.8769333"	149.01025	-35.8769333	" Point"	"CC-BY-3.0-AU"	6	"1.8.2"	"2015-07-22"	""	0.41	"Conservation and Natural Environments"	13.08	"LTGR"	0.038	NA	40.69	"2015-07-22"	"MiSeq 18S"	""	"2015-07-22"	"2014-05-13"	0	"BASE Plate 8 - repeat"	"Conservation and Natural Environments - Nature conservation - National park"	0.52	106.78	54.08	2.51	1105	"Soil"	0.179	5.68	1.49	0.47	0.02	"RAMACIOTTI"	20.96	"H3WYJBCXX"	"20150715_UNSW_BPA_BASE_18S_AGGNB"	"Temperate"	"Australia"	5	"300-1000bp"	-35.8769333	"TruSeq Nano"	"CC-BY-3.0-AU"	"Namadgi NP"	149.01025	"bpa-base-metagenomics-12497_1-h3wyjbcxx"	"PRJNA317932"	"SAMN04874182"	1e-10	"BASE Metagenomics 12497_1"	2.42	5	5.6	27	207	"150bp"	"12497_1"	"102.100.100/12497"	"2015-07-22"	"Soil"	61.66	"HiSeq2500"	25.26	15	NA	15.8030531069	3	3	"BRLOPS-667"	"BASE Metagenomics 12497_1"	"Woodland"	6.0000000001	38.34	12497	9.2	51.603333	0.5842202	13	4.0002894
"Sample_12523"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12523_1"	"BASE Metagenomics 12523_1"	"bpa-base-metagenomics-12523_1-hclvfbcxx"	NA	"149.597209012135, -30.2009280212223"	149.597209012135	-30.2009280212223	" Point"	"CC-BY-3.0-AU"	2	"1.8.2"	"2015-11-06"	"Vertosols"	1	"Production from Dryland Agriculture and Plantations"	35.97	"GR"	0.124	NA	5.43	"2015-11-06"	"HiSeq"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/ramaciotti/BRLOPS-725/"	"2015-11-06"	"2014-05-01"	0	"BASE Metagenomics"	"Production from Dryland Agriculture and Plantations - Cropping - Cotton"	1.91	22.02	8.51	1.01	200.791931	"Soil"	0.139	23.95	9.3	1.91	0.56	"RAMACIOTTI"	27.45	"HCLVFBCXX"	"20151022_UNSW_BPA_BASE_HCLVFBCXX"	"Temperate"	"Australia"	0	"300-1000bp"	-30.2009280212	"TruSeq Nano"	"CC-BY-3.0-AU"	"Narrabri"	149.5972090121	"bpa-base-metagenomics-12523_1-hclvfbcxx"	"PRJNA317932"	"SAMN04874208"	6	"BASE Metagenomics 12523_1"	1.35	7	7.9	85	742	"150bp"	"12523_1"	"102.100.100/12523"	"2015-11-06"	"Soil"	32.88	"HiSeq 2500"	31.15	0	NA	16.4542558034	25.4	3	"BRLOPS-725"	"BASE Metagenomics 12523_1"	"Other"	8	67.12	12523	19	46.963333	0.31753522	5	0.88042647
"Sample_9466"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 9466_1"	"BASE Metagenomics 9466_1"	"bpa-base-metagenomics-9466_1-h2thfbcxx"	NA	"148.9085, -35.59065"	148.9085	-35.59065	" Point"	"CC-BY-3.0-AU"	8	"1.8.2"	"2015-06-04"	"Organosols"	0.4	"Conservation and Natural Environments"	12.42	"GR"	0.07	NA	55.82	"2015-06-04"	"Metagenomics"	""	""	"2013-07-09"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - National park"	0.92	50.26	65.39	2.6	966	"Soil"	0.057	12.91	1.46	0.5	0.03	"RAMACIOTTI"	17.16	"H2THFBCXX"	"20150522_UNSW_BPA_BASE_H2THFBCXX"	"Temperate"	"Australia"	0	"300-1000bp"	-35.59065	"TruSeq Nano"	"CC-BY-3.0-AU"	"Namadgi NP"	148.9085	"bpa-base-metagenomics-9466_1-h2thfbcxx"	"PRJNA317932"	"SAMN04874010"	1	"BASE Metagenomics 9466_1"	4.03	5.6	6.4	27	237	"150bp"	"9466_1"	"102.100.100/9466"	""	"Soil"	72.98	"HiSeq2500"	14.61	5	NA	20.74	6.8	2	"BRLOPS-649"	"BASE Metagenomics 9466_1"	"Woodland"	9	27.03	9466	10.5	70.74917	0.7979545	14	5.1976013
"Sample_12838"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 12838_1"	"BASE Metagenomics 12838_1"	"bpa-base-metagenomics-12838_1-h3nj2bcxx"	NA	"153.083025, -27.632688"	153.083025	-27.632688	" Point"	"CC-BY-3.0-AU"	4	"1.8.2"	"2015-06-19"	""	0.28	"Conservation and Natural Environments"	NA	"LTGR"	0.024	NA	NA	"2015-06-19"	"Metagenomics"	""	"2015-06-19"	"2013-08-21"	0	"BASE metagenomics"	"Conservation and Natural Environments - Nature conservation - Other conserved area"	0.23	87.52	9.78	0.43	47	"Soil"	1.021	0.87	0.9	0.1	0.12	"AGRF"	NA	"H3NJ2BCXX"	"20150619_AGRF_BPA_BASE_H33CGBCXX"	"Temperate"	"Australia"	0	"550bp"	-27.632688	"TruSeq DNA nano"	"CC-BY-3.0-AU"	"Karawatha Forest Park"	153.083025	"bpa-base-metagenomics-12838_1-h3nj2bcxx"	"PRJNA317932"	"SAMN04874278"	1e-10	"BASE Metagenomics 12838_1"	1.63	4.5	5.5	3	38	"150bp"	"12838_1"	"102.100.100/12838"	"2015-06-19"	"Soil"	NA	"HiSeq 2500"	NA	4	NA	NA	3	2.5	"BRLOPS-657"	"BASE Metagenomics 12838_1"	"Forest"	4.0000000001	NA	12838	19.9	81.97	0.61395735	12	0.7508441
"Sample_8268"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 8268_2"	"BASE Metagenomics 8268_2"	"bpa-base-metagenomics-8268_2-h9ev8adxx"	NA	"141.99678, -35.12282"	141.99678	-35.12282	" Point"	"CC-BY-3.0-AU"	2	""	"2015-01-01"	"Calcarosols"	0.72	"Conservation and Natural Environments"	NA	"BR"	0.1	NA	NA	"2015-01-01"	""	""	"2015-01-01"	"2012-11-07"	0	""	"Conservation and Natural Environments - Other minimal use - Residual native cover"	2.07	25.22	4.06	1.17	90	"Soil"	0.026	14.64	2.33	0.88	0.05	"RAMACIOTTI"	NA	"H9EV8ADXX"	""	"Temperate"	"Australia"	0	""	-35.12282	""	"CC-BY-3.0-AU"	"Walpeup"	141.99678	"bpa-base-metagenomics-8268_2-h9ev8adxx"	"PRJNA317932"	"SAMN04873878"	2	"BASE Metagenomics 8268_2"	1.01	7.8	8.7	6	342	"150bp"	"8268_2"	"102.100.100/8268"	"2015-01-01"	"Soil"	NA	""	NA	0	NA	3.2	1.6	2	"BRLOPS-300"	"BASE Metagenomics 8268_2"	"Woodland"	4	NA	8268	16.1	22.703333	0.24920927	3	0.7718299
"Sample_7069"	"75a9f0a5-fc60-4af6-b455-32e2011d969b"	"BASE Metagenomics 7069_2"	"BASE Metagenomics 7069_2"	"bpa-base-metagenomics-7069_2-hfkw2bcxx"	NA	"118.08065, -22.57065"	118.08065	-22.57065	" Point"	"CC-BY-3.0-AU"	8	"1.8.2"	"2015-11-20"	"Rudosols"	0.43	"Conservation and Natural Environments"	26.9	"BROR"	0.093	NA	32.86	"2015-11-20"	"Metagenomics"	"https://downloads.bioplatforms.com/bpa/base/raw/metagenomics/agrf/BRLOPS-738/20151120_AGRF_BPA_BASE_HFLF3BCXX/"	"2015-11-20"	"2011-11-21"	0	"BASE metagenomics"	"Conservation and Natural Environments - Other minimal use - Residual native cover"	1.46	24.56	13.37	0.18	736	"Soil"	0.069	3.12	1.12	0.5	0.19	"AGRF"	30.91	"HFKW2BCXX"	"20151120_AGRF_BPA_BASE_HFLF3BCXX"	"Arid"	"Australia"	0	"550bp"	-22.57065	"TruSeq PCR Free DNA"	"CC-BY-3.0-AU"	"Hamersley"	118.08065	"bpa-base-metagenomics-7069_2-hfkw2bcxx"	"PRJNA317932"	"SAMN04873613"	2	"BASE Metagenomics 7069_2"	0.49	5.1	5.8	3	196	"150bp"	"7069_2"	"102.100.100/7069"	"2015-11-20"	"Soil"	63.77	"HiSeq 2500"	9.33	NA	NA	NA	9.3	3	"BRLOPS-738"	"BASE Metagenomics 7069_2"	"Grassland"	10	36.23	7069	24.5	31.320833	0.1160078	0	0.23495881
