Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/scratch/alpine/clbd1748/Australia/QC_reads/138607_HJWT7DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401624.fna	100.0000	100.0000	95.10	0.821	94.95-95.28	0.821	0.74-0.87	2	2.680	4202/34360	93.45	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401548_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401548.fna	100.0000	100.0000	98.94	0.675	98.85-99.03	0.675	0.65-0.70	1	2.017	12548/34418	96.80	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401550_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401550.fna	53.6683	53.6683	98.98	0.693	98.87-99.09	0.693	0.66-0.72	1	2.006	12935/34468	96.89	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401550_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401548.fna	46.3317	46.3317	95.05	0.599	94.88-95.24	0.599	0.56-0.64	1	1.779	3310/34418	92.72	4508	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401552_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401552.fna	100.0000	100.0000	99.12	0.631	99.02-99.22	0.631	0.60-0.65	1	2.105	12627/34220	96.84	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401554_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401554.fna	100.0000	100.0000	98.79	0.568	98.67-98.90	0.568	0.55-0.59	1	2.139	10587/34224	96.29	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401553_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401553.fna	100.0000	100.0000	99.00	0.532	98.86-99.12	0.532	0.51-0.56	1	1.931	10773/34556	96.31	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401557_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401557.fna	100.0000	100.0000	98.82	0.625	98.70-98.92	0.625	0.60-0.65	1	2.064	11538/34405	96.54	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401556_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401556.fna	100.0000	100.0000	98.86	0.635	98.75-98.96	0.635	0.61-0.66	1	1.966	11713/34319	96.59	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401558_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401558.fna	100.0000	100.0000	98.90	0.612	98.79-99.02	0.612	0.58-0.64	1	2.037	11673/34519	96.56	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401560_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401560.fna	53.4194	53.4194	98.92	0.747	98.82-99.01	0.747	0.72-0.77	1	2.107	13496/34526	97.02	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401560_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401594.fna	46.5806	46.5806	95.06	0.651	94.85-95.25	0.651	0.60-0.70	1	1.911	3538/34481	92.92	4407	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401561_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401561.fna	100.0000	100.0000	98.88	0.549	98.76-98.99	0.549	0.53-0.58	1	2.103	10601/34235	96.29	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401563_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401563.fna	100.0000	100.0000	98.79	0.574	98.66-98.90	0.574	0.55-0.60	1	2.112	10781/34517	96.32	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401566_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401566.fna	100.0000	100.0000	98.87	0.543	98.74-98.98	0.543	0.52-0.57	1	2.032	10504/34337	96.25	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401564_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401564.fna	100.0000	100.0000	98.85	0.602	98.72-98.97	0.602	0.57-0.63	1	2.137	11335/34255	96.50	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401568_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401568.fna	100.0000	100.0000	98.56	0.578	98.44-98.67	0.578	0.55-0.60	1	2.032	9983/34328	96.09	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401567_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401567.fna	54.0044	54.0044	99.08	0.769	99.01-99.17	0.769	0.74-0.80	1	2.166	14519/34446	97.25	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401567_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401594.fna	45.9956	45.9956	95.34	0.655	95.18-95.58	0.655	0.60-0.71	1	2.026	3897/34481	93.21	4936	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401570_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401570.fna	100.0000	100.0000	97.92	0.644	97.81-98.02	0.644	0.62-0.68	1	2.251	9016/34413	95.77	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401569_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401569.fna	100.0000	100.0000	98.71	0.566	98.58-98.83	0.566	0.54-0.59	1	2.387	10430/34387	96.22	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401573_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401573.fna	100.0000	100.0000	97.80	0.639	97.68-97.91	0.639	0.61-0.67	1	2.165	8604/34375	95.63	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401571_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401571.fna	100.0000	100.0000	97.97	0.643	97.84-98.07	0.643	0.61-0.67	2	2.590	8983/34400	95.76	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401576_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401576.fna	100.0000	100.0000	98.77	0.547	98.64-98.88	0.547	0.52-0.57	1	2.068	10209/34199	96.18	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401574_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401593.fna	100.0000	100.0000	95.60	0.776	95.45-95.76	0.776	0.72-0.83	2	2.763	4824/34189	93.88	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401578_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401567.fna	100.0000	100.0000	95.96	0.757	95.83-96.10	0.757	0.71-0.79	2	2.644	5290/34446	94.14	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401577_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401577.fna	100.0000	100.0000	99.13	0.556	99.01-99.23	0.556	0.53-0.58	1	2.008	11591/34307	96.56	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401579_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401579.fna	100.0000	100.0000	97.89	0.646	97.76-98.01	0.646	0.62-0.68	1	2.291	8855/34529	95.71	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401580_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401580.fna	100.0000	100.0000	98.61	0.613	98.49-98.70	0.613	0.59-0.64	1	2.247	10698/34449	96.30	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401581_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401581.fna	100.0000	100.0000	98.41	0.600	98.28-98.53	0.600	0.57-0.63	1	2.090	9913/34709	96.04	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401582_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401582.fna	100.0000	100.0000	98.56	0.575	98.43-98.68	0.575	0.54-0.60	1	2.321	10085/34356	96.12	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401583_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401583.fna	100.0000	100.0000	98.65	0.591	98.54-98.77	0.591	0.56-0.61	1	2.079	10541/34506	96.25	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401586_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401586.fna	100.0000	100.0000	99.24	0.587	99.13-99.36	0.587	0.56-0.61	1	1.966	12556/34506	96.79	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401589_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401589.fna	100.0000	100.0000	98.92	0.544	98.79-99.04	0.544	0.52-0.57	1	1.877	10612/34350	96.28	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401588_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401588.fna	100.0000	100.0000	98.93	0.566	98.80-99.03	0.566	0.54-0.59	1	2.034	11098/34350	96.42	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401591_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401591.fna	100.0000	100.0000	98.64	0.563	98.52-98.78	0.563	0.53-0.59	1	2.332	10163/34289	96.15	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401590_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401586.fna	53.3431	53.3431	96.98	0.767	96.84-97.10	0.767	0.73-0.81	2	2.650	7461/34506	95.18	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401590_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401567.fna	46.6569	46.6569	95.30	0.671	95.14-95.51	0.671	0.61-0.72	1	1.932	3908/34446	93.22	3201	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401592_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401592.fna	100.0000	100.0000	99.00	0.666	98.91-99.11	0.666	0.64-0.69	1	2.184	12875/34492	96.87	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401593_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401593.fna	100.0000	100.0000	98.42	0.644	98.29-98.53	0.644	0.61-0.67	1	2.136	10314/34189	96.21	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401595_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401595.fna	100.0000	100.0000	99.08	0.542	98.95-99.19	0.542	0.52-0.57	1	1.983	11222/34301	96.46	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401594_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401594.fna	100.0000	100.0000	98.78	0.793	98.68-98.88	0.793	0.76-0.82	1	2.196	13438/34481	97.01	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401602_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401594.fna	100.0000	100.0000	95.65	0.781	95.50-95.77	0.781	0.74-0.83	2	2.864	4949/34481	93.93	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401600_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401600.fna	100.0000	100.0000	98.54	0.581	98.42-98.67	0.581	0.55-0.61	1	2.096	9989/34414	96.09	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401604_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401604.fna	100.0000	100.0000	98.44	0.698	98.33-98.55	0.698	0.66-0.73	2	2.873	11071/34434	96.41	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401606_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401606.fna	100.0000	100.0000	98.24	0.671	98.14-98.38	0.671	0.63-0.70	2	3.003	10173/34557	96.13	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401610_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401568.fna	100.0000	100.0000	95.26	1.041	95.10-95.40	1.041	0.96-1.11	2	3.471	5206/34328	94.10	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401608_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401608.fna	100.0000	100.0000	98.78	0.577	98.66-98.92	0.577	0.54-0.61	2	3.186	10922/34535	96.35	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401616_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401616.fna	100.0000	100.0000	98.04	0.619	97.92-98.17	0.619	0.59-0.65	1	2.187	9188/34637	95.81	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401614_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401614.fna	100.0000	100.0000	97.89	0.654	97.76-97.99	0.654	0.62-0.68	2	2.516	8896/34464	95.73	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401618_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401614.fna	100.0000	100.0000	95.01	1.021	94.88-95.12	1.021	0.96-1.07	2	2.843	4775/34464	93.82	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401624_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401624.fna	100.0000	100.0000	98.55	0.889	98.46-98.66	0.889	0.85-0.93	2	2.731	13292/34360	96.98	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401626_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401624.fna	100.0000	100.0000	95.90	0.826	95.77-96.04	0.826	0.78-0.87	2	2.709	5481/34360	94.25	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401632_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401632.fna	100.0000	100.0000	98.11	0.678	97.98-98.23	0.678	0.64-0.71	2	2.551	9882/34575	96.04	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401636_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401636.fna	100.0000	100.0000	98.50	0.638	98.37-98.62	0.638	0.61-0.67	2	2.629	10592/34501	96.26	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401642_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401640.fna	100.0000	100.0000	95.03	1.147	94.90-95.15	1.147	1.07-1.23	2	3.268	5110/34266	94.05	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401640_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401640.fna	100.0000	100.0000	97.92	0.729	97.80-98.06	0.729	0.68-0.76	2	3.115	9701/34266	96.01	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401650_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401616.fna	100.0000	100.0000	95.28	0.933	95.12-95.41	0.933	0.88-0.99	2	3.016	5010/34637	93.95	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401648_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401648.fna	100.0000	100.0000	98.23	0.585	98.09-98.35	0.585	0.55-0.62	2	2.637	9159/34229	95.84	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401652_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401652.fna	100.0000	100.0000	98.58	0.644	98.47-98.67	0.644	0.61-0.67	1	2.188	10901/34453	96.36	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401656_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401656.fna	100.0000	100.0000	99.15	0.643	99.05-99.26	0.643	0.62-0.67	1	2.043	12958/34448	96.90	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401658_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401658.fna	55.4721	55.4721	99.16	0.704	99.05-99.26	0.704	0.68-0.73	1	2.095	14009/34651	97.12	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401658_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401560.fna	44.5279	44.5279	95.32	0.565	95.09-95.53	0.565	0.51-0.62	1	1.956	3490/34526	92.87	4774	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401662_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401560.fna	100.0000	100.0000	96.38	0.681	96.23-96.53	0.681	0.63-0.71	1	2.136	5661/34526	94.33	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401660_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401660.fna	100.0000	100.0000	99.12	0.590	99.02-99.24	0.590	0.56-0.61	1	2.011	12040/34340	96.68	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401668_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401550.fna	100.0000	100.0000	95.92	0.676	95.77-96.10	0.676	0.63-0.71	1	2.104	4839/34468	93.86	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/401669_HL7J5DSX3-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401658.fna	100.0000	100.0000	95.68	0.633	95.50-95.86	0.633	0.58-0.68	1	1.900	4280/34651	93.48	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/7083_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_7083.fna	100.0000	100.0000	98.81	0.748	98.72-98.93	0.748	0.71-0.78	2	2.635	13041/34463	96.91	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/7085_combined_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_7085.fna	100.0000	100.0000	98.55	0.826	98.48-98.66	0.826	0.79-0.86	2	2.632	12737/34325	96.85	0	CP067102.1
/scratch/alpine/clbd1748/Australia/QC_reads/9456_H3WL3BCXX-1_R1p.fastq.gz	/scratch/alpine/clbd1748/Australia/BradyStrains/Brady_401606.fna	100.0000	100.0000	95.05	0.872	94.91-95.22	0.872	0.79-0.92	2	2.731	4293/34557	93.49	0	CP067102.1
