"","Prefix","sampleID","am_environment","ammonium_nitrogen_wt","ammonium_nitrogen_wt_meth","biotic_relationship","boron_hot_cacl2","boron_hot_cacl2_meth","clay","clay_meth","coarse_sand","coarse_sand_meth","collection_date","collection_permit","color","color_meth","conductivity","conductivity_meth","crop_rotation_1yr_since_present","crop_rotation_2yrs_since_present","crop_rotation_3yrs_since_present","crop_rotation_4yrs_since_present","crop_rotation_5yrs_since_present","database_schema_definitions_url","density","density_meth","depth","depth_lower","depth_upper","dtpa_copper","dtpa_copper_meth","dtpa_iron","dtpa_iron_meth","dtpa_manganese","dtpa_manganese_meth","dtpa_zinc","dtpa_zinc_meth","elev","env_broad_scale","env_local_scale","env_medium","exc_aluminium","exc_aluminium_meth","exc_calcium","exc_calcium_meth","exc_magnesium","exc_magnesium_meth","exc_potassium","exc_potassium_meth","exc_sodium","exc_sodium_meth","fine_sand","fine_sand_meth","fire","funding_agency","general_env_feature","geo_loc_name","gravel","gravel_meth","hyperspectral_analysis","hyperspectral_analysis_meth","lat_lon","latitude","local_class","local_class_meth","longitude","microbial_biomass","microbial_biomass_meth","nitrate_nitrogen","nitrate_nitrogen_meth","notes","nucl_acid_ext","organic_carbon","organic_carbon_meth","ph","ph_meth","ph_solid_h2o","ph_solid_h2o_meth","phosphorus_colwell","phosphorus_colwell_meth","potassium_colwell","potassium_colwell_meth","profile_position","samp_collect_device","samp_mat_process","sample_attribution","sample_database_file","sample_metadata_ingest_date","sample_metadata_ingest_file","sample_metadata_update_history","sample_site_location_description","sample_submitter","sample_type","sand","sand_meth","silt","silt_meth","slope_aspect","slope_gradient","source_mat_id","store_cond","sulphur","sulphur_meth","synonyms","texture","texture_meth","total_nitrogen","total_nitrogen_meth","url","utc_date_sampled","utc_time_sampled","vegetation_dom_grasses","vegetation_dom_grasses_meth","vegetation_dom_shrubs","vegetation_dom_shrubs_meth","vegetation_dom_trees","vegetation_dom_trees_meth","vegetation_total_cover","vegetation_type","water_content","water_content_soil_meth","bio12","bio1","et0_v3_yr","ai_v3_yr","AI","percent_duplicates","percent_gc","avg_sequence_length","percent_fails","total_sequences"
"64","102.100.100","13733","Soil",1e-10,"meth_2.1","Free-living",1.83,"meth_2.1",10.3,"meth_2.1",NA,"","2013-10-16T00:00:00","","BROR","",0.131,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,2.57,"meth_2.1",3.75,"meth_2.1",5.88,"meth_2.1",0.46,"meth_2.1",444,"1 Conservation and Natural Environments","1.1 Nature conservation","Soil [ENVO_00001998]",0.055,"meth_2.1",19.63,"meth_2.1",4.87,"meth_2.1",1.46,"meth_2.1",0.37,"meth_2.1",NA,"","","","Temperate","Australia:Western Australia [GAZ_00002789]","0","meth_2.1","","","-30.191921 120.642526",-30.191921,"Kandosol","meth_2.27",120.642526,NA,"",1,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",1.3,"meth_2.1",7.9,"meth_2.1",8.5,"meth_2.1",9,"meth_2.1",570,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;","Credo Redgum Plot","","Soil",25,"meth_2.1",64.7,"meth_2.1","",0,"102.100.100/13733","frozen",5.7,"meth_2.1","","3","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/13733","10/16/13","","","","","","","",NA,"Woodland",NA,"",264,18.8085,2487,1057,0.1057,0.848479050401281,66,149.545129787277,18.1818181818182,14769591
"65","102.100.100","13735","Soil",1e-10,"meth_2.1","Free-living",1.7,"meth_2.1",13.2,"meth_2.1",NA,"","2013-10-16T00:00:00","","BROR","",0.18,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,2.38,"meth_2.1",3.51,"meth_2.1",4.73,"meth_2.1",0.4,"meth_2.1",448,"1 Conservation and Natural Environments","1.1 Nature conservation","Soil [ENVO_00001998]",0.074,"meth_2.1",21.22,"meth_2.1",3.04,"meth_2.1",1.36,"meth_2.1",0.21,"meth_2.1",NA,"","","","Temperate","Australia:Western Australia [GAZ_00002789]","5","meth_2.1","","","-30.194439 120.633674",-30.194439,"Kandosol","meth_2.27",120.633674,NA,"",5,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",1.82,"meth_2.1",7.8,"meth_2.1",8.5,"meth_2.1",10,"meth_2.1",529,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","4/23/21","BASE_NEW_CKAN_Curated_depth_xlsx","soil_types_20210420_xlsx; All_soil_noAntarctic_Methods_FILLED_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; SOIL_local_class_meth_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx; Lat_lon_reduce_sig_fig_curation_round_6dec_UPDATE_xlsx;","Credo Blackbutt Plot","","Soil",26.2,"meth_2.1",60.6,"meth_2.1","",0,"102.100.100/13735","frozen",7.1,"meth_2.1","","3","meth_2.1",NA,"","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/13735","10/16/13","","","","","","","",NA,"Woodland",NA,"",264,18.8085,2487,1065,0.1065,0.476997221957348,66,150.661824035299,0,12978137
"66","102.100.100","138511","Soil",3,"meth_2.1","Free-living",0.4,"meth_2.1",7.73,"meth_2.1",83.71,"meth_2.1","2019-10-28T10:00:00","","GR","meth_2.1",0.069,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.24,"meth_2.1",26.8,"meth_2.1",21.34,"meth_2.1",1.15,"meth_2.1",102,"1 Conservation and Natural Environments","1.1 Nature conservation","Soil [ENVO_00001998]",0.04,"meth_2.1",3.66,"meth_2.1",0.93,"meth_2.1",0.14,"meth_2.1",0.39,"meth_2.1",6.6,"meth_2.1","","","Semi arid","Australia:Victoria [GAZ_00002786]","0","meth_2.1","","","-35.51706 142.02097",-35.51706,"Calcarosol","meth_2.27",142.02097,NA,"",1e-10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","",1.11,"meth_2.1",5.4,"meth_2.1",6.6,"meth_2.1",4,"meth_2.1",66,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","8/4/22","Little_desert_soils_xlsxUTC_convert_xlsx","Litte_desert_BB_CSBP_210624_PrePaid_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_little_desert_LowHead_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","BBLDSS1","bissett","Soil",90.31,"meth_2.1",1.96,"meth_2.1","NE",0,"102.100.100/138511","",4,"meth_2.1","","1.5","meth_2.1",0.06,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138511","10/28/19","10:00:00","","","","","","",95,"Woodland",NA,"",316,15.88067,1919,1640,0.164,9.34283392238194,64,150.674513274505,18.1818181818182,22019239
"67","102.100.100","138513","Soil",1,"meth_2.1","Free-living",0.18,"meth_2.1",2.95,"meth_2.1",90.88,"meth_2.1","2019-10-28T12:00:00","","LTGR","meth_2.1",0.024,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.14,"meth_2.1",20.7,"meth_2.1",3.56,"meth_2.1",0.27,"meth_2.1",135,"1 Conservation and Natural Environments","1.1 Nature conservation","Soil [ENVO_00001998]",0.07,"meth_2.1",1.79,"meth_2.1",0.31,"meth_2.1",0.07,"meth_2.1",0.04,"meth_2.1",5.17,"meth_2.1","","","Semi arid","Australia:Victoria [GAZ_00002786]","0","meth_2.1","","","-36.56989 141.33691",-36.56989,"Sodosol","meth_2.27",141.33691,NA,"",1e-10,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","",0.7,"meth_2.1",5.7,"meth_2.1",6.6,"meth_2.1",1e-10,"meth_2.1",36,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","8/4/22","Little_desert_soils_xlsxUTC_convert_xlsx","Litte_desert_BB_CSBP_210624_PrePaid_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_little_desert_LowHead_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","BBLDSS2","bissett","Soil",96.05,"meth_2.1",1,"meth_2.1","",0,"102.100.100/138513","",2,"meth_2.1","","1","meth_2.1",0.04,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138513","10/28/19","12:00:00","","","","","","",5,"Woodland",NA,"",474,14.315,1681,2824,0.2824,9.78484954816474,65,150.685247166967,9.09090909090909,25865127
"68","102.100.100","138515","Soil",3,"meth_2.1","Free-living",5.99,"meth_2.1",11.44,"meth_2.1",69.82,"meth_2.1","2019-10-28T23:00:00","","GR","meth_2.1",3.257,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.36,"meth_2.1",18.2,"meth_2.1",1.53,"meth_2.1",0.64,"meth_2.1",85,"1 Conservation and Natural Environments","1.1 Nature conservation","Soil [ENVO_00001998]",0.05,"meth_2.1",5.04,"meth_2.1",3.06,"meth_2.1",0.48,"meth_2.1",12.31,"meth_2.1",16.82,"meth_2.1","","","Semi arid","Australia:Victoria [GAZ_00002786]","0","meth_2.1","","","-36.40655 141.96059",-36.40655,"Sodosol","meth_2.27",141.96059,NA,"",1e-10,"meth_2.1","Lake shore | geo_loc_name: state/territory values derived from lat_lon using Nominatim","",0.53,"meth_2.1",8.3,"meth_2.1",8.8,"meth_2.1",8,"meth_2.1",214,"meth_2.1","","","","","AM_db_v4.2_202408091431.db","8/4/22","Little_desert_soils_xlsxUTC_convert_xlsx","Litte_desert_BB_CSBP_210624_PrePaid_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_little_desert_LowHead_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","pink lake","bissett","Soil",86.64,"meth_2.1",1.92,"meth_2.1","",0,"102.100.100/138515","",507.9,"meth_2.1","","1.5","meth_2.1",0.05,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138515","10/28/19","23:00:00","","","","","","",85,"Heathland",NA,"",397,15.08633,1805,2232,0.2232,9.40410496091573,64,150.660497347942,18.1818181818182,23533987
"69","102.100.100","138524","Soil",3,"meth_2.1","Free-living",0.27,"meth_2.1",7.91,"meth_2.1",79.97,"meth_2.1","2022-03-15T23:40:00","","GR","meth_2.1",0.063,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.21,"meth_2.1",42.2,"meth_2.1",11.71,"meth_2.1",0.63,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.17,"meth_2.1",2.82,"meth_2.1",0.86,"meth_2.1",0.13,"meth_2.1",0.16,"meth_2.1",10.12,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","5","meth_2.1","","","-41.0368 147.00798",-41.0368,"Kurosol","meth_2.27",147.00798,NA,"",1e-10,"meth_2.1","SSS1","meth_3.1.1",2.17,"meth_2.1",3.7,"meth_2.1",4.8,"meth_2.1",3,"meth_2.1",56,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",90.09,"meth_2.1",2,"meth_2.1","",0,"102.100.100/138524","",5.5,"meth_2.1","","1.5","meth_2.1",0.09,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138524","3/15/22","23:40:00","","","","","","",100,"Woodland",NA,"",823,12.79983,1254,6490,0.649,9.4906151222491,60,150.636005063078,9.09090909090909,20347305
"70","102.100.100","138526","Soil",1,"meth_2.1","Free-living",0.23,"meth_2.1",2.92,"meth_2.1",79.23,"meth_2.1","2022-03-16T00:30:00","","GRWH","meth_2.1",0.021,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.16,"meth_2.1",15,"meth_2.1",2.68,"meth_2.1",0.4,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.07,"meth_2.1",0.74,"meth_2.1",0.29,"meth_2.1",0.07,"meth_2.1",0.05,"meth_2.1",16.86,"meth_2.1","pre-2001","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","","","-40.999369 147.061171",-40.999369,"Kurosol","meth_2.27",147.061171,NA,"",1e-10,"meth_2.1","SSS2","meth_3.1.1",0.83,"meth_2.1",4.1,"meth_2.1",5.8,"meth_2.1",1e-10,"meth_2.1",31,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",96.09,"meth_2.1",0.99,"meth_2.1","",0,"102.100.100/138526","",1.4,"meth_2.1","","1.5","meth_2.1",0.04,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138526","3/16/22","0:30:00","","","","","","",100,"Shrubland",NA,"",789,13.18646,1275,6155,0.6155,9.15683523156446,62,150.645638082025,9.09090909090909,22713036
"71","102.100.100","138528","Soil",2,"meth_2.1","Free-living",0.19,"meth_2.1",1.95,"meth_2.1",78.18,"meth_2.1","2022-03-16T01:30:00","","LTGR","meth_2.1",0.017,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.12,"meth_2.1",22.9,"meth_2.1",2.7,"meth_2.1",0.33,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.08,"meth_2.1",0.99,"meth_2.1",0.38,"meth_2.1",0.06,"meth_2.1",0.05,"meth_2.1",15.89,"meth_2.1","wildfire Nov 2019","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","","","-40.998746 147.061407",-40.998746,"Kurosol","meth_2.27",147.061407,NA,"",1e-10,"meth_2.1","","meth_3.1.1",1.07,"meth_2.1",4.2,"meth_2.1",5.6,"meth_2.1",1e-10,"meth_2.1",33,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",94.07,"meth_2.1",3.99,"meth_2.1","",0,"102.100.100/138528","",1.5,"meth_2.1","","1.5","meth_2.1",0.05,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138528","3/16/22","1:30:00","","","","","","",35,"Shrubland",NA,"",789,13.18646,1275,6155,0.6155,9.09480565219644,61,150.670263121642,9.09090909090909,19265082
"72","102.100.100","138530","Soil",14,"meth_2.1","Free-living",3.04,"meth_2.1",26.9,"meth_2.1",10.96,"meth_2.1","2022-03-16T03:45:00","","DKGR","meth_2.1",0.35,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.69,"meth_2.1",259.3,"meth_2.1",73.65,"meth_2.1",0.92,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.03,"meth_2.1",11.08,"meth_2.1",10.87,"meth_2.1",0.94,"meth_2.1",3.34,"meth_2.1",31,"meth_2.1","wildfire Nov 2019","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","","","-40.991764 147.063393",-40.991764,"Kurosol","meth_2.27",147.063393,NA,"",11,"meth_2.1","","meth_3.1.1",4.52,"meth_2.1",5.3,"meth_2.1",6.2,"meth_2.1",16,"meth_2.1",426,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",41.96,"meth_2.1",31.15,"meth_2.1","",0,"102.100.100/138530","",22.8,"meth_2.1","","1.5","meth_2.1",0.52,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138530","3/16/22","3:45:00","","","","","","",100,"Woodland",NA,"",789,13.18646,1275,6155,0.6155,10.8473064313824,63,150.660258737358,9.09090909090909,26722465
"73","102.100.100","138532","Soil",2,"meth_2.1","Free-living",0.28,"meth_2.1",5.89,"meth_2.1",78.87,"meth_2.1","2022-03-16T05:10:00","","LTGR","meth_2.1",0.04,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.18,"meth_2.1",37.5,"meth_2.1",14.98,"meth_2.1",0.31,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.14,"meth_2.1",1.8,"meth_2.1",0.75,"meth_2.1",0.11,"meth_2.1",0.13,"meth_2.1",13.24,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","","","-41.036665 147.00794",-41.036665,"Kurosol","meth_2.27",147.00794,NA,"",1e-10,"meth_2.1","","meth_3.1.1",1.78,"meth_2.1",3.8,"meth_2.1",5.1,"meth_2.1",3,"meth_2.1",37,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",92.11,"meth_2.1",2,"meth_2.1","",0,"102.100.100/138532","",2.7,"meth_2.1","","1.5","meth_2.1",0.07,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138532","3/16/22","5:10:00","","","","","","",100,"Woodland",NA,"",823,12.79983,1254,6490,0.649,8.44094539254465,61,150.674174293358,9.09090909090909,21215404
"74","102.100.100","138538","Soil",5,"meth_2.1","Free-living",0.28,"meth_2.1",1.89,"meth_2.1",84.62,"meth_2.1","2022-03-17T04:00:00","","LTGR","meth_2.1",0.022,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,1.11,"meth_2.1",31.5,"meth_2.1",7.89,"meth_2.1",8.49,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.04,"meth_2.1",2.71,"meth_2.1",0.97,"meth_2.1",0.06,"meth_2.1",0.08,"meth_2.1",9.53,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","10-May","meth_2.1","","","-41.029754 147.008853",-41.029754,"Kurosol","meth_2.27",147.008853,NA,"",1e-10,"meth_2.1","ammunition dump","meth_3.1.1",2.17,"meth_2.1",4.2,"meth_2.1",5.6,"meth_2.1",5,"meth_2.1",37,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",94.15,"meth_2.1",3.97,"meth_2.1","",0,"102.100.100/138538","",3,"meth_2.1","","1.5","meth_2.1",0.17,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138538","3/17/22","4:00:00","","","","","","",100,"Grassland",NA,"",823,12.79983,1254,6458,0.6458,10.0411646887922,63,150.69096551216,9.09090909090909,25474283
"75","102.100.100","138543","Soil",3,"meth_2.1","Free-living",0.54,"meth_2.1",8.1,"meth_2.1",60.23,"meth_2.1","2022-03-17T05:00:00","","GRBR","meth_2.1",0.073,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.41,"meth_2.1",200.2,"meth_2.1",3.99,"meth_2.1",1.23,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.44,"meth_2.1",1.77,"meth_2.1",0.88,"meth_2.1",0.18,"meth_2.1",0.25,"meth_2.1",23.47,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","","","-41.03954 146.992477",-41.03954,"Kurosol","meth_2.27",146.992477,NA,"",1e-10,"meth_2.1","","meth_3.1.1",2.59,"meth_2.1",4.1,"meth_2.1",5,"meth_2.1",8,"meth_2.1",75,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",83.7,"meth_2.1",8.2,"meth_2.1","",0,"102.100.100/138543","",5.8,"meth_2.1","","2","meth_2.1",0.22,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138543","3/17/22","5:00:00","","","","","","",100,"Grassland",NA,"",767,13.04508,1257,6352,0.6352,9.07917677910514,62,150.647408927966,9.09090909090909,22117602
"76","102.100.100","138545","Soil",8,"meth_2.1","Free-living",0.88,"meth_2.1",15.92,"meth_2.1",54.05,"meth_2.1","2022-03-17T05:40:00","","DKGR","meth_2.1",0.132,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.25,"meth_2.1",247,"meth_2.1",9.53,"meth_2.1",1.45,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1.4 Natural feature protection","Soil [ENVO_00001998]",0.55,"meth_2.1",3.45,"meth_2.1",3.2,"meth_2.1",0.35,"meth_2.1",0.63,"meth_2.1",24.02,"meth_2.1","","","Coastal (coastal terrestrial including cliff; rocky shore)","Australia:Tasmania [GAZ_00007396]","0","meth_2.1","","","-41.040174 146.99222",-41.040174,"Kurosol","meth_2.27",146.99222,NA,"",1e-10,"meth_2.1","adjacent grazing; not grazed","meth_3.1.1",4.82,"meth_2.1",3.1,"meth_2.1",4.1,"meth_2.1",8,"meth_2.1",147,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/4/22","LOW_HEAD_metadata_xlsxUTC_convert_xlsx","LOW_HEAD_CSBP_210507_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; soil_depths_LowHead_UPDATE_xlsx; AM_curate_geo_loc_name_UPDATE_xlsx; LOW_HEAD_lat_lon_UTC_UPDATE_xlsxUTC_convert_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","Low Head","Bissett","Soil",78.07,"meth_2.1",6.01,"meth_2.1","",0,"102.100.100/138545","",9,"meth_2.1","","2","meth_2.1",0.39,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138545","3/17/22","5:40:00","","","","","","",100,"Woodland",NA,"",767,13.04508,1257,6352,0.6352,10.0271199002819,63,150.654142501439,9.09090909090909,23267765
"77","102.100.100","138590","Soil",3,"meth_2.1","Free-living",0.22,"meth_2.1",7.93,"meth_2.1",71.13,"meth_2.1","2021-06-18T01:30:00","","GR","meth_2.1",0.017,"meth_2.1","","","","","","https://github.com/AusMicrobiome/contextualdb_doc/raw/4.2.0/db_schema_definitions/db_schema_definitions.xlsx",NA,"",0,0.1,0,0.29,"meth_2.1",32,"meth_2.1",6.09,"meth_2.1",0.18,"meth_2.1",NA,"1 Conservation and Natural Environments","1.1 Nature conservation","Soil [ENVO_00001998]",0.6,"meth_2.1",1.46,"meth_2.1",0.52,"meth_2.1",0.03,"meth_2.1",0.03,"meth_2.1",18.95,"meth_2.1","","","Tropical (wet)","Australia:Northern Territory [GAZ_00002787]","0","meth_2.1","","","-14.10286 136.584113",-14.10286,"Rudosol","meth_2.27",136.584113,NA,"",2,"meth_2.1","geo_loc_name: state/territory values derived from lat_lon using Nominatim","meth_3.1.1",1.29,"meth_2.1",4.6,"meth_2.1",5.8,"meth_2.1",1e-10,"meth_2.1",24,"meth_2.1","","meth_1.1","","","AM_db_v4.2_202408091431.db","8/8/22","Groot_metadata_UTC_convert_xlsx","Groote_CSBP_211012_PREPAID_001_AM_SOIL_format_UPDATE_xlsx; AM_enviro_UPDATE_xlsx; Soil_geo_loc_name_UPDATE2_xlsx; AM_add_meth_for_ALL_DB_UPDATE_xlsx;","","Bissett","Soil",90.08,"meth_2.1",1.99,"meth_2.1","",NA,"102.100.100/138590","frozen (DNA extraction) | air-dried (physchem)",1.7,"meth_2.1","","1","meth_2.1",0.09,"meth_2.1","https://data.bioplatforms.com//organization/australian-microbiome?q=sample_id:102.100.100/138590","6/18/21","1:30:00","","","","","","",70,"Woodland",NA,"",1146,26.65167,2177,5342,0.5342,8.87024393280417,62,150.575248413789,9.09090909090909,24900691
