Sample	Genome	Coverage	Bases
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	38	184
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	39	198
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	40	131
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	41	136
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	42	155
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	43	84
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	44	106
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	45	95
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	46	122
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	47	81
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	48	88
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	49	101
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	50	60
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	51	80
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	52	91
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	53	58
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	54	49
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	55	47
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	56	48
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	57	48
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	58	76
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	59	78
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	60	47
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	61	67
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	62	55
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	63	41
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	64	39
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	65	48
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	66	29
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	67	33
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	68	47
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	69	31
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	70	21
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	71	13
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	72	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	73	14
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	74	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	75	14
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	76	31
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	77	20
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	78	13
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	79	20
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	80	7
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	81	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	82	3
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	83	6
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	84	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	85	6
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	86	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	87	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	88	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	89	5
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	90	6
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	91	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	92	7
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	93	13
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	94	8
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	95	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	96	16
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	97	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	98	5
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	99	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	100	16
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	101	14
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	102	24
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	103	12
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	104	8
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	105	16
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	106	11
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	107	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	108	30
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	109	17
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	110	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	111	8
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	112	6
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	113	7
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	114	5
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	115	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	116	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	117	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	118	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	119	1
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	120	3
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	121	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	122	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	123	3
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	124	1
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	125	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	126	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	127	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	128	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	129	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	130	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	131	1
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	132	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	133	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	134	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	135	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	136	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	137	0
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	138	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	139	3
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	140	2
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	141	3
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	142	9
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	143	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	144	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	145	13
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	146	10
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	147	6
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	148	4
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	0	6230761
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	1	663182
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	2	327881
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	3	208144
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	4	139798
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	5	101992
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	6	73982
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	7	55065
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	8	43806
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	9	35065
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	10	27503
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	11	22876
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	12	18118
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	13	15187
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	14	12502
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	15	10453
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	16	8990
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	17	7338
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	18	6816
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	19	5854
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	20	5271
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	21	4718
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	22	4496
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	23	3797
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	24	3757
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	25	3354
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	26	2908
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	27	2654
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	28	2206
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	29	2244
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	30	1994
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	31	2201
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	32	1697
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	33	1551
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	34	1389
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	35	1409
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	36	1232
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	37	1276
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	38	917
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	39	1006
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	40	926
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	41	855
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	42	808
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	43	646
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	44	710
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	45	697
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	46	701
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	47	660
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	48	504
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	49	502
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	50	486
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	51	376
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	52	429
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	53	341
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	54	328
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	55	318
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	56	356
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	57	339
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	58	312
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	59	203
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	60	253
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	61	236
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	62	223
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	63	242
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	64	218
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	65	161
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	66	146
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	67	148
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	68	122
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	69	104
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	70	109
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	71	156
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	72	191
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	73	136
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	74	178
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	75	171
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	76	144
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	77	166
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	78	158
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	79	133
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	80	72
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	81	105
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	82	94
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	83	97
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	84	116
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	85	78
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	86	62
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	87	72
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	88	63
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	89	55
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	90	51
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	91	45
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	92	54
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	93	62
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	94	66
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	95	69
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	96	64
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	97	67
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	98	93
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	99	81
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	100	56
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	101	57
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	102	64
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	103	89
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	104	75
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	105	54
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	106	48
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	107	50
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	108	47
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	109	72
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	110	55
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	111	63
9586_H3WL3BCXX-1_R1p.fastq.gz	GCA_016616885.1_ASM1661688v1_genomic	112	47
