Sample	Genome	Coverage	Bases
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	137	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	138	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	139	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	140	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	141	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	142	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	143	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	144	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	145	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	146	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	147	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	148	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	149	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	150	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	151	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	152	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	153	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	154	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	155	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	156	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	157	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	158	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	159	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	160	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	161	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	162	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	163	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	164	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	165	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	166	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	167	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	168	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	169	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	170	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	171	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	172	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	173	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	174	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	175	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	176	1
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	177	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	178	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	179	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	180	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	181	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	182	0
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	183	2
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	184	4
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	185	6
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_013372845.1_ASM1337284v1_genomic	186	7
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	0	4714459
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	1	588404
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	2	233015
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	3	118513
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	4	60568
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	5	36582
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	6	20914
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	7	13216
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	8	9086
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	9	6297
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	10	4610
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	11	3931
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	12	2698
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	13	2410
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	14	1723
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	15	1484
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	16	1387
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	17	1132
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	18	777
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	19	834
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	20	719
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	21	603
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	22	422
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	23	459
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	24	368
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	25	396
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	26	389
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	27	402
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	28	321
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	29	266
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	30	275
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	31	274
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	32	232
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	33	234
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	34	233
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	35	155
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	36	179
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	37	205
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	38	175
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	39	130
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	40	134
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	41	146
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	42	104
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	43	106
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	44	92
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	45	105
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	46	85
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	47	45
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	48	105
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	49	82
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	50	77
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	51	84
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	52	72
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	53	50
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	54	36
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	55	34
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	56	34
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	57	47
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	58	52
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	59	43
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	60	39
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	61	19
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	62	48
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	63	49
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	64	22
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	65	9
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	66	15
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	67	18
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	68	9
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	69	35
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	70	21
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	71	13
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	72	28
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	73	34
9456_H3WL3BCXX-1_R1p.fastq.gz	GCA_019668465.1_ASM1966846v1_genomic	74	27
